Date,Open,High,Low,Close
02/03/2021,"29,305.41","29,312.00","28,967.01","29,307.46"
02/02/2021,"29,378.12","29,511.00","29,198.86","29,248.70"
02/01/2021,"28,457.85","28,982.77","28,382.26","28,892.86"
01/29/2021,"28,826.18","28,972.06","28,259.73","28,283.71"
01/28/2021,"28,914.85","29,191.68","28,467.01","28,550.77"
01/27/2021,"29,556.58","29,636.63","29,194.37","29,297.53"
01/26/2021,"29,892.85","29,965.11","29,345.74","29,391.26"
01/25/2021,"29,677.30","30,191.16","29,673.26","30,159.01"
01/22/2021,"29,809.23","29,862.89","29,413.52","29,447.85"
01/21/2021,"29,951.78","30,135.50","29,745.87","29,927.76"
01/20/2021,"29,794.41","29,993.47","29,676.54","29,962.47"
01/19/2021,"29,100.17","29,848.43","29,100.17","29,642.28"
01/18/2021,"28,454.59","28,864.25","28,390.29","28,862.77"
01/15/2021,"28,394.37","28,667.59","28,294.66","28,573.86"
01/14/2021,"28,408.12","28,510.92","28,280.09","28,496.86"
01/13/2021,"28,309.32","28,414.54","28,136.64","28,235.60"
01/12/2021,"27,894.29","28,276.75","27,781.42","28,276.75"
01/11/2021,"28,003.98","28,176.65","27,794.81","27,908.22"
01/08/2021,"27,630.03","27,920.77","27,538.20","27,878.22"
01/07/2021,"27,715.94","27,752.36","27,457.47","27,548.52"
01/06/2021,"27,613.34","27,756.43","27,389.78","27,692.30"
01/05/2021,"27,281.34","27,690.21","27,150.38","27,649.86"
01/04/2021,"27,087.13","27,502.83","27,079.24","27,472.81"
12/31/2020,"27,194.79","27,340.99","27,163.51","27,231.13"
12/30/2020,"26,695.11","27,159.47","26,670.97","27,147.11"
12/29/2020,"26,490.45","26,618.78","26,432.91","26,568.49"
12/28/2020,"26,288.37","26,514.08","26,264.32","26,314.63"
12/24/2020,"26,342.87","26,470.40","26,221.30","26,386.56"
12/23/2020,"26,083.11","26,343.10","26,071.76","26,343.10"
12/22/2020,"26,260.78","26,365.20","25,998.87","26,119.25"
12/21/2020,"26,422.62","26,498.65","26,274.65","26,306.68"
12/18/2020,"26,650.49","26,668.10","26,363.05","26,498.60"
12/17/2020,"26,608.44","26,678.38","26,390.59","26,678.38"
12/16/2020,"26,421.21","26,510.19","26,318.74","26,460.29"
12/15/2020,"26,418.93","26,436.04","26,127.68","26,207.29"
12/14/2020,"26,522.10","26,544.12","26,318.11","26,389.52"
12/11/2020,"26,634.21","26,704.01","26,443.01","26,505.87"
12/10/2020,"26,335.26","26,434.47","26,287.02","26,410.59"
12/09/2020,"26,510.42","26,666.94","26,445.66","26,502.84"
12/08/2020,"26,460.35","26,460.35","26,270.91","26,304.56"
12/07/2020,"26,870.58","26,870.58","26,256.40","26,506.85"
12/04/2020,"26,811.59","26,835.92","26,652.34","26,835.92"
12/03/2020,"26,623.42","26,781.99","26,556.02","26,728.50"
12/02/2020,"26,670.12","26,670.12","26,379.48","26,532.58"
12/01/2020,"26,422.71","26,662.18","26,375.24","26,567.68"
11/30/2020,"26,853.39","26,960.93","26,322.68","26,341.49"
11/27/2020,"26,758.49","27,009.15","26,704.60","26,894.68"
11/26/2020,"26,695.25","26,819.45","26,612.00","26,819.45"
11/25/2020,"26,819.96","27,040.41","26,591.30","26,669.75"
11/24/2020,"26,630.34","26,630.34","26,409.77","26,588.20"
11/23/2020,"26,659.79","26,662.66","26,369.34","26,486.20"
11/20/2020,"26,406.87","26,564.25","26,313.28","26,451.54"
11/19/2020,"26,460.61","26,460.61","26,311.64","26,356.97"
11/18/2020,"26,434.24","26,618.01","26,344.86","26,544.29"
11/17/2020,"26,515.09","26,530.54","26,339.88","26,415.09"
11/16/2020,"26,362.07","26,394.40","26,191.54","26,381.67"
11/13/2020,"26,114.60","26,156.86","25,909.18","26,156.86"
11/12/2020,"26,409.34","26,460.94","26,071.15","26,169.38"
11/11/2020,"26,226.80","26,432.56","26,168.63","26,226.98"
11/10/2020,"26,474.04","26,474.04","26,041.87","26,301.48"
11/09/2020,"26,157.77","26,172.23","25,950.41","26,016.17"
11/06/2020,"25,750.78","25,799.97","25,540.98","25,712.97"
11/05/2020,"25,500.91","25,695.92","25,343.44","25,695.92"
11/04/2020,"24,790.00","25,093.72","24,733.23","24,886.14"
11/03/2020,"24,689.56","25,048.53","24,689.51","24,939.73"
11/02/2020,"24,274.83","24,486.02","24,232.66","24,460.01"
10/30/2020,"24,535.90","24,600.54","24,029.95","24,107.42"
10/29/2020,"24,290.01","24,678.90","24,258.56","24,586.60"
10/28/2020,"24,773.54","24,844.79","24,586.06","24,708.80"
10/27/2020,"24,839.97","24,872.52","24,602.11","24,787.19"
10/23/2020,"24,773.12","24,970.59","24,683.25","24,918.78"
10/22/2020,"24,696.31","24,817.01","24,556.55","24,786.13"
10/21/2020,"24,695.54","24,903.00","24,653.16","24,754.42"
10/20/2020,"24,571.64","24,600.39","24,456.84","24,569.54"
10/19/2020,"24,565.43","24,771.85","24,478.47","24,542.26"
10/16/2020,"24,194.41","24,456.97","24,194.41","24,386.79"
10/15/2020,"24,533.75","24,573.25","24,102.21","24,158.54"
10/14/2020,"24,808.85","24,808.85","24,498.94","24,667.09"
10/12/2020,"24,217.25","24,702.81","24,196.80","24,649.68"
10/09/2020,"24,343.81","24,343.81","24,059.29","24,119.13"
10/08/2020,"24,263.33","24,263.33","24,021.93","24,193.35"
10/07/2020,"23,999.79","24,243.91","23,905.42","24,242.86"
10/06/2020,"23,895.21","24,005.03","23,842.25","23,980.65"
10/05/2020,"24,039.39","24,039.39","23,674.52","23,767.78"
