Date,Open,High,Low,Close
02/03/2021,"50,231.06","50,526.39","49,515.88","50,255.75"
02/02/2021,"49,193.26","50,154.48","49,193.26","49,797.72"
02/01/2021,"46,617.95","48,764.40","46,433.65","48,600.61"
01/29/2021,"47,423.47","47,423.66","46,160.46","46,285.77"
01/28/2021,"46,834.57","47,172.02","46,518.48","46,874.36"
01/27/2021,"48,385.28","48,387.25","47,269.60","47,409.93"
01/25/2021,"49,253.68","49,263.15","48,274.92","48,347.59"
01/22/2021,"49,594.95","49,676.88","48,832.08","48,878.54"
01/21/2021,"50,096.57","50,184.01","49,398.86","49,624.76"
01/20/2021,"49,508.79","49,874.42","49,373.68","49,792.12"
01/19/2021,"48,900.31","49,499.86","48,805.54","49,398.29"
01/18/2021,"49,061.22","49,122.23","48,403.97","48,564.27"
01/15/2021,"49,656.71","49,656.71","48,795.79","49,034.67"
01/14/2021,"49,432.83","49,663.58","49,182.37","49,584.16"
01/13/2021,"49,763.93","49,795.19","49,073.85","49,492.32"
01/12/2021,"49,228.26","49,569.14","49,079.57","49,517.11"
01/11/2021,"49,252.31","49,303.79","48,956.38","49,269.32"
01/08/2021,"48,464.91","48,854.34","48,365.58","48,782.51"
01/07/2021,"48,524.36","48,558.34","48,037.87","48,093.32"
01/06/2021,"48,616.66","48,616.66","47,864.14","48,174.06"
01/05/2021,"48,037.63","48,486.24","47,903.38","48,437.78"
01/04/2021,"48,109.17","48,220.47","47,594.47","48,176.80"
01/01/2021,"47,785.28","47,980.36","47,771.15","47,868.98"
12/31/2020,"47,753.11","47,896.97","47,602.12","47,751.33"
12/30/2020,"47,789.03","47,807.85","47,358.36","47,746.22"
12/29/2020,"47,466.62","47,714.55","47,361.90","47,613.08"
12/28/2020,"47,153.59","47,406.72","47,148.24","47,353.75"
12/24/2020,"46,743.49","47,053.40","46,539.02","46,973.54"
12/23/2020,"46,072.30","46,513.32","45,899.10","46,444.18"
12/22/2020,"45,529.61","46,080.18","45,112.19","46,006.69"
12/21/2020,"46,932.18","47,055.69","44,923.08","45,553.96"
12/18/2020,"47,026.02","47,026.02","46,630.31","46,960.69"
12/17/2020,"46,774.32","46,992.57","46,627.60","46,890.34"
12/16/2020,"46,573.31","46,704.97","46,402.20","46,666.46"
12/15/2020,"46,287.39","46,350.30","45,841.67","46,263.17"
12/14/2020,"46,284.70","46,373.34","45,951.53","46,253.46"
12/11/2020,"46,060.32","46,309.63","45,706.22","46,099.01"
12/10/2020,"45,999.42","46,043.97","45,685.87","45,959.88"
12/09/2020,"45,891.04","46,164.10","45,792.01","46,103.50"
12/08/2020,"45,568.80","45,742.23","45,335.17","45,608.51"
12/07/2020,"45,099.92","45,458.92","45,024.47","45,426.97"
12/04/2020,"44,665.91","45,148.28","44,665.91","45,079.55"
12/03/2020,"44,902.02","44,953.01","44,551.42","44,632.65"
