Date,Open,High,Low,Close
02/03/2021,"6,096.58","6,137.68","6,047.41","6,077.75"
02/02/2021,"6,119.01","6,157.25","6,018.09","6,043.84"
02/01/2021,"5,856.78","6,070.74","5,735.47","6,067.55"
01/29/2021,"6,010.34","6,068.13","5,825.29","5,862.35"
01/28/2021,"6,065.79","6,123.46","5,957.55","5,979.39"
01/27/2021,"6,153.08","6,154.61","5,998.90","6,109.17"
01/26/2021,"6,252.71","6,269.67","6,123.01","6,140.17"
01/25/2021,"6,322.52","6,322.73","6,148.31","6,258.57"
01/22/2021,"6,419.57","6,428.50","6,283.31","6,307.13"
01/21/2021,"6,476.09","6,504.99","6,399.67","6,413.89"
01/20/2021,"6,334.51","6,440.80","6,299.39","6,429.76"
01/19/2021,"6,421.86","6,434.84","6,288.98","6,321.86"
01/18/2021,"6,365.03","6,428.32","6,316.88","6,389.83"
01/15/2021,"6,447.99","6,472.31","6,341.25","6,373.41"
01/14/2021,"6,445.90","6,465.53","6,407.57","6,428.32"
01/13/2021,"6,439.93","6,464.35","6,393.90","6,435.21"
01/12/2021,"6,393.90","6,435.96","6,353.31","6,395.67"
01/11/2021,"6,278.41","6,382.94","6,278.37","6,382.94"
01/08/2021,"6,190.95","6,275.74","6,190.10","6,257.84"
01/07/2021,"6,091.72","6,158.04","6,090.36","6,153.63"
01/06/2021,"6,139.14","6,166.63","5,987.79","6,065.68"
01/05/2021,"6,105.79","6,145.61","6,073.42","6,137.34"
01/04/2021,"6,997.83","6,104.90","5,929.05","6,104.90"
12/30/2020,"6,052.12","6,055.97","5,962.01","5,979.07"
12/29/2020,"6,112.72","6,143.87","6,026.71","6,036.17"
12/28/2020,"6,067.00","6,095.01","5,979.91","6,093.55"
12/23/2020,"6,061.85","6,104.36","5,853.26","6,008.71"
12/22/2020,"6,146.65","6,174.46","6,010.21","6,023.29"
12/21/2020,"6,131.62","6,195.15","6,119.92","6,165.62"
12/18/2020,"6,106.25","6,142.86","6,091.40","6,104.32"
12/17/2020,"6,133.10","6,160.98","6,075.83","6,113.38"
12/16/2020,"6,046.87","6,123.95","6,046.87","6,118.40"
12/15/2020,"6,013.51","6,023.22","5,965.81","6,010.13"
12/14/2020,"5,959.28","6,013.95","5,959.28","6,012.52"
12/11/2020,"5,946.36","5,976.57","5,924.37","5,938.33"
12/10/2020,"5,977.00","6,004.42","5,911.91","5,933.70"
12/08/2020,"5,947.66","5,961.78","5,911.10","5,944.41"
12/07/2020,"5,854.30","5,941.35","5,854.30","5,930.76"
12/04/2020,"5,820.82","5,823.32","5,775.57","5,810.48"
