Date,Open,High,Low,Close
02/02/2021,"1,658.38","1,668.02","1,655.26","1,660.29"
02/01/2021,"1,635.27","1,646.22","1,635.25","1,644.26"
01/31/2021,"1,624.13","1,647.89","1,612.77","1,624.13"
01/28/2021,"1,622.43","1,647.89","1,612.77","1,647.66"
01/27/2021,"1,649.04","1,663.12","1,630.85","1,639.35"
01/26/2021,"1,641.55","1,652.18","1,635.69","1,647.22"
01/25/2021,"1,647.07","1,654.15","1,633.37","1,649.58"
01/24/2021,"1,641.65","1,665.58","1,641.65","1,641.65"
01/21/2021,"1,676.59","1,681.84","1,660.20","1,662.61"
01/20/2021,"1,667.85","1,682.83","1,667.85","1,682.83"
01/19/2021,"1,664.17","1,671.13","1,658.91","1,662.32"
01/18/2021,"1,642.25","1,653.36","1,639.86","1,653.36"
01/17/2021,"1,644.95","1,653.40","1,634.09","1,644.95"
01/14/2021,"1,643.99","1,653.40","1,634.09","1,648.90"
01/13/2021,"1,628.19","1,641.77","1,622.67","1,641.77"
01/12/2021,"1,626.01","1,643.27","1,619.11","1,626.74"
01/11/2021,"1,620.42","1,622.63","1,611.24","1,620.35"
01/10/2021,"1,627.25","1,634.26","1,613.44","1,627.25"
01/07/2021,"1,574.47","1,600.24","1,574.47","1,597.49"
01/06/2021,"1,559.96","1,570.94","1,546.68","1,570.94"
01/05/2021,"1,559.76","1,562.19","1,549.32","1,558.08"
01/04/2021,"1,578.61","1,579.12","1,566.12","1,568.18"
01/03/2021,"1,577.33","1,584.52","1,568.68","1,577.33"
12/31/2020,"1,562.17","1,572.04","1,559.74","1,568.09"
12/30/2020,"1,547.86","1,567.94","1,547.86","1,567.46"
12/29/2020,"1,558.08","1,559.93","1,546.71","1,547.72"
12/28/2020,"1,566.67","1,570.59","1,553.69","1,555.95"
12/27/2020,"1,559.28","1,559.57","1,539.22","1,559.28"
12/24/2020,"1,518.72","1,531.36","1,511.90","1,529.99"
12/23/2020,"1,507.66","1,515.41","1,505.02","1,509.00"
12/22/2020,"1,490.76","1,507.64","1,488.25","1,506.75"
12/21/2020,"1,505.79","1,506.88","1,475.57","1,486.18"
12/17/2020,"1,538.66","1,539.45","1,530.95","1,533.01"
12/16/2020,"1,545.46","1,550.30","1,531.23","1,533.23"
12/15/2020,"1,544.89","1,545.73","1,534.06","1,539.23"
12/14/2020,"1,542.12","1,550.22","1,539.73","1,550.21"
12/13/2020,"1,550.21","1,550.22","1,539.73","1,550.21"
12/10/2020,"1,518.47","1,523.40","1,513.77","1,521.14"
12/09/2020,"1,522.77","1,533.45","1,522.77","1,531.08"
12/08/2020,"1,514.10","1,518.83","1,506.07","1,510.33"
12/07/2020,"1,522.50","1,523.58","1,511.90","1,514.43"
12/06/2020,"1,522.30","1,524.90","1,513.72","1,522.30"
12/03/2020,"1,485.02","1,495.65","1,485.02","1,494.41"
12/02/2020,"1,503.58","1,503.58","1,479.33","1,482.18"
12/01/2020,"1,522.17","1,523.17","1,506.18","1,508.61"
11/30/2020,"1,520.14","1,522.81","1,512.43","1,513.10"
11/29/2020,"1,530.76","1,539.58","1,528.09","1,530.76"
11/26/2020,"1,536.65","1,539.58","1,528.09","1,538.52"
11/25/2020,"1,532.45","1,535.80","1,516.20","1,519.67"
11/24/2020,"1,517.45","1,527.75","1,516.98","1,527.75"
11/23/2020,"1,488.91","1,510.61","1,488.91","1,510.61"
11/22/2020,"1,481.93","1,484.63","1,477.85","1,481.93"
11/19/2020,"1,479.92","1,480.38","1,470.39","1,476.35"
11/18/2020,"1,475.59","1,489.14","1,474.25","1,486.12"
11/17/2020,"1,478.65","1,484.92","1,466.63","1,473.15"
11/16/2020,"1,479.76","1,493.35","1,474.05","1,478.46"
11/15/2020,"1,468.78","1,468.32","1,456.99","1,468.78"
11/12/2020,"1,467.68","1,468.32","1,456.99","1,460.29"
11/11/2020,"1,459.89","1,473.66","1,459.89","1,465.94"
11/10/2020,"1,458.42","1,464.67","1,448.94","1,455.77"
11/09/2020,"1,431.73","1,492.29","1,428.25","1,465.06"
11/08/2020,"1,465.06","1,492.29","1,428.25","1,465.06"
11/05/2020,"1,427.04","1,429.32","1,412.23","1,416.01"
11/04/2020,"1,387.46","1,411.17","1,387.46","1,410.66"
11/03/2020,"1,389.91","1,397.83","1,386.89","1,395.53"
11/02/2020,"1,373.57","1,386.45","1,367.80","1,389.50"
11/01/2020,"1,370.98","1,374.54","1,357.66","1,370.98"
10/29/2020,"1,368.99","1,373.94","1,350.19","1,373.94"
10/28/2020,"1,379.32","1,379.32","1,350.16","1,353.00"
10/27/2020,"1,400.28","1,401.85","1,385.48","1,388.02"
10/26/2020,"1,403.68","1,404.49","1,395.70","1,395.70"
10/25/2020,"1,402.82","1,412.60","1,402.50","1,411.63"
10/22/2020,"1,388.47","1,398.58","1,385.51","1,394.26"
10/21/2020,"1,406.54","1,406.54","1,395.13","1,400.37"
10/20/2020,"1,404.38","1,409.90","1,399.43","1,404.55"
10/19/2020,"1,414.46","1,419.61","1,405.84","1,407.79"
10/18/2020,"1,407.79","1,419.61","1,405.84","1,407.79"
10/15/2020,"1,403.43","1,404.73","1,395.21","1,398.59"
10/14/2020,"1,407.85","1,419.80","1,407.68","1,413.84"
10/13/2020,"1,410.53","1,415.46","1,403.87","1,406.55"
10/12/2020,"1,410.74","1,418.70","1,406.55","1,415.07"
10/11/2020,"1,413.40","1,424.34","1,410.53","1,413.40"
10/08/2020,"1,401.38","1,407.31","1,401.16","1,405.24"
10/07/2020,"1,391.77","1,396.55","1,383.66","1,386.51"
10/06/2020,"1,388.89","1,394.10","1,382.12","1,388.09"
10/05/2020,"1,374.10","1,387.34","1,373.21","1,384.54"
10/04/2020,"1,368.94","1,373.74","1,350.61","1,368.94"
10/01/2020,"1,345.95","1,359.25","1,342.22","1,355.52"
09/30/2020,"1,323.95","1,347.04","1,319.00","1,345.44"
09/29/2020,"1,323.01","1,333.11","1,317.19","1,331.27"
09/24/2020,"1,307.57","1,315.61","1,295.09","1,304.54"
09/23/2020,"1,347.35","1,349.33","1,322.24","1,323.69"
09/22/2020,"1,344.03","1,354.95","1,342.54","1,344.86"
09/21/2020,"1,354.10","1,358.93","1,341.44","1,342.20"
09/20/2020,"1,356.07","1,359.90","1,340.01","1,356.07"
09/17/2020,"1,346.72","1,359.90","1,340.01","1,356.07"
09/16/2020,"1,365.23","1,371.71","1,361.12","1,365.08"
09/15/2020,"1,363.44","1,375.21","1,361.49","1,366.86"
09/14/2020,"1,352.01","1,363.52","1,351.10","1,362.51"
09/13/2020,"1,337.67","1,341.62","1,312.88","1,337.67"
09/10/2020,"1,346.29","1,349.90","1,324.86","1,334.15"
09/09/2020,"1,349.87","1,360.17","1,344.98","1,352.81"
09/08/2020,"1,379.48","1,386.37","1,342.44","1,354.03"
09/07/2020,"1,360.98","1,381.22","1,357.04","1,375.12"
09/06/2020,"1,371.06","1,371.06","1,371.06","1,371.06"
09/03/2020,"1,411.28","1,414.44","1,368.93","1,368.93"
