Date,Open,High,Low,Close
02/03/2021,"28,482.71","28,669.95","28,402.30","28,646.50"
02/02/2021,"28,207.48","28,379.31","28,089.12","28,362.17"
02/01/2021,"27,649.07","28,107.10","27,649.07","28,091.05"
01/29/2021,"28,320.72","28,320.72","27,629.80","27,663.39"
01/28/2021,"28,169.27","28,360.48","27,975.85","28,197.42"
01/27/2021,"28,665.34","28,754.99","28,542.00","28,635.21"
01/26/2021,"28,696.30","28,740.71","28,527.81","28,546.18"
01/25/2021,"28,698.89","28,822.29","28,566.85","28,822.29"
01/22/2021,"28,580.20","28,698.18","28,527.16","28,631.45"
01/21/2021,"28,710.41","28,846.15","28,677.61","28,756.86"
01/20/2021,"28,798.74","28,801.19","28,402.11","28,523.26"
01/19/2021,"28,405.49","28,720.91","28,373.34","28,633.46"
01/18/2021,"28,238.68","28,349.97","28,111.54","28,242.21"
01/15/2021,"28,777.47","28,820.50","28,477.03","28,519.18"
01/14/2021,"28,442.73","28,979.53","28,411.58","28,698.26"
01/13/2021,"28,140.10","28,503.43","28,133.59","28,456.59"
01/12/2021,"28,004.37","28,287.37","27,899.45","28,164.34"
01/08/2021,"27,720.14","28,139.03","27,667.75","28,139.03"
01/07/2021,"27,340.46","27,624.73","27,340.46","27,490.13"
01/06/2021,"27,102.85","27,196.40","27,002.18","27,055.94"
01/05/2021,"27,151.38","27,279.78","27,073.46","27,158.63"
01/04/2021,"27,575.57","27,602.11","27,042.32","27,258.38"
12/30/2020,"27,559.10","27,572.57","27,338.56","27,444.17"
12/29/2020,"26,936.38","27,602.52","26,921.14","27,568.15"
12/28/2020,"26,691.29","26,854.03","26,664.60","26,854.03"
12/25/2020,"26,708.10","26,716.61","26,638.28","26,656.61"
12/24/2020,"26,635.11","26,764.53","26,605.26","26,668.35"
12/23/2020,"26,580.43","26,585.21","26,414.74","26,524.79"
12/22/2020,"26,559.33","26,639.99","26,361.66","26,436.39"
12/21/2020,"26,834.10","26,905.67","26,533.63","26,714.42"
12/18/2020,"26,775.53","26,824.29","26,707.30","26,763.39"
12/17/2020,"26,744.50","26,843.05","26,676.28","26,806.67"
12/16/2020,"26,835.59","26,874.98","26,717.03","26,757.40"
12/15/2020,"26,683.11","26,736.84","26,605.54","26,687.84"
12/14/2020,"26,659.53","26,870.47","26,648.69","26,732.44"
12/11/2020,"26,732.85","26,819.41","26,553.01","26,652.52"
12/10/2020,"26,688.50","26,852.77","26,639.98","26,756.24"
12/09/2020,"26,526.34","26,826.78","26,520.60","26,817.94"
12/08/2020,"26,380.32","26,523.30","26,327.08","26,467.08"
12/07/2020,"26,894.25","26,894.25","26,500.32","26,547.44"
12/04/2020,"26,697.26","26,799.83","26,646.08","26,751.24"
12/03/2020,"26,740.30","26,868.09","26,719.23","26,809.37"
12/02/2020,"26,884.99","26,889.90","26,695.28","26,800.98"
12/01/2020,"26,624.20","26,852.16","26,618.39","26,787.54"
11/30/2020,"26,830.10","26,834.20","26,405.83","26,433.62"
11/27/2020,"26,530.28","26,672.40","26,419.05","26,644.71"
11/26/2020,"26,255.47","26,560.03","26,255.47","26,537.31"
11/25/2020,"26,468.52","26,706.42","26,258.35","26,296.86"
11/24/2020,"25,901.45","26,261.78","25,901.45","26,165.59"
11/20/2020,"25,486.83","25,555.37","25,425.59","25,527.37"
11/19/2020,"25,628.73","25,650.86","25,474.94","25,634.34"
11/18/2020,"25,860.55","25,882.14","25,656.70","25,728.14"
11/17/2020,"26,043.45","26,057.30","25,851.54","26,014.62"
11/16/2020,"25,652.69","25,928.18","25,640.29","25,906.93"
11/13/2020,"25,405.64","25,456.18","25,215.31","25,385.87"
11/12/2020,"25,439.35","25,587.96","25,316.60","25,520.88"
11/11/2020,"25,145.66","25,401.30","25,145.66","25,349.60"
11/10/2020,"25,087.30","25,279.94","24,833.18","24,905.59"
11/09/2020,"24,568.84","24,962.80","24,541.28","24,839.84"
11/06/2020,"24,076.22","24,389.00","24,039.16","24,325.23"
11/05/2020,"23,776.20","24,112.42","23,756.78","24,105.28"
11/04/2020,"23,619.58","23,801.88","23,505.78","23,695.23"
11/02/2020,"23,110.74","23,370.91","23,096.79","23,295.48"
10/30/2020,"23,320.71","23,320.71","22,948.47","22,977.13"
10/29/2020,"23,170.76","23,374.10","23,170.76","23,331.94"
10/28/2020,"23,372.61","23,451.03","23,334.23","23,418.51"
10/27/2020,"23,376.96","23,485.80","23,232.31","23,485.80"
10/26/2020,"23,520.78","23,572.60","23,475.52","23,494.34"
10/23/2020,"23,558.71","23,587.90","23,469.13","23,516.59"
10/22/2020,"23,525.59","23,555.78","23,436.17","23,474.27"
10/21/2020,"23,615.52","23,702.30","23,611.33","23,639.46"
10/20/2020,"23,587.87","23,674.87","23,518.29","23,567.04"
10/19/2020,"23,543.69","23,707.16","23,543.69","23,671.13"
10/16/2020,"23,478.40","23,538.74","23,382.67","23,410.63"
10/15/2020,"23,548.45","23,581.16","23,458.43","23,507.23"
10/14/2020,"23,545.66","23,656.70","23,518.81","23,626.73"
10/13/2020,"23,667.90","23,667.90","23,490.95","23,601.78"
10/12/2020,"23,588.74","23,597.91","23,501.26","23,558.69"
10/09/2020,"23,713.86","23,725.58","23,552.73","23,619.69"
10/08/2020,"23,506.34","23,701.77","23,477.73","23,647.07"
10/07/2020,"23,272.45","23,432.73","23,272.45","23,422.82"
10/06/2020,"23,420.07","23,441.16","23,331.40","23,433.73"
10/05/2020,"23,254.28","23,377.43","23,252.69","23,312.14"
10/02/2020,"23,294.80","23,365.58","22,951.41","23,029.90"
10/01/2020,"23,184.93","23,184.93","23,184.93","23,184.93"
09/30/2020,"23,478.85","23,522.38","23,170.89","23,185.12"
09/29/2020,"23,410.50","23,622.74","23,347.64","23,539.10"
09/28/2020,"23,391.96","23,516.04","23,303.03","23,511.62"
09/25/2020,"23,217.33","23,272.67","23,154.66","23,204.62"
09/24/2020,"23,215.00","23,234.72","23,039.48","23,087.82"
09/23/2020,"23,245.89","23,370.13","23,154.45","23,346.49"
09/18/2020,"23,321.19","23,398.46","23,290.19","23,360.30"
09/17/2020,"23,416.62","23,446.39","23,272.23","23,319.37"
09/16/2020,"23,425.23","23,506.45","23,397.43","23,475.53"
09/15/2020,"23,438.83","23,477.86","23,351.35","23,454.89"
09/14/2020,"23,431.16","23,582.21","23,429.42","23,559.30"
09/11/2020,"23,114.63","23,412.93","23,114.63","23,406.49"
09/10/2020,"23,193.47","23,250.31","23,134.02","23,235.47"
09/09/2020,"22,966.89","23,059.02","22,878.71","23,032.54"
09/08/2020,"23,188.79","23,277.66","23,129.66","23,274.13"
09/07/2020,"23,145.47","23,218.22","23,086.89","23,089.95"
09/04/2020,"23,130.32","23,257.69","23,098.77","23,205.43"
09/03/2020,"23,524.49","23,580.51","23,426.11","23,465.53"
09/02/2020,"23,261.09","23,287.40","23,170.82","23,247.15"
09/01/2020,"23,089.63","23,206.66","23,047.77","23,138.07"
08/31/2020,"23,147.14","23,342.32","23,102.61","23,139.76"
08/28/2020,"23,232.30","23,376.13","22,594.79","22,882.65"
08/27/2020,"23,311.04","23,323.07","23,177.85","23,208.86"
08/26/2020,"23,257.05","23,348.80","23,203.00","23,290.86"
08/25/2020,"23,242.74","23,431.04","23,225.39","23,296.77"
08/24/2020,"22,913.20","23,012.71","22,862.54","22,985.51"
08/21/2020,"23,022.76","23,135.43","22,920.30","22,920.30"
08/20/2020,"23,003.58","23,078.36","22,851.83","22,880.62"
08/19/2020,"22,997.93","23,149.85","22,953.60","23,110.61"
08/18/2020,"23,097.80","23,128.18","22,948.89","23,051.08"
08/17/2020,"23,189.48","23,248.75","23,068.53","23,096.75"
08/14/2020,"23,323.92","23,338.79","23,222.85","23,289.36"
08/13/2020,"23,123.36","23,316.69","23,111.50","23,249.61"
08/12/2020,"22,747.44","22,874.37","22,670.74","22,843.96"
08/11/2020,"22,505.51","22,760.87","22,497.07","22,750.24"
08/07/2020,"22,433.78","22,436.16","22,204.61","22,329.94"
08/06/2020,"22,471.71","22,587.75","22,362.89","22,418.15"
08/05/2020,"22,479.72","22,554.20","22,356.25","22,514.85"
08/04/2020,"22,379.74","22,603.82","22,379.74","22,573.66"
08/03/2020,"21,947.58","22,214.59","21,919.83","22,195.38"
07/31/2020,"22,267.59","22,295.05","21,710.00","21,710.00"
07/30/2020,"22,489.24","22,506.60","22,334.71","22,339.23"
07/29/2020,"22,543.89","22,584.87","22,366.34","22,397.11"
07/28/2020,"22,735.02","22,842.19","22,646.22","22,657.38"
07/27/2020,"22,495.95","22,741.13","22,429.57","22,715.85"
07/22/2020,"22,791.75","22,855.31","22,732.92","22,751.61"
07/21/2020,"22,789.38","22,925.58","22,780.22","22,884.22"
07/20/2020,"22,772.07","22,788.53","22,580.19","22,717.48"
07/17/2020,"22,807.57","22,857.82","22,643.52","22,696.42"
07/16/2020,"22,907.96","22,925.90","22,739.42","22,770.36"
07/15/2020,"22,817.91","22,965.56","22,800.11","22,945.50"
07/14/2020,"22,631.87","22,677.02","22,538.78","22,587.01"
07/13/2020,"22,591.81","22,784.74","22,561.47","22,784.74"
07/10/2020,"22,534.97","22,563.68","22,285.07","22,290.81"
07/09/2020,"22,442.30","22,679.08","22,434.38","22,529.29"
07/08/2020,"22,481.61","22,667.95","22,438.65","22,438.65"
07/07/2020,"22,649.90","22,742.28","22,540.44","22,614.69"
07/06/2020,"22,341.27","22,734.11","22,325.75","22,714.44"
07/03/2020,"22,266.91","22,312.44","22,154.97","22,306.48"
07/02/2020,"22,182.68","22,267.51","22,072.11","22,145.96"
07/01/2020,"22,338.30","22,360.31","22,039.56","22,121.73"
06/30/2020,"22,335.10","22,448.30","22,273.38","22,288.14"
06/29/2020,"22,255.05","22,281.38","21,969.59","21,995.04"
06/26/2020,"22,424.37","22,589.14","22,408.27","22,512.08"
06/25/2020,"22,287.87","22,423.41","22,165.14","22,259.79"
06/24/2020,"22,541.01","22,663.29","22,479.86","22,534.32"
06/23/2020,"22,636.06","22,693.89","22,257.14","22,549.05"
06/22/2020,"22,353.69","22,575.74","22,311.94","22,437.27"
06/19/2020,"22,515.75","22,523.66","22,352.16","22,478.79"
06/18/2020,"22,363.88","22,432.25","22,125.35","22,355.46"
06/17/2020,"22,517.14","22,536.38","22,318.07","22,455.76"
06/16/2020,"21,912.29","22,624.14","21,899.48","22,582.21"
06/15/2020,"22,135.27","22,251.83","21,529.83","21,530.95"
06/12/2020,"22,082.12","22,350.30","21,786.93","22,305.48"
06/11/2020,"22,848.02","22,939.39","22,466.54","22,472.91"
