Date,Open,High,Low,Close
02/02/2021,"3,065.56","3,138.95","3,065.56","3,096.81"
02/01/2021,"2,976.81","3,056.87","2,947.24","3,056.53"
01/29/2021,"3,078.73","3,100.22","2,962.70","2,976.21"
01/28/2021,"3,114.98","3,114.98","3,046.64","3,069.05"
01/27/2021,"3,143.46","3,182.53","3,118.89","3,122.56"
01/26/2021,"3,203.96","3,209.18","3,132.67","3,140.31"
01/25/2021,"3,144.01","3,212.22","3,142.80","3,208.99"
01/22/2021,"3,163.83","3,185.26","3,140.60","3,140.63"
01/21/2021,"3,123.27","3,163.21","3,123.27","3,160.84"
01/20/2021,"3,115.04","3,145.01","3,077.15","3,114.55"
01/19/2021,"3,013.05","3,107.00","3,011.32","3,092.66"
01/18/2021,"3,079.90","3,079.90","3,003.89","3,013.93"
01/15/2021,"3,153.84","3,189.90","3,085.90","3,085.90"
01/14/2021,"3,148.65","3,159.03","3,128.72","3,149.93"
01/13/2021,"3,128.26","3,164.37","3,109.63","3,148.29"
01/12/2021,"3,145.87","3,154.79","3,047.56","3,125.95"
01/11/2021,"3,161.90","3,266.23","3,096.19","3,148.45"
01/08/2021,"3,040.11","3,161.11","3,040.11","3,152.18"
01/07/2021,"2,980.75","3,055.28","2,980.75","3,031.68"
01/06/2021,"2,993.34","3,027.16","2,961.37","2,968.21"
01/05/2021,"2,943.67","2,990.57","2,921.84","2,990.57"
01/04/2021,"2,874.50","2,946.54","2,869.11","2,944.45"
12/30/2020,"2,820.36","2,878.21","2,809.35","2,873.47"
12/29/2020,"2,810.55","2,823.44","2,792.06","2,820.51"
12/28/2020,"2,820.95","2,834.59","2,799.56","2,808.60"
12/24/2020,"2,762.60","2,812.16","2,762.60","2,806.86"
12/23/2020,"2,737.74","2,769.08","2,716.28","2,759.82"
12/22/2020,"2,772.03","2,774.22","2,733.64","2,733.68"
12/21/2020,"2,771.98","2,780.24","2,747.09","2,778.65"
12/18/2020,"2,770.95","2,782.15","2,762.80","2,772.18"
12/17/2020,"2,769.89","2,772.71","2,742.25","2,770.43"
12/16/2020,"2,763.64","2,781.08","2,761.50","2,771.79"
12/15/2020,"2,763.65","2,769.37","2,735.08","2,756.82"
12/14/2020,"2,769.43","2,782.79","2,755.29","2,762.20"
12/11/2020,"2,754.16","2,781.04","2,754.16","2,770.06"
12/10/2020,"2,750.34","2,765.46","2,718.70","2,746.46"
12/09/2020,"2,703.30","2,755.47","2,703.30","2,755.47"
12/08/2020,"2,745.13","2,747.45","2,700.92","2,700.93"
12/07/2020,"2,738.11","2,754.01","2,711.42","2,745.44"
12/04/2020,"2,705.34","2,742.77","2,705.34","2,731.45"
