Date,Open,High,Low,Close
02/02/2021,"6,838.26","6,917.92","6,837.31","6,867.88"
02/01/2021,"6,634.59","6,814.76","6,634.59","6,814.76"
01/29/2021,"6,826.65","6,827.38","6,612.62","6,612.62"
01/28/2021,"6,808.72","6,918.30","6,770.75","6,851.84"
01/27/2021,"6,947.52","6,949.48","6,824.88","6,863.61"
01/26/2021,"7,039.17","7,039.17","6,961.06","6,977.16"
01/25/2021,"7,026.77","7,071.50","7,012.76","7,071.50"
01/22/2021,"7,116.76","7,116.76","7,007.20","7,045.83"
01/21/2021,"7,161.07","7,161.07","7,112.33","7,140.29"
01/20/2021,"7,164.06","7,172.16","7,082.75","7,143.30"
01/19/2021,"7,158.73","7,198.45","7,137.56","7,198.45"
01/18/2021,"7,230.05","7,230.05","7,157.63","7,203.44"
01/15/2021,"7,282.26","7,297.41","7,238.46","7,238.46"
01/14/2021,"7,183.95","7,308.44","7,180.88","7,273.15"
01/13/2021,"7,259.46","7,284.60","7,233.99","7,242.85"
01/12/2021,"7,326.54","7,326.54","7,253.81","7,258.11"
01/11/2021,"7,292.99","7,432.40","7,285.08","7,304.79"
01/08/2021,"7,141.35","7,289.88","7,134.75","7,289.88"
01/07/2021,"7,054.39","7,126.07","7,028.06","7,119.61"
01/06/2021,"7,126.91","7,127.01","6,928.90","7,047.85"
01/05/2021,"7,186.72","7,186.72","7,104.00","7,134.18"
01/04/2021,"7,149.64","7,207.79","7,137.91","7,197.50"
12/29/2020,"7,123.12","7,173.27","7,120.82","7,139.71"
12/28/2020,"7,142.95","7,142.95","7,058.66","7,122.25"
12/23/2020,"7,169.05","7,206.46","7,075.18","7,204.38"
12/22/2020,"7,206.33","7,206.54","7,081.14","7,202.39"
12/21/2020,"7,244.85","7,251.02","7,157.88","7,224.89"
12/18/2020,"7,266.96","7,286.67","7,222.01","7,272.80"
12/17/2020,"7,271.65","7,298.02","7,236.82","7,298.02"
12/16/2020,"7,242.47","7,299.70","7,202.49","7,299.70"
12/15/2020,"7,281.91","7,290.60","7,214.14","7,227.73"
12/14/2020,"7,244.38","7,311.21","7,214.94","7,281.35"
12/11/2020,"7,183.88","7,304.90","7,181.22","7,246.16"
12/10/2020,"7,114.69","7,166.85","7,114.69","7,154.43"
12/09/2020,"7,197.07","7,247.34","7,102.66","7,102.66"
12/07/2020,"7,173.70","7,203.67","7,142.30","7,203.67"
12/04/2020,"7,184.57","7,196.96","7,097.35","7,134.56"
12/03/2020,"7,077.63","7,194.13","7,022.86","7,194.13"
12/02/2020,"7,019.25","7,080.62","6,988.27","7,080.62"
12/01/2020,"6,740.30","7,009.56","6,740.30","7,009.56"
11/27/2020,"6,885.07","6,909.03","6,791.46","6,791.46"
11/26/2020,"6,987.32","6,987.32","6,843.11","6,927.75"
11/25/2020,"7,125.44","7,146.13","6,994.79","7,001.51"
11/24/2020,"7,211.13","7,228.12","7,016.11","7,108.67"
11/23/2020,"7,163.98","7,263.71","7,158.68","7,178.62"
11/20/2020,"7,024.23","7,169.79","7,021.18","7,169.79"
11/19/2020,"7,008.96","7,012.54","6,974.65","6,997.62"
11/18/2020,"6,971.90","7,051.78","6,970.49","7,051.78"
11/17/2020,"6,950.52","6,971.60","6,921.12","6,959.14"
11/16/2020,"6,991.39","6,991.39","6,857.89","6,918.05"
11/13/2020,"6,933.89","6,972.66","6,917.02","6,969.88"
11/11/2020,"6,968.93","7,079.18","6,944.11","7,024.26"
11/10/2020,"6,792.58","7,035.48","6,792.58","7,035.48"
11/09/2020,"6,665.08","6,685.85","6,619.59","6,685.85"
11/06/2020,"6,686.13","6,709.73","6,571.00","6,685.69"
11/05/2020,"6,477.16","6,702.75","6,477.16","6,644.77"
11/04/2020,"6,374.47","6,464.05","6,334.09","6,464.05"
11/03/2020,"6,282.89","6,358.42","6,250.87","6,335.56"
10/30/2020,"6,233.60","6,328.38","6,202.90","6,324.00"
10/29/2020,"6,326.31","6,326.31","6,248.48","6,249.39"
10/28/2020,"6,413.60","6,415.03","6,377.79","6,377.79"
10/27/2020,"6,467.45","6,467.45","6,381.19","6,415.08"
10/26/2020,"6,496.19","6,517.26","6,453.20","6,491.19"
10/23/2020,"6,370.92","6,484.45","6,370.92","6,484.06"
10/22/2020,"6,309.87","6,344.63","6,241.31","6,344.63"
10/21/2020,"6,146.04","6,290.68","6,146.04","6,278.59"
10/20/2020,"6,022.61","6,133.00","6,018.33","6,112.71"
10/19/2020,"5,913.78","6,019.26","5,913.78","6,019.26"
10/16/2020,"5,921.34","5,939.62","5,898.47","5,898.47"
10/15/2020,"5,930.43","5,950.50","5,919.55","5,938.33"
10/14/2020,"5,923.92","5,933.83","5,913.01","5,925.30"
10/13/2020,"5,938.61","5,946.07","5,920.77","5,923.23"
10/12/2020,"5,935.40","5,954.47","5,910.73","5,937.05"
10/09/2020,"5,943.71","5,943.71","5,908.52","5,931.61"
10/08/2020,"5,888.45","5,942.66","5,825.48","5,942.66"
10/07/2020,"5,904.91","5,904.91","5,845.68","5,867.88"
10/06/2020,"5,938.41","5,949.67","5,850.85","5,910.64"
10/05/2020,"6,005.58","6,010.76","5,938.95","5,938.95"
10/02/2020,"5,942.15","5,999.40","5,924.86","5,999.40"
10/01/2020,"5,881.90","5,944.87","5,857.38","5,944.87"
09/30/2020,"5,863.50","5,878.53","5,849.50","5,864.23"
09/29/2020,"5,878.28","5,878.32","5,841.60","5,841.60"
