Date,Open,High,Low,Close
02/02/2021,"1,099.82","1,099.82","1,099.82","1,099.82"
02/01/2021,"1,090.90","1,090.90","1,090.90","1,090.90"
01/29/2021,"1,078.80","1,078.80","1,078.80","1,078.80"
01/28/2021,"1,087.97","1,087.97","1,087.97","1,087.97"
01/27/2021,"1,092.71","1,092.71","1,092.71","1,092.71"
01/26/2021,"1,110.20","1,110.20","1,110.20","1,110.20"
01/25/2021,"1,114.79","1,114.79","1,114.79","1,114.79"
01/22/2021,"1,081.73","1,081.73","1,081.73","1,081.73"
01/21/2021,"1,090.26","1,090.26","1,090.26","1,090.26"
01/20/2021,"1,115.05","1,115.05","1,115.05","1,115.05"
01/19/2021,"1,116.99","1,116.99","1,116.99","1,116.99"
01/18/2021,"1,120.93","1,120.93","1,120.93","1,120.93"
01/15/2021,"1,119.93","1,119.93","1,119.93","1,119.93"
01/14/2021,"1,128.93","1,128.93","1,128.93","1,128.93"
01/13/2021,"1,127.55","1,127.55","1,127.55","1,127.55"
01/12/2021,"1,130.26","1,130.26","1,130.26","1,130.26"
01/11/2021,"1,124.14","1,124.14","1,124.14","1,124.14"
01/08/2021,"1,123.14","1,123.14","1,123.14","1,123.14"
01/07/2021,"1,092.74","1,092.74","1,092.74","1,092.74"
01/06/2021,"1,074.92","1,074.92","1,074.92","1,074.92"
01/05/2021,"1,069.46","1,069.46","1,069.46","1,069.46"
01/04/2021,"1,065.38","1,065.38","1,065.38","1,065.38"
01/01/2021,"1,063.14","1,063.14","1,063.14","1,063.14"
12/31/2020,"1,063.14","1,063.14","1,063.14","1,063.14"
12/30/2020,"1,063.14","1,063.14","1,063.14","1,063.14"
12/29/2020,"1,068.36","1,068.36","1,068.36","1,068.36"
12/28/2020,"1,060.34","1,060.34","1,060.34","1,060.34"
12/25/2020,"1,039.72","1,039.72","1,039.72","1,039.72"
12/24/2020,"1,039.72","1,039.72","1,039.72","1,039.72"
12/23/2020,"1,039.72","1,039.72","1,039.72","1,039.72"
12/22/2020,"1,031.03","1,031.03","1,031.03","1,031.03"
12/21/2020,"1,014.16","1,014.16","1,014.16","1,014.16"
12/18/2020,"1,040.65","1,040.65","1,040.65","1,040.65"
12/17/2020,"1,036.20","1,036.20","1,036.20","1,036.20"
12/16/2020,"1,017.29","1,017.29","1,017.29","1,017.29"
12/15/2020,"997.15","997.15","997.15","997.15"
12/14/2020,"997.81","997.81","997.81","997.81"
12/11/2020,"991.43","991.43","991.43","991.43"
12/10/2020,"1,001.59","1,001.59","1,001.59","1,001.59"
12/09/2020,"1,009.68","1,009.68","1,009.68","1,009.68"
12/08/2020,"1,000.55","1,000.55","1,000.55","1,000.55"
12/07/2020,"992.70","992.70","992.70","992.70"
12/04/2020,"987.81","987.81","987.81","987.81"
12/03/2020,"979.00","979.00","979.00","979.00"
12/02/2020,"979.19","979.19","979.19","979.19"
12/01/2020,"979.79","979.79","979.79","979.79"
11/30/2020,"976.48","976.48","976.48","976.48"
11/27/2020,"986.69","986.69","986.69","986.69"
11/26/2020,"983.52","983.52","983.52","983.52"
11/25/2020,"985.60","985.60","985.60","985.60"
11/24/2020,"985.38","985.38","985.38","985.38"
11/23/2020,"986.17","986.17","986.17","986.17"
11/20/2020,"972.46","972.46","972.46","972.46"
11/19/2020,"963.66","963.66","963.66","963.66"
11/18/2020,"976.47","976.47","976.47","976.47"
11/17/2020,"969.28","969.28","969.28","969.28"
11/16/2020,"969.28","969.28","969.28","969.28"
11/13/2020,"940.80","940.80","940.80","940.80"
11/12/2020,"947.19","947.19","947.19","947.19"
11/11/2020,"945.23","945.23","945.23","945.23"
11/10/2020,"939.34","939.34","939.34","939.34"
11/09/2020,"933.09","933.09","933.09","933.09"
11/06/2020,"894.96","894.96","894.96","894.96"
11/05/2020,"898.39","898.39","898.39","898.39"
11/04/2020,"886.22","886.22","886.22","886.22"
11/03/2020,"879.10","879.10","879.10","879.10"
11/02/2020,"868.09","868.09","868.09","868.09"
10/30/2020,"856.88","856.88","856.88","856.88"
10/29/2020,"859.58","859.58","859.58","859.58"
10/28/2020,"874.88","874.88","874.88","874.88"
10/27/2020,"874.88","874.88","874.88","874.88"
10/26/2020,"864.22","864.22","864.22","864.22"
10/23/2020,"861.55","861.55","861.55","861.55"
10/22/2020,"856.47","856.47","856.47","856.47"
10/21/2020,"859.63","859.63","859.63","859.63"
10/20/2020,"869.47","869.47","869.47","869.47"
10/19/2020,"862.82","862.82","862.82","862.82"
10/16/2020,"862.16","862.16","862.16","862.16"
10/15/2020,"851.42","851.42","851.42","851.42"
10/14/2020,"862.62","862.62","862.62","862.62"
10/13/2020,"860.26","860.26","860.26","860.26"
10/12/2020,"863.14","863.14","863.14","863.14"
10/09/2020,"869.27","869.27","869.27","869.27"
10/08/2020,"875.09","875.09","875.09","875.09"
10/07/2020,"875.13","875.13","875.13","875.13"
10/06/2020,"872.66","872.66","872.66","872.66"
