Date,Open,High,Low,Close
02/02/2021,"5,510.62","5,574.77","5,509.24","5,563.11"
02/01/2021,"5,441.43","5,481.67","5,429.78","5,461.68"
01/29/2021,"5,421.53","5,474.80","5,399.21","5,399.21"
01/28/2021,"5,407.74","5,525.95","5,379.22","5,510.52"
01/27/2021,"5,517.53","5,545.45","5,401.43","5,459.62"
01/26/2021,"5,473.25","5,555.28","5,471.09","5,523.52"
01/25/2021,"5,579.73","5,584.40","5,453.24","5,472.36"
01/22/2021,"5,568.88","5,573.71","5,511.44","5,559.57"
01/21/2021,"5,660.27","5,665.98","5,589.80","5,590.79"
01/20/2021,"5,615.41","5,646.06","5,602.49","5,628.44"
01/19/2021,"5,647.75","5,655.22","5,592.20","5,598.61"
01/18/2021,"5,584.85","5,618.42","5,584.59","5,617.27"
01/15/2021,"5,648.70","5,656.45","5,563.74","5,611.69"
01/14/2021,"5,662.17","5,690.49","5,656.75","5,681.14"
01/13/2021,"5,648.96","5,679.07","5,643.75","5,662.67"
01/12/2021,"5,672.20","5,679.06","5,636.75","5,650.97"
01/11/2021,"5,684.66","5,704.09","5,629.46","5,662.43"
01/08/2021,"5,711.58","5,721.89","5,676.15","5,706.88"
01/07/2021,"5,651.04","5,689.28","5,629.49","5,669.85"
01/06/2021,"5,601.01","5,648.42","5,553.39","5,630.60"
01/05/2021,"5,561.60","5,603.66","5,530.48","5,564.60"
01/04/2021,"5,614.04","5,656.42","5,567.97","5,588.96"
12/31/2020,"5,573.20","5,598.93","5,551.41","5,551.41"
12/30/2020,"5,603.72","5,625.60","5,594.11","5,599.41"
12/29/2020,"5,610.13","5,625.52","5,603.74","5,611.79"
12/28/2020,"5,562.04","5,601.00","5,547.90","5,588.38"
12/24/2020,"5,542.49","5,545.71","5,517.01","5,522.01"
12/23/2020,"5,472.14","5,539.16","5,472.03","5,527.59"
12/22/2020,"5,411.15","5,477.87","5,411.15","5,466.86"
12/21/2020,"5,392.55","5,422.10","5,306.58","5,393.34"
12/18/2020,"5,533.78","5,581.96","5,519.17","5,527.84"
12/17/2020,"5,578.79","5,585.51","5,547.59","5,549.46"
12/16/2020,"5,551.45","5,589.76","5,515.50","5,547.68"
12/15/2020,"5,521.79","5,565.52","5,517.06","5,530.31"
