Date,Open,High,Low,Close
02/03/2021,"13,986.72","13,988.15","13,866.39","13,933.63"
02/02/2021,"13,724.12","13,844.94","13,693.93","13,835.16"
02/01/2021,"13,559.94","13,648.05","13,518.45","13,622.02"
01/29/2021,"13,474.20","13,593.03","13,403.74","13,432.87"
01/28/2021,"13,500.64","13,698.54","13,310.95","13,665.93"
01/27/2021,"13,827.47","13,851.84","13,475.03","13,620.46"
01/26/2021,"13,687.39","13,925.73","13,670.23","13,870.99"
01/25/2021,"13,943.96","13,946.85","13,599.78","13,643.95"
01/22/2021,"13,858.05","13,897.73","13,744.26","13,873.97"
01/21/2021,"13,997.78","14,026.35","13,878.84","13,906.67"
01/20/2021,"13,848.77","13,952.20","13,835.99","13,921.37"
01/19/2021,"13,935.93","13,940.05","13,804.46","13,815.06"
01/18/2021,"13,701.98","13,850.40","13,701.74","13,848.35"
01/15/2021,"13,904.30","13,958.16","13,672.67","13,787.73"
01/14/2021,"13,973.77","14,030.22","13,942.88","13,988.70"
01/13/2021,"13,899.06","13,978.43","13,868.83","13,939.71"
01/12/2021,"13,985.89","13,999.57","13,871.44","13,925.06"
01/11/2021,"13,986.42","14,007.65","13,806.69","13,936.66"
01/08/2021,"14,106.60","14,131.52","14,007.71","14,049.53"
01/07/2021,"13,946.53","14,007.47","13,902.24","13,968.24"
01/06/2021,"13,687.08","13,919.23","13,617.11","13,891.97"
01/05/2021,"13,680.69","13,768.13","13,566.47","13,651.22"
01/04/2021,"13,890.22","13,907.13","13,647.79","13,726.74"
12/30/2020,"13,750.99","13,797.09","13,717.47","13,718.78"
12/29/2020,"13,873.35","13,903.11","13,747.08","13,761.38"
12/28/2020,"13,779.05","13,818.65","13,740.21","13,790.29"
12/23/2020,"13,456.63","13,601.71","13,456.63","13,587.23"
12/22/2020,"13,311.02","13,441.59","13,310.42","13,418.11"
12/21/2020,"13,398.22","13,399.99","13,060.34","13,246.30"
12/18/2020,"13,649.66","13,774.45","13,624.25","13,630.51"
12/17/2020,"13,691.49","13,725.84","13,649.53","13,667.25"
12/16/2020,"13,416.29","13,596.74","13,412.41","13,565.98"
12/15/2020,"13,216.49","13,374.96","13,210.15","13,362.87"
12/14/2020,"13,224.26","13,292.30","13,190.53","13,223.16"
12/11/2020,"13,255.24","13,265.61","13,009.48","13,114.30"
