Date,Open,High,Low,Close
02/02/2021,"1,708.88","1,708.88","1,708.88","1,708.88"
02/01/2021,"1,696.20","1,696.20","1,696.20","1,696.20"
01/29/2021,"1,685.03","1,685.03","1,685.03","1,685.03"
01/28/2021,"1,707.26","1,707.26","1,707.26","1,707.26"
01/27/2021,"1,681.72","1,681.72","1,681.72","1,681.72"
01/26/2021,"1,717.55","1,717.55","1,717.55","1,717.55"
01/25/2021,"1,692.12","1,692.12","1,692.12","1,692.12"
01/22/2021,"1,728.91","1,728.91","1,728.91","1,728.91"
01/21/2021,"1,753.67","1,753.67","1,753.67","1,753.67"
01/20/2021,"1,764.28","1,764.28","1,764.28","1,764.28"
01/19/2021,"1,749.14","1,749.14","1,749.14","1,749.14"
01/18/2021,"1,746.51","1,746.51","1,746.51","1,746.51"
01/15/2021,"1,735.24","1,735.24","1,735.24","1,735.24"
01/14/2021,"1,764.57","1,764.57","1,764.57","1,764.57"
01/13/2021,"1,775.47","1,775.47","1,775.47","1,775.47"
01/12/2021,"1,769.76","1,769.76","1,769.76","1,769.76"
01/11/2021,"1,773.42","1,773.42","1,773.42","1,773.42"
01/08/2021,"1,795.91","1,795.91","1,795.91","1,795.91"
01/07/2021,"1,794.60","1,794.60","1,794.60","1,794.60"
01/06/2021,"1,794.78","1,794.78","1,794.78","1,794.78"
01/05/2021,"1,754.16","1,754.16","1,754.16","1,754.16"
01/04/2021,"1,760.80","1,760.80","1,760.80","1,760.80"
12/31/2020,"1,760.82","1,760.82","1,760.82","1,760.82"
12/30/2020,"1,760.82","1,760.82","1,760.82","1,760.82"
12/29/2020,"1,755.33","1,755.33","1,755.33","1,755.33"
12/28/2020,"1,753.30","1,753.30","1,753.30","1,753.30"
12/25/2020,"1,737.28","1,737.28","1,737.28","1,737.28"
12/24/2020,"1,737.28","1,737.28","1,737.28","1,737.28"
12/23/2020,"1,737.28","1,737.28","1,737.28","1,737.28"
12/22/2020,"1,711.68","1,711.68","1,711.68","1,711.68"
12/21/2020,"1,683.10","1,683.10","1,683.10","1,683.10"
12/18/2020,"1,729.96","1,729.96","1,729.96","1,729.96"
12/17/2020,"1,734.65","1,734.65","1,734.65","1,734.65"
12/16/2020,"1,725.54","1,725.54","1,725.54","1,725.54"
12/15/2020,"1,718.65","1,718.65","1,718.65","1,718.65"
12/14/2020,"1,696.13","1,696.13","1,696.13","1,696.13"
12/11/2020,"1,690.44","1,690.44","1,690.44","1,690.44"
12/10/2020,"1,710.70","1,710.70","1,710.70","1,710.70"
12/09/2020,"1,709.02","1,709.02","1,709.02","1,709.02"
12/08/2020,"1,719.49","1,719.49","1,719.49","1,719.49"
12/07/2020,"1,726.13","1,726.13","1,726.13","1,726.13"
12/04/2020,"1,733.00","1,733.00","1,733.00","1,733.00"
12/03/2020,"1,719.95","1,719.95","1,719.95","1,719.95"
12/02/2020,"1,703.70","1,703.70","1,703.70","1,703.70"
