Date,Open,High,Low,Close
02/03/2021,"984.62","994.62","984.62","992.83"
02/02/2021,"971.91","985.94","971.91","984.56"
02/01/2021,"966.95","974.74","965.02","971.83"
01/29/2021,"963.91","967.80","951.86","966.90"
01/28/2021,"962.79","968.83","943.42","965.73"
01/27/2021,"977.02","981.74","958.96","962.56"
01/26/2021,"983.92","986.96","972.07","977.01"
01/25/2021,"993.92","997.92","972.57","983.99"
01/22/2021,"1,001.54","1,001.54","991.61","994.21"
01/20/2021,"1,004.69","1,009.93","1,002.01","1,002.69"
01/19/2021,"994.02","1,004.69","993.90","1,004.69"
01/18/2021,"987.95","993.80","979.22","993.80"
01/15/2021,"998.64","998.64","987.71","987.92"
01/14/2021,"990.41","999.24","990.41","998.77"
01/13/2021,"998.53","1,008.32","990.30","990.40"
01/12/2021,"991.01","1,000.20","991.01","998.56"
01/11/2021,"1,001.16","1,001.16","986.88","990.91"
01/08/2021,"991.23","1,005.78","991.23","1,001.16"
01/07/2021,"975.90","991.47","975.90","991.22"
01/06/2021,"964.14","977.32","964.14","975.86"
01/05/2021,"965.97","968.92","962.26","964.13"
01/04/2021,"973.94","983.72","965.95","965.95"
12/30/2020,"970.29","974.76","968.51","973.97"
12/29/2020,"966.67","975.90","966.67","970.30"
12/28/2020,"953.69","966.67","953.69","966.67"
12/23/2020,"938.85","953.68","938.85","953.65"
12/22/2020,"928.25","939.02","928.25","938.83"
12/21/2020,"950.47","950.47","922.13","928.23"
12/18/2020,"942.19","951.52","940.30","950.50"
12/17/2020,"939.89","947.95","939.89","942.20"
12/16/2020,"936.77","942.63","936.77","939.89"
12/15/2020,"936.64","939.53","931.36","936.66"
12/14/2020,"937.58","945.54","933.95","936.64"
12/11/2020,"942.59","943.23","933.45","937.58"
12/10/2020,"942.49","945.38","935.35","942.58"
12/09/2020,"933.44","942.93","933.44","942.93"
12/07/2020,"936.00","938.97","930.92","932.99"
12/04/2020,"927.16","935.44","926.33","935.41"
12/03/2020,"928.14","933.38","924.47","927.09"
12/02/2020,"934.91","935.16","924.28","928.10"
12/01/2020,"930.39","940.86","926.64","934.91"
11/30/2020,"946.29","946.29","930.39","930.39"
11/27/2020,"935.81","946.35","933.06","946.30"
11/26/2020,"933.88","937.06","932.50","935.81"
11/25/2020,"935.30","939.24","927.73","933.78"
11/24/2020,"917.29","935.55","917.29","935.09"
11/23/2020,"908.53","921.13","908.53","917.27"
11/20/2020,"902.94","913.20","902.68","908.44"
11/19/2020,"912.15","912.33","900.82","902.94"
11/18/2020,"908.25","913.27","905.86","912.15"
11/17/2020,"908.96","912.88","906.21","908.25"
11/16/2020,"892.18","912.23","892.07","908.96"
11/13/2020,"889.92","894.18","884.23","892.01"
11/12/2020,"889.43","891.53","883.76","889.95"
11/11/2020,"878.94","890.85","878.94","889.43"
11/10/2020,"883.16","883.20","871.93","878.93"
11/09/2020,"845.82","883.72","845.82","883.14"
11/06/2020,"845.04","847.57","839.14","845.72"
11/05/2020,"841.59","846.26","838.25","845.03"
11/04/2020,"829.35","841.73","820.26","841.57"
11/03/2020,"823.58","834.37","823.46","829.36"
11/02/2020,"811.97","823.82","810.30","823.55"
10/30/2020,"810.03","812.00","803.11","811.85"
10/29/2020,"799.67","811.49","796.24","810.04"
10/28/2020,"825.98","825.98","799.68","799.68"
10/27/2020,"832.34","836.22","823.34","826.00"
10/26/2020,"858.85","858.85","832.38","832.41"
10/23/2020,"848.50","861.92","848.50","858.90"
10/22/2020,"857.35","857.65","845.65","848.50"
10/21/2020,"868.58","874.62","854.75","857.55"
10/20/2020,"873.46","878.48","868.42","868.42"
10/19/2020,"872.54","877.08","871.68","873.50"
10/16/2020,"863.06","877.99","863.06","872.52"
10/15/2020,"877.63","878.53","861.79","862.96"
10/14/2020,"875.38","879.53","872.92","877.63"
10/13/2020,"878.05","880.47","874.43","875.37"
10/12/2020,"876.28","882.26","876.28","878.13"
10/09/2020,"879.25","882.68","875.52","876.28"
10/08/2020,"872.53","880.00","872.53","879.20"
10/07/2020,"877.63","878.84","871.71","872.10"
10/06/2020,"867.94","879.09","867.94","877.61"
10/05/2020,"852.97","867.94","852.97","867.94"
10/02/2020,"852.07","853.44","844.15","852.97"
10/01/2020,"856.09","858.81","852.61","852.73"
09/30/2020,"850.34","856.60","843.44","856.09"
09/29/2020,"851.58","852.59","846.28","850.34"
09/28/2020,"838.14","851.58","838.08","851.55"
09/25/2020,"838.89","846.67","836.17","838.14"
09/24/2020,"846.58","846.58","832.94","838.88"
09/23/2020,"844.93","854.08","844.80","846.80"
09/22/2020,"834.68","848.94","834.58","845.09"
09/21/2020,"866.20","866.39","834.69","834.69"
09/18/2020,"865.89","866.69","860.62","866.16"
09/17/2020,"865.63","865.91","858.20","865.89"
09/16/2020,"862.82","868.38","862.47","865.63"
09/15/2020,"854.62","864.79","854.27","862.78"
09/14/2020,"857.45","864.43","854.60","854.62"
09/11/2020,"854.21","858.54","850.60","857.45"
09/10/2020,"857.99","860.60","852.83","854.19"
09/09/2020,"842.57","857.96","840.14","857.53"
09/08/2020,"854.85","857.71","839.56","842.58"
