Date,Open,High,Low,Close
02/02/2021,"6,466.42","6,523.51","6,466.42","6,516.65"
02/01/2021,"6,407.46","6,495.56","6,407.46","6,466.42"
01/29/2021,"6,526.15","6,526.15","6,397.24","6,407.46"
01/28/2021,"6,567.37","6,567.37","6,439.55","6,526.15"
01/27/2021,"6,654.01","6,661.31","6,505.84","6,567.37"
01/26/2021,"6,638.85","6,702.35","6,636.34","6,654.01"
01/25/2021,"6,695.07","6,714.61","6,610.26","6,638.85"
01/22/2021,"6,715.42","6,715.66","6,651.71","6,695.07"
01/21/2021,"6,740.39","6,776.92","6,715.42","6,715.42"
01/20/2021,"6,712.95","6,751.81","6,697.46","6,740.39"
01/19/2021,"6,720.65","6,770.66","6,697.67","6,712.95"
01/18/2021,"6,735.71","6,741.47","6,709.33","6,720.65"
01/15/2021,"6,801.96","6,802.05","6,676.55","6,735.71"
01/14/2021,"6,745.52","6,801.96","6,736.78","6,801.96"
01/13/2021,"6,754.11","6,772.57","6,736.01","6,745.52"
01/12/2021,"6,798.48","6,816.65","6,738.21","6,754.11"
01/11/2021,"6,873.26","6,873.26","6,768.72","6,798.48"
01/08/2021,"6,856.96","6,886.34","6,836.08","6,873.26"
01/07/2021,"6,841.86","6,903.61","6,795.11","6,856.96"
01/06/2021,"6,612.25","6,859.14","6,611.87","6,841.86"
01/05/2021,"6,571.88","6,622.77","6,544.25","6,612.25"
01/04/2021,"6,460.52","6,662.66","6,460.52","6,571.88"
12/31/2020,"6,555.82","6,555.82","6,439.41","6,460.52"
12/30/2020,"6,602.65","6,622.98","6,552.46","6,555.82"
12/29/2020,"6,502.11","6,676.60","6,502.11","6,602.65"
12/24/2020,"6,495.75","6,530.28","6,479.59","6,502.11"
12/23/2020,"6,453.16","6,497.28","6,431.21","6,495.75"
12/22/2020,"6,416.32","6,457.47","6,382.61","6,453.16"
12/21/2020,"6,529.18","6,529.18","6,315.34","6,416.32"
12/18/2020,"6,551.06","6,604.54","6,518.25","6,529.18"
12/17/2020,"6,570.91","6,601.63","6,551.06","6,551.06"
12/16/2020,"6,513.32","6,598.42","6,513.32","6,570.91"
12/15/2020,"6,531.83","6,558.24","6,484.04","6,513.32"
12/14/2020,"6,546.75","6,583.70","6,524.70","6,531.83"
12/11/2020,"6,599.76","6,607.44","6,520.54","6,546.75"
12/10/2020,"6,564.29","6,640.74","6,561.11","6,599.76"
12/09/2020,"6,558.82","6,623.03","6,558.82","6,564.29"
12/08/2020,"6,555.39","6,567.59","6,518.37","6,558.82"
12/07/2020,"6,550.23","6,601.11","6,519.82","6,555.39"
12/04/2020,"6,490.27","6,559.18","6,489.75","6,550.23"
12/03/2020,"6,463.39","6,491.49","6,430.27","6,490.27"
12/02/2020,"6,384.73","6,468.64","6,367.51","6,463.39"
12/01/2020,"6,266.19","6,400.24","6,263.60","6,384.73"
11/30/2020,"6,367.58","6,404.02","6,266.19","6,266.19"
11/27/2020,"6,362.93","6,375.91","6,302.22","6,367.58"
11/26/2020,"6,391.09","6,412.65","6,349.53","6,362.93"
11/25/2020,"6,432.17","6,468.73","6,375.25","6,391.09"
11/24/2020,"6,333.84","6,432.42","6,333.72","6,432.17"
11/23/2020,"6,351.45","6,392.08","6,325.24","6,333.84"
11/20/2020,"6,334.35","6,386.70","6,324.60","6,351.45"
11/19/2020,"6,385.24","6,385.24","6,314.26","6,334.35"
11/18/2020,"6,365.33","6,395.91","6,326.74","6,385.24"
11/17/2020,"6,421.29","6,424.53","6,308.99","6,365.33"
11/16/2020,"6,316.39","6,463.51","6,316.39","6,421.29"
11/13/2020,"6,338.94","6,338.97","6,280.40","6,316.39"
11/12/2020,"6,382.10","6,382.10","6,295.79","6,338.94"
11/11/2020,"6,296.85","6,397.28","6,293.21","6,382.10"
11/10/2020,"6,186.29","6,307.00","6,180.47","6,296.85"
11/09/2020,"5,910.02","6,258.31","5,910.02","6,186.29"
11/06/2020,"5,906.18","5,950.22","5,858.48","5,910.02"
11/05/2020,"5,883.26","5,933.05","5,881.87","5,906.18"
11/04/2020,"5,786.77","5,885.67","5,711.21","5,883.26"
11/03/2020,"5,654.97","5,787.61","5,654.97","5,786.77"
11/02/2020,"5,577.27","5,665.30","5,554.73","5,654.97"
10/30/2020,"5,581.75","5,593.40","5,534.08","5,577.27"
10/29/2020,"5,582.80","5,616.58","5,534.66","5,581.75"
10/28/2020,"5,728.99","5,728.99","5,525.52","5,582.80"
10/27/2020,"5,792.01","5,806.23","5,728.18","5,728.99"
10/26/2020,"5,860.28","5,868.36","5,782.37","5,792.01"
10/23/2020,"5,785.65","5,885.38","5,781.78","5,860.28"
10/22/2020,"5,776.50","5,796.44","5,716.40","5,785.65"
10/21/2020,"5,889.22","5,903.38","5,769.62","5,776.50"
10/20/2020,"5,884.65","5,915.47","5,861.81","5,889.22"
10/19/2020,"5,919.58","5,959.67","5,871.95","5,884.65"
10/16/2020,"5,832.52","5,933.81","5,832.52","5,919.58"
10/15/2020,"5,935.06","5,935.06","5,786.20","5,832.52"
10/14/2020,"5,969.71","6,009.81","5,926.49","5,935.06"
10/13/2020,"6,001.38","6,008.04","5,949.97","5,969.71"
10/12/2020,"6,016.65","6,037.08","5,995.11","6,001.38"
10/09/2020,"5,978.03","6,040.47","5,978.03","6,016.65"
10/08/2020,"5,946.25","6,004.15","5,929.41","5,978.03"
10/07/2020,"5,949.94","5,977.15","5,929.16","5,946.25"
10/06/2020,"5,942.94","5,971.48","5,903.40","5,949.94"
10/05/2020,"5,902.12","5,974.22","5,902.12","5,942.94"
10/02/2020,"5,879.45","5,902.12","5,809.61","5,902.12"
10/01/2020,"5,866.10","5,925.77","5,849.82","5,879.45"
09/30/2020,"5,897.50","5,931.37","5,854.46","5,866.10"
09/29/2020,"5,927.93","5,927.93","5,862.93","5,897.50"
09/28/2020,"5,842.67","5,954.42","5,842.67","5,927.93"
09/25/2020,"5,822.78","5,843.72","5,771.49","5,842.67"
09/24/2020,"5,899.26","5,899.26","5,805.28","5,822.78"
09/23/2020,"5,829.46","5,974.88","5,829.46","5,899.26"
09/22/2020,"5,804.29","5,871.28","5,794.54","5,829.46"
09/21/2020,"6,007.05","6,007.05","5,779.24","5,804.29"
09/18/2020,"6,049.92","6,055.24","6,006.28","6,007.05"
09/17/2020,"6,078.48","6,078.48","5,998.69","6,049.92"
09/16/2020,"6,105.54","6,119.24","6,057.63","6,078.48"
09/15/2020,"6,026.25","6,123.69","6,026.17","6,105.54"
09/14/2020,"6,032.09","6,080.02","6,011.83","6,026.25"
09/11/2020,"6,003.32","6,057.69","5,992.93","6,032.09"
09/10/2020,"6,012.84","6,028.76","5,950.62","6,003.32"
09/09/2020,"5,930.30","6,031.25","5,923.43","6,012.84"
09/08/2020,"5,937.40","5,985.26","5,868.87","5,930.30"
09/07/2020,"5,799.08","5,946.93","5,798.47","5,937.40"
09/04/2020,"5,850.86","5,904.16","5,778.40","5,799.08"
09/03/2020,"5,940.95","5,996.24","5,838.02","5,850.86"
09/02/2020,"5,862.05","5,974.70","5,862.05","5,940.95"
09/01/2020,"5,963.57","5,972.52","5,824.04","5,862.05"
08/28/2020,"5,999.99","6,033.04","5,962.46","5,963.57"
08/27/2020,"6,045.60","6,062.52","5,999.99","5,999.99"
08/26/2020,"6,037.01","6,050.81","5,992.22","6,045.60"
08/25/2020,"6,104.73","6,173.48","6,032.10","6,037.01"
08/24/2020,"6,001.89","6,119.80","6,001.89","6,104.73"
08/21/2020,"6,013.34","6,036.51","5,948.80","6,001.89"
08/20/2020,"6,111.98","6,111.98","6,009.61","6,013.34"
08/19/2020,"6,076.62","6,114.83","6,045.00","6,111.98"
08/18/2020,"6,127.44","6,162.66","6,062.58","6,076.62"
08/17/2020,"6,090.04","6,140.19","6,061.46","6,127.44"
08/14/2020,"6,185.62","6,185.62","6,036.13","6,090.04"
08/13/2020,"6,280.12","6,280.12","6,185.62","6,185.62"
08/12/2020,"6,154.34","6,297.20","6,151.64","6,280.12"
08/11/2020,"6,050.59","6,206.00","6,050.59","6,154.34"
08/10/2020,"6,032.18","6,099.48","6,028.49","6,050.59"
08/07/2020,"6,026.94","6,046.02","5,996.73","6,032.18"
08/06/2020,"6,104.72","6,104.72","5,980.44","6,026.94"
08/05/2020,"6,036.00","6,111.50","6,036.00","6,104.72"
08/04/2020,"6,032.85","6,056.47","5,986.77","6,036.00"
08/03/2020,"5,897.76","6,038.76","5,857.06","6,032.85"
07/31/2020,"5,989.99","6,046.33","5,897.76","5,897.76"
07/30/2020,"6,131.46","6,145.83","5,924.70","5,989.99"
07/29/2020,"6,129.26","6,155.06","6,116.72","6,131.46"
07/28/2020,"6,104.88","6,149.86","6,083.65","6,129.26"
07/27/2020,"6,123.82","6,127.62","6,086.64","6,104.88"
07/24/2020,"6,211.44","6,211.44","6,099.06","6,123.82"
07/23/2020,"6,207.10","6,273.63","6,202.90","6,211.44"
07/22/2020,"6,269.73","6,270.96","6,197.45","6,207.10"
07/21/2020,"6,261.52","6,315.68","6,253.90","6,269.73"
07/20/2020,"6,290.30","6,297.64","6,222.15","6,261.52"
07/17/2020,"6,250.69","6,293.68","6,230.01","6,290.30"
07/16/2020,"6,292.65","6,296.78","6,227.33","6,250.69"
07/15/2020,"6,179.75","6,323.55","6,179.75","6,292.65"
07/14/2020,"6,176.19","6,179.75","6,093.23","6,179.75"
07/13/2020,"6,095.41","6,187.33","6,095.41","6,176.19"
07/10/2020,"6,049.62","6,108.20","6,003.19","6,095.41"
07/09/2020,"6,156.16","6,176.84","6,040.26","6,049.62"
07/08/2020,"6,189.90","6,208.43","6,144.52","6,156.16"
07/07/2020,"6,285.94","6,285.94","6,179.97","6,189.90"
07/06/2020,"6,157.30","6,304.19","6,157.30","6,285.94"
07/03/2020,"6,240.36","6,262.71","6,137.09","6,157.30"
07/02/2020,"6,157.96","6,258.60","6,157.96","6,240.36"
07/01/2020,"6,169.74","6,201.95","6,084.48","6,157.96"
06/30/2020,"6,225.77","6,237.51","6,146.98","6,169.74"
06/29/2020,"6,159.30","6,251.96","6,122.95","6,225.77"
06/26/2020,"6,147.14","6,262.13","6,147.14","6,159.30"
06/25/2020,"6,123.69","6,162.44","6,029.25","6,147.14"
06/24/2020,"6,320.12","6,320.12","6,123.69","6,123.69"
06/23/2020,"6,244.62","6,342.19","6,244.62","6,320.12"
06/22/2020,"6,292.60","6,309.04","6,225.53","6,244.62"
06/19/2020,"6,224.07","6,319.81","6,224.07","6,292.60"
06/18/2020,"6,253.25","6,284.96","6,184.88","6,224.07"
06/17/2020,"6,242.79","6,309.74","6,233.24","6,253.25"
06/16/2020,"6,064.70","6,299.02","6,064.70","6,242.79"
06/15/2020,"6,105.18","6,105.18","5,952.44","6,064.70"
06/12/2020,"6,076.70","6,184.29","5,993.20","6,105.18"
06/11/2020,"6,329.13","6,329.13","6,076.70","6,076.70"
06/10/2020,"6,335.72","6,387.35","6,293.83","6,329.13"
06/09/2020,"6,472.59","6,475.01","6,325.07","6,335.72"
06/08/2020,"6,484.30","6,511.84","6,423.06","6,472.59"
06/05/2020,"6,341.44","6,489.99","6,341.44","6,484.30"
06/04/2020,"6,382.41","6,402.57","6,314.59","6,341.44"
06/03/2020,"6,220.14","6,394.70","6,220.14","6,382.41"
06/02/2020,"6,166.42","6,238.25","6,165.05","6,220.14"
06/01/2020,"6,076.60","6,179.34","6,076.60","6,166.42"
05/29/2020,"6,218.79","6,218.79","6,060.16","6,076.60"
05/28/2020,"6,144.25","6,234.04","6,144.25","6,218.79"
05/27/2020,"6,067.76","6,167.96","6,067.76","6,144.25"
05/26/2020,"5,993.28","6,130.12","5,993.28","6,067.76"
05/22/2020,"6,015.25","6,015.25","5,888.58","5,993.28"
05/21/2020,"6,067.16","6,093.74","6,004.10","6,015.25"
05/20/2020,"6,002.23","6,074.46","5,961.56","6,067.16"
05/19/2020,"6,048.59","6,111.96","5,965.10","6,002.23"
05/18/2020,"5,799.77","6,058.17","5,799.61","6,048.59"
05/15/2020,"5,741.54","5,837.88","5,741.54","5,799.77"
05/14/2020,"5,904.05","5,904.05","5,661.14","5,741.54"
05/13/2020,"5,994.77","5,994.77","5,893.35","5,904.05"
05/12/2020,"5,939.73","6,012.98","5,911.37","5,994.77"
05/11/2020,"5,935.98","5,999.13","5,898.32","5,939.73"
05/07/2020,"5,853.76","5,941.86","5,853.60","5,935.98"
05/06/2020,"5,849.42","5,897.44","5,839.57","5,853.76"
05/05/2020,"5,753.78","5,869.45","5,753.78","5,849.42"
05/04/2020,"5,763.06","5,792.85","5,702.03","5,753.78"
05/01/2020,"5,901.21","5,901.21","5,746.06","5,763.06"
04/30/2020,"6,115.25","6,151.58","5,897.91","5,901.21"
04/29/2020,"5,958.50","6,129.60","5,950.83","6,115.25"
04/28/2020,"5,846.79","5,977.76","5,835.92","5,958.50"
04/27/2020,"5,752.23","5,855.61","5,752.23","5,846.79"
04/24/2020,"5,826.61","5,827.24","5,728.80","5,752.23"
04/23/2020,"5,770.63","5,843.61","5,735.93","5,826.61"
04/22/2020,"5,641.03","5,777.06","5,641.03","5,770.63"
04/21/2020,"5,812.83","5,812.83","5,641.03","5,641.03"
04/20/2020,"5,786.96","5,823.93","5,707.73","5,812.83"
04/17/2020,"5,628.43","5,839.33","5,628.43","5,786.96"
04/16/2020,"5,597.65","5,657.63","5,577.78","5,628.43"
04/15/2020,"5,791.31","5,791.71","5,576.35","5,597.65"
04/14/2020,"5,842.66","5,894.71","5,778.98","5,791.31"
04/13/2020,"5,842.66","5,842.66","5,842.66","5,842.66"
04/10/2020,"5,842.66","5,842.66","5,842.66","5,842.66"
04/09/2020,"5,677.73","5,842.66","5,677.68","5,842.66"
04/08/2020,"5,704.45","5,704.45","5,589.73","5,677.73"
04/07/2020,"5,582.39","5,780.21","5,582.39","5,704.45"
04/06/2020,"5,415.50","5,590.58","5,415.50","5,582.39"
04/03/2020,"5,480.22","5,486.29","5,396.66","5,415.50"
04/02/2020,"5,454.57","5,552.36","5,395.07","5,480.22"
