Date,Open,High,Low,Close
02/03/2021,"17,905.14","17,924.73","17,822.24","17,915.91"
02/02/2021,"17,756.92","17,895.27","17,752.91","17,874.49"
02/01/2021,"17,561.14","17,716.06","17,487.72","17,692.45"
01/29/2021,"17,620.08","17,615.78","17,297.75","17,337.02"
01/28/2021,"17,563.24","17,711.89","17,537.12","17,657.20"
01/27/2021,"17,676.87","17,688.17","17,412.20","17,424.43"
01/26/2021,"17,940.32","17,945.01","17,774.38","17,779.41"
01/25/2021,"17,863.84","17,931.05","17,735.92","17,906.02"
01/22/2021,"17,796.46","17,869.91","17,790.23","17,845.91"
01/21/2021,"18,022.38","18,018.30","17,870.25","17,916.20"
01/20/2021,"18,022.20","18,027.52","17,911.50","18,014.91"
01/19/2021,"17,994.07","18,023.29","17,916.79","17,957.37"
01/18/2021,"17,881.08","17,967.70","17,889.41","17,944.88"
01/15/2021,"17,960.35","17,972.73","17,808.86","17,909.03"
01/14/2021,"17,975.54","18,025.30","17,948.25","17,958.09"
01/13/2021,"18,008.73","18,009.98","17,897.17","17,934.74"
01/12/2021,"17,979.69","18,009.33","17,894.11","17,985.80"
01/11/2021,"17,924.12","18,027.20","17,927.20","17,934.45"
01/08/2021,"18,057.61","18,058.61","17,935.61","18,042.07"
01/07/2021,"17,953.85","18,051.75","17,912.83","18,027.57"
01/06/2021,"17,726.74","17,924.52","17,721.61","17,828.11"
01/05/2021,"17,543.02","17,694.40","17,543.98","17,682.51"
01/04/2021,"17,591.45","17,593.81","17,405.43","17,527.77"
12/31/2020,"17,520.71","17,556.54","17,428.66","17,433.36"
12/30/2020,"17,570.17","17,623.11","17,534.08","17,545.81"
12/29/2020,"17,611.65","17,661.17","17,512.22","17,543.43"
12/24/2020,"17,595.89","17,641.69","17,568.49","17,623.88"
12/23/2020,"17,589.97","17,652.67","17,583.60","17,593.57"
12/22/2020,"17,537.47","17,572.91","17,478.36","17,552.46"
12/21/2020,"17,357.80","17,507.65","17,307.45","17,500.89"
12/18/2020,"17,676.77","17,676.60","17,517.20","17,534.63"
12/17/2020,"17,649.81","17,684.07","17,605.45","17,652.94"
12/16/2020,"17,558.15","17,600.56","17,480.77","17,567.42"
12/15/2020,"17,473.96","17,533.07","17,441.76","17,506.48"
12/14/2020,"17,617.43","17,617.26","17,383.27","17,387.40"
12/11/2020,"17,543.50","17,561.83","17,470.92","17,548.92"
12/10/2020,"17,478.14","17,603.66","17,452.90","17,593.34"
12/09/2020,"17,652.16","17,667.96","17,475.12","17,559.86"
12/08/2020,"17,541.24","17,654.92","17,541.62","17,639.00"
12/07/2020,"17,500.98","17,611.48","17,447.32","17,582.35"
12/04/2020,"17,442.16","17,525.74","17,437.45","17,520.97"
12/03/2020,"17,382.48","17,452.85","17,381.96","17,398.02"
12/02/2020,"17,278.33","17,358.29","17,220.89","17,358.21"
12/01/2020,"17,441.52","17,471.20","17,285.32","17,296.93"
11/30/2020,"17,336.88","17,339.70","17,124.86","17,190.25"
11/27/2020,"17,311.04","17,410.99","17,316.81","17,396.56"
11/26/2020,"17,323.37","17,366.62","17,301.93","17,351.34"
11/25/2020,"17,282.30","17,323.83","17,215.54","17,313.07"
11/24/2020,"17,206.51","17,311.14","17,190.85","17,274.25"
11/23/2020,"17,068.18","17,137.30","17,035.70","17,094.53"
11/20/2020,"16,932.30","17,048.87","16,891.59","17,019.10"
11/19/2020,"16,838.54","16,922.63","16,813.64","16,909.81"
11/18/2020,"16,975.21","16,990.57","16,884.75","16,889.82"
11/17/2020,"16,797.21","16,952.78","16,768.65","16,948.06"
11/16/2020,"16,793.99","16,889.81","16,733.98","16,889.81"
11/13/2020,"16,674.08","16,736.25","16,662.37","16,675.64"
11/12/2020,"16,778.61","16,794.92","16,532.79","16,582.18"
11/11/2020,"16,710.47","16,801.02","16,674.90","16,774.14"
11/10/2020,"16,521.25","16,654.81","16,485.78","16,615.37"
11/09/2020,"16,571.84","16,715.72","16,465.19","16,475.86"
11/06/2020,"16,373.32","16,378.55","16,236.62","16,282.83"
11/05/2020,"16,238.75","16,318.58","16,223.68","16,298.17"
11/04/2020,"16,046.39","16,111.67","15,894.24","15,998.74"
11/03/2020,"15,809.93","15,975.85","15,791.83","15,939.15"
11/02/2020,"15,684.83","15,724.93","15,569.43","15,696.87"
10/30/2020,"15,626.00","15,632.32","15,418.46","15,580.64"
10/29/2020,"15,625.18","15,738.19","15,514.59","15,670.70"
10/28/2020,"15,821.26","15,835.10","15,575.13","15,586.57"
10/27/2020,"16,090.14","16,104.59","15,999.24","16,020.94"
10/26/2020,"16,220.58","16,224.22","15,990.08","16,079.55"
10/23/2020,"16,315.46","16,334.83","16,228.60","16,304.08"
10/22/2020,"16,226.63","16,294.00","16,148.64","16,279.36"
10/21/2020,"16,247.69","16,313.10","16,203.03","16,230.23"
10/20/2020,"16,349.47","16,369.91","16,245.97","16,273.26"
10/19/2020,"16,482.75","16,490.89","16,261.82","16,274.07"
10/16/2020,"16,527.42","16,549.69","16,435.69","16,438.75"
10/15/2020,"16,303.57","16,515.18","16,289.96","16,501.03"
10/14/2020,"16,558.44","16,575.41","16,436.79","16,455.40"
10/13/2020,"16,568.86","16,569.88","16,449.83","16,510.83"
10/09/2020,"16,584.08","16,611.02","16,518.43","16,562.81"
10/08/2020,"16,490.63","16,539.13","16,481.57","16,534.54"
10/07/2020,"16,353.06","16,443.91","16,338.97","16,428.30"
