Date,Open,High,Low,Close
02/03/2021,"43,954.71","44,122.22","43,521.27","43,957.07"
02/02/2021,"43,152.31","44,435.69","43,152.31","43,848.92"
01/29/2021,"44,122.60","44,211.37","42,900.96","42,985.73"
01/28/2021,"44,365.29","44,578.61","43,914.89","44,280.73"
01/27/2021,"44,733.82","44,759.71","43,922.99","44,262.01"
01/26/2021,"45,066.40","45,114.38","44,483.90","45,053.56"
01/25/2021,"44,108.71","45,203.79","44,070.72","45,126.51"
01/22/2021,"44,756.63","44,811.69","44,119.58","44,683.55"
01/21/2021,"45,330.99","45,428.71","44,727.32","44,810.21"
01/20/2021,"45,726.99","45,726.99","44,875.26","45,125.71"
01/19/2021,"46,581.96","46,599.62","45,415.33","45,495.41"
01/18/2021,"45,878.38","46,532.16","45,878.36","46,458.02"
01/15/2021,"46,093.99","46,093.99","45,686.25","45,892.28"
01/14/2021,"45,821.24","46,251.39","45,609.34","46,070.91"
01/13/2021,"46,048.01","46,085.53","45,491.76","45,740.15"
01/12/2021,"46,448.72","46,658.55","45,854.86","45,951.77"
01/11/2021,"46,661.83","46,664.66","46,038.40","46,395.32"
01/08/2021,"46,236.57","46,925.06","46,179.25","46,729.30"
01/07/2021,"45,877.45","46,271.99","45,797.30","46,188.66"
01/06/2021,"45,204.56","46,251.05","45,158.98","45,587.16"
01/05/2021,"44,751.77","44,947.54","44,485.67","44,908.12"
01/04/2021,"44,200.04","45,299.01","44,186.96","44,703.00"
12/31/2020,"44,642.29","44,650.92","44,016.59","44,066.88"
12/30/2020,"44,792.05","45,364.57","44,573.67","44,693.96"
12/29/2020,"43,917.19","44,739.99","43,870.36","44,693.99"
12/28/2020,"43,509.00","43,958.60","43,509.00","43,883.41"
12/24/2020,"43,628.84","43,643.07","43,304.27","43,372.20"
12/23/2020,"42,687.26","43,697.38","42,620.33","43,597.30"
12/22/2020,"43,317.30","43,373.84","42,576.42","42,601.71"
12/21/2020,"43,587.59","43,660.28","43,136.42","43,246.24"
12/18/2020,"44,428.35","44,741.24","43,343.92","43,873.81"
12/17/2020,"43,798.06","44,581.23","43,761.57","44,326.05"
12/16/2020,"43,618.35","43,917.85","43,583.83","43,790.42"
12/15/2020,"43,619.98","44,020.74","43,496.06","43,543.35"
12/14/2020,"43,735.64","43,806.83","43,243.52","43,569.84"
12/11/2020,"43,576.03","43,793.17","43,256.47","43,612.31"
12/10/2020,"42,931.81","43,686.73","42,853.75","43,518.71"
12/09/2020,"43,134.95","43,160.42","42,651.59","42,736.96"
12/08/2020,"43,221.65","43,625.96","42,890.95","43,098.64"
12/07/2020,"43,695.89","43,745.18","43,058.45","43,255.25"
12/04/2020,"44,060.31","44,606.31","43,586.42","43,646.03"
12/03/2020,"43,512.27","44,013.11","43,477.66","43,934.21"
12/02/2020,"43,010.48","43,730.96","42,956.73","43,674.83"
12/01/2020,"41,987.43","43,204.10","41,902.77","42,895.63"
11/30/2020,"41,693.81","41,846.83","41,439.36","41,778.87"
11/27/2020,"42,527.34","42,546.47","41,594.81","41,674.30"
11/26/2020,"42,121.62","42,493.46","41,904.33","42,412.47"
11/25/2020,"42,755.07","42,755.07","42,157.88","42,200.59"
11/24/2020,"42,386.60","42,918.47","42,347.45","42,736.48"
11/23/2020,"41,978.63","42,391.73","41,871.66","42,267.20"
11/20/2020,"41,934.13","42,153.14","41,775.99","41,905.06"
11/19/2020,"42,235.78","42,235.78","41,607.87","41,868.82"
11/18/2020,"42,040.81","42,661.50","41,744.06","42,252.61"
11/17/2020,"40,944.30","42,027.38","40,944.30","41,948.79"
11/13/2020,"40,464.64","40,848.77","40,179.48","40,791.81"
11/12/2020,"40,780.08","40,927.69","40,241.44","40,335.95"
11/11/2020,"40,502.16","40,980.29","40,502.16","40,858.95"
11/10/2020,"39,731.88","40,499.33","39,705.18","40,404.58"
11/09/2020,"39,085.67","40,228.73","39,085.67","39,652.52"
11/06/2020,"38,401.60","38,734.66","38,356.13","38,530.50"
11/05/2020,"37,621.78","38,426.33","37,503.48","38,399.07"
11/04/2020,"37,582.15","37,920.84","37,408.50","37,475.76"
11/03/2020,"37,123.17","37,632.03","36,885.81","37,466.09"
10/30/2020,"36,691.01","37,062.77","36,662.12","36,987.86"
10/29/2020,"37,404.69","37,409.39","36,706.33","36,801.37"
10/28/2020,"37,811.91","37,871.54","36,984.28","37,393.71"
10/27/2020,"38,208.79","38,244.31","37,923.63","38,001.31"
10/26/2020,"38,718.84","38,718.84","38,125.30","38,245.86"
10/23/2020,"38,728.77","38,989.03","38,559.43","38,707.72"
10/22/2020,"38,693.15","38,755.82","38,392.48","38,652.19"
10/21/2020,"38,366.05","38,830.60","38,281.81","38,669.25"
10/20/2020,"37,726.46","38,303.19","37,694.19","38,201.81"
10/19/2020,"37,891.93","37,993.83","37,557.54","37,655.45"
10/16/2020,"38,030.81","38,292.18","37,834.00","37,876.49"
10/15/2020,"37,893.85","38,111.95","37,656.48","38,059.23"
10/14/2020,"38,139.98","38,271.52","37,915.33","38,025.72"
10/13/2020,"38,298.84","38,315.94","38,087.00","38,131.78"
10/12/2020,"38,574.89","38,670.00","38,287.45","38,342.09"
10/09/2020,"38,369.28","38,718.43","38,162.07","38,478.58"
10/08/2020,"37,440.66","38,446.44","37,380.15","38,404.05"
10/07/2020,"37,077.64","37,457.78","36,993.08","37,418.79"
10/06/2020,"36,777.28","37,103.97","36,684.45","36,947.87"
10/05/2020,"36,728.77","36,952.00","36,631.62","36,740.33"
10/02/2020,"36,434.61","36,716.17","36,313.74","36,642.38"
10/01/2020,"37,435.73","37,440.34","36,582.11","36,626.11"
09/30/2020,"37,145.91","37,688.51","37,098.34","37,458.69"
09/29/2020,"37,268.02","37,268.02","36,973.20","37,134.92"
09/28/2020,"36,904.89","37,329.58","36,825.35","37,231.50"
09/25/2020,"36,280.01","36,626.64","35,910.97","36,583.71"
09/24/2020,"35,780.33","36,425.74","35,772.02","36,217.49"
09/23/2020,"35,981.99","36,119.32","35,669.50","35,829.58"
09/22/2020,"35,537.43","35,918.02","35,428.86","35,853.58"
09/21/2020,"35,978.36","35,978.36","35,354.03","35,517.77"
09/18/2020,"36,255.88","36,275.15","35,972.03","36,017.35"
09/17/2020,"36,628.18","36,628.18","36,052.39","36,130.92"
09/15/2020,"36,983.20","37,032.33","36,691.87","36,729.15"
09/14/2020,"36,780.44","37,030.82","36,595.12","36,881.99"
09/11/2020,"36,258.07","36,390.02","36,110.65","36,334.89"
09/10/2020,"36,173.24","36,372.97","35,908.99","36,180.74"
09/09/2020,"36,115.24","36,405.38","35,915.42","36,157.96"
09/08/2020,"36,597.53","36,597.55","35,748.04","36,071.43"
09/07/2020,"36,492.20","36,725.31","36,466.45","36,637.45"
09/04/2020,"36,366.55","36,576.82","35,853.58","36,448.50"
09/03/2020,"36,984.44","37,007.75","36,384.69","36,429.66"
09/02/2020,"37,656.04","37,656.04","36,973.76","37,053.77"
09/01/2020,"36,893.82","37,532.96","36,744.78","37,487.99"
08/31/2020,"37,773.28","37,805.24","36,788.67","36,840.73"
08/28/2020,"37,590.68","37,905.43","37,555.98","37,794.25"
08/27/2020,"37,844.04","37,917.14","37,453.60","37,647.19"
08/26/2020,"38,229.45","38,231.07","37,706.19","37,753.04"
08/25/2020,"37,883.31","38,321.32","37,803.46","38,249.90"
08/24/2020,"38,189.67","38,344.09","37,971.66","38,029.62"
08/21/2020,"38,692.80","38,692.80","38,053.63","38,095.88"
08/20/2020,"39,019.21","39,019.21","38,534.83","38,707.24"
08/19/2020,"39,078.23","39,212.40","38,945.86","39,021.92"
