Date,Open,High,Low,Close
02/03/2021,"122.78","122.76","122.76","122.76"
02/02/2021,"123.39","122.52","122.52","122.52"
02/01/2021,"122.64","123.04","123.04","123.04"
01/29/2021,"124.84","123.77","123.77","123.77"
01/28/2021,"123.56","123.18","123.18","123.18"
01/27/2021,"126.02","126.38","126.38","126.38"
01/26/2021,"126.03","126.06","126.06","126.06"
01/25/2021,"126.16","127.35","127.35","127.35"
01/22/2021,"126.90","126.70","126.70","126.70"
01/21/2021,"123.77","123.71","123.71","123.71"
01/20/2021,"121.08","122.51","122.51","122.51"
01/19/2021,"119.62","120.63","120.63","120.63"
01/18/2021,"123.43","120.60","120.60","120.60"
01/15/2021,"124.29","123.02","123.02","123.02"
01/14/2021,"124.92","124.32","124.32","124.32"
01/13/2021,"125.28","124.54","124.54","124.54"
01/12/2021,"125.00","125.13","125.13","125.13"
01/11/2021,"127.30","126.60","126.60","126.60"
01/08/2021,"130.80","130.05","130.05","130.05"
01/07/2021,"128.72","128.87","128.87","128.87"
01/06/2021,"128.37","126.73","126.73","126.73"
01/05/2021,"125.06","127.20","127.20","127.20"
01/04/2021,"123.13","123.13","123.13","123.13"
01/01/2021,"123.13","123.13","123.13","123.13"
12/31/2020,"124.74","123.13","123.13","123.13"
12/30/2020,"125.63","124.60","124.60","124.60"
12/29/2020,"124.31","125.53","125.53","125.53"
12/28/2020,"123.51","123.51","123.51","123.51"
12/25/2020,"123.51","123.51","123.51","123.51"
12/24/2020,"123.63","123.51","123.51","123.51"
12/23/2020,"122.07","123.16","123.16","123.16"
12/22/2020,"119.59","121.18","121.18","121.18"
12/21/2020,"119.20","118.34","118.34","118.34"
12/18/2020,"123.19","119.62","119.62","119.62"
12/17/2020,"122.35","122.92","122.92","122.92"
12/16/2020,"122.48","122.06","122.06","122.06"
12/15/2020,"121.85","121.29","121.29","121.29"
12/14/2020,"122.84","121.81","121.81","121.81"
12/11/2020,"123.09","123.09","123.09","123.09"
12/10/2020,"123.24","122.82","122.82","122.82"
12/09/2020,"123.01","123.21","123.21","123.21"
12/08/2020,"122.10","122.40","122.40","122.40"
12/07/2020,"122.19","121.74","121.74","121.74"
12/04/2020,"122.26","121.38","121.38","121.38"
12/03/2020,"123.48","122.17","122.17","122.17"
12/02/2020,"123.98","123.48","123.48","123.48"
12/01/2020,"123.10","123.69","123.69","123.69"
11/30/2020,"123.37","124.12","124.12","124.12"
11/27/2020,"121.63","121.48","121.48","122.24"
11/26/2020,"121.99","121.48","121.48","121.48"
11/25/2020,"122.56","122.34","122.34","122.34"
11/24/2020,"120.42","120.96","120.96","120.96"
11/23/2020,"120.41","119.86","119.86","119.86"
11/20/2020,"120.10","121.05","121.05","119.65"
