Date,Open,High,Low,Close
02/02/2021,"49,576.89","50,612.81","49,576.89","49,686.83"
02/01/2021,"48,257.14","49,773.82","48,257.14","49,576.89"
01/29/2021,"49,630.09","49,999.93","48,202.86","48,257.14"
01/28/2021,"49,970.41","50,523.59","49,344.11","49,630.09"
01/27/2021,"49,463.84","50,218.56","48,603.94","49,970.41"
01/26/2021,"47,469.96","49,551.91","47,469.96","49,463.84"
01/25/2021,"48,470.91","49,035.73","47,388.14","47,469.96"
01/22/2021,"48,472.59","49,076.68","48,164.73","48,470.91"
01/21/2021,"50,224.53","50,365.64","48,275.76","48,472.59"
01/20/2021,"50,516.59","50,536.51","49,582.91","50,224.53"
01/19/2021,"50,221.80","50,679.67","50,122.34","50,516.59"
01/18/2021,"50,500.83","50,566.92","49,792.99","50,220.22"
01/15/2021,"51,084.99","51,084.99","50,232.18","50,500.83"
01/14/2021,"50,961.21","51,330.71","50,514.57","51,084.99"
01/13/2021,"51,201.60","51,649.23","50,609.90","50,961.21"
01/12/2021,"50,967.48","51,461.09","50,805.62","51,201.60"
01/11/2021,"51,673.77","51,687.59","50,877.46","50,967.48"
01/08/2021,"52,500.54","52,692.20","51,634.30","51,673.77"
01/07/2021,"51,880.01","52,568.67","51,814.44","52,500.54"
01/06/2021,"51,594.73","52,201.74","51,594.73","51,880.01"
01/05/2021,"50,730.86","51,627.14","50,530.77","51,594.73"
01/04/2021,"51,226.49","51,443.13","50,054.38","50,730.86"
12/30/2020,"51,320.14","52,189.00","51,053.17","51,226.49"
12/29/2020,"50,483.84","51,659.88","50,483.84","51,320.14"
12/28/2020,"51,618.98","51,618.98","50,433.39","50,483.84"
12/23/2020,"50,406.93","51,689.71","50,406.93","51,618.98"
12/22/2020,"50,159.86","51,130.88","50,159.86","50,406.93"
12/21/2020,"52,346.77","52,346.77","49,566.79","50,159.86"
12/18/2020,"53,115.58","53,610.27","52,200.92","52,346.77"
12/17/2020,"53,205.99","53,842.24","53,076.52","53,115.58"
12/16/2020,"53,280.19","53,871.07","53,058.77","53,205.99"
12/15/2020,"53,034.13","53,445.52","52,897.74","53,280.19"
12/14/2020,"53,822.44","54,513.05","52,764.42","53,034.13"
12/11/2020,"53,690.40","54,047.24","53,478.76","53,822.44"
12/10/2020,"51,956.89","53,724.36","51,871.55","53,690.40"
12/09/2020,"54,730.38","54,730.38","51,829.93","51,956.89"
12/04/2020,"55,152.30","55,696.17","54,529.40","54,730.38"
12/03/2020,"55,268.90","55,934.19","55,040.22","55,152.30"
12/02/2020,"54,913.35","55,724.30","54,631.71","55,268.90"
12/01/2020,"54,572.54","55,481.22","54,531.30","54,913.35"
11/30/2020,"55,427.26","55,736.40","54,303.59","54,572.54"
11/27/2020,"54,465.67","55,881.87","54,254.29","55,427.26"
11/26/2020,"54,150.65","54,860.64","53,998.38","54,465.67"
11/25/2020,"54,135.77","54,826.47","53,914.64","54,150.65"
11/24/2020,"51,492.34","54,454.34","51,492.34","54,135.77"
11/20/2020,"50,950.21","51,659.50","50,919.01","51,492.34"
11/19/2020,"51,295.53","51,756.35","50,857.49","50,950.21"
11/18/2020,"51,911.53","52,253.32","51,240.43","51,295.53"
11/17/2020,"51,084.91","52,130.14","50,335.69","51,911.53"
11/16/2020,"49,895.50","51,187.99","49,895.50","51,084.91"
11/13/2020,"49,553.18","50,517.07","49,538.58","49,895.50"
11/12/2020,"51,435.00","51,535.32","49,544.19","49,553.18"
11/11/2020,"51,818.96","52,462.08","51,108.58","51,435.00"
11/10/2020,"49,650.44","52,192.80","49,576.15","51,818.96"
11/09/2020,"48,492.54","50,586.65","48,492.54","49,650.44"
11/06/2020,"48,501.09","49,143.85","48,021.36","48,492.54"
11/05/2020,"47,028.37","48,750.58","47,028.37","48,501.09"
11/04/2020,"47,965.31","48,783.78","46,851.16","47,028.37"
11/03/2020,"47,467.65","49,201.51","47,467.65","47,965.31"
11/02/2020,"45,290.02","47,553.03","45,290.02","47,467.65"
10/30/2020,"44,914.24","45,427.20","44,289.14","45,290.02"
10/29/2020,"43,532.74","45,150.30","43,431.68","44,914.24"
10/28/2020,"46,707.91","46,707.91","43,470.97","43,532.74"
10/27/2020,"49,596.53","50,282.54","46,626.77","46,707.91"
10/26/2020,"52,512.60","52,512.60","49,552.15","49,596.53"
10/23/2020,"51,671.56","52,590.53","50,133.29","52,512.60"
10/22/2020,"50,088.78","51,827.25","50,030.02","51,671.56"
10/21/2020,"49,683.83","50,502.34","49,430.45","50,088.78"
10/20/2020,"49,162.13","49,910.29","48,723.92","49,683.83"
10/19/2020,"49,024.08","50,734.61","49,024.08","49,162.13"
10/16/2020,"48,239.27","49,162.42","48,184.24","49,024.08"
10/15/2020,"47,295.27","48,277.70","46,767.72","48,239.27"
10/14/2020,"45,994.73","47,338.91","45,973.26","47,295.27"
10/13/2020,"45,856.11","46,097.71","45,296.19","45,994.73"
10/09/2020,"45,556.79","45,985.24","45,136.40","45,856.11"
10/08/2020,"44,739.86","45,582.69","44,604.49","45,482.18"
10/07/2020,"44,438.41","44,799.45","43,713.73","44,739.86"
10/06/2020,"44,273.21","45,203.20","44,180.53","44,438.41"
10/05/2020,"43,654.37","44,324.01","43,533.63","44,273.21"
10/02/2020,"42,916.19","43,771.23","42,267.47","43,654.37"
10/01/2020,"41,324.07","43,088.38","41,324.07","42,916.19"
09/30/2020,"42,196.88","42,989.31","41,213.28","41,260.86"
