Date,Open,High,Low,Close
02/02/2021,"117,520.36","119,805.18","117,519.17","118,233.81"
02/01/2021,"115,093.16","117,861.51","115,093.16","117,517.57"
01/29/2021,"118,879.90","118,879.90","114,973.00","115,067.55"
01/28/2021,"115,882.30","119,355.23","115,733.60","118,883.25"
01/27/2021,"116,463.45","117,839.79","114,886.51","115,882.30"
01/26/2021,"117,380.89","119,167.14","116,109.10","116,464.06"
01/22/2021,"118,317.52","118,317.52","116,108.90","117,380.49"
01/21/2021,"119,628.41","120,242.86","117,785.13","118,328.99"
01/20/2021,"120,644.50","121,449.10","118,739.87","119,646.40"
01/19/2021,"121,249.84","122,120.24","119,257.03","120,636.39"
01/18/2021,"120,351.43","122,585.82","120,351.43","121,241.63"
01/15/2021,"123,471.59","123,471.59","120,185.13","120,348.80"
01/14/2021,"121,946.67","123,896.35","121,946.67","123,480.52"
01/13/2021,"123,996.20","124,031.68","121,015.60","121,933.08"
01/12/2021,"123,255.13","124,584.33","123,227.47","123,998.00"
01/11/2021,"125,075.18","125,075.18","122,505.58","123,255.13"
01/08/2021,"122,387.43","125,323.53","122,385.76","125,076.63"
01/07/2021,"119,103.07","122,696.64","119,100.76","122,385.92"
01/06/2021,"119,376.91","120,924.32","118,916.94","119,100.08"
01/05/2021,"118,834.88","119,790.06","116,756.08","119,376.21"
01/04/2021,"119,024.29","120,353.81","118,061.77","118,854.71"
12/30/2020,"119,409.85","120,149.85","118,919.43","119,017.24"
12/29/2020,"119,130.06","119,860.91","118,750.10","119,409.15"
12/28/2020,"117,805.56","119,212.79","117,804.95","119,123.70"
12/23/2020,"116,636.18","118,311.44","116,636.18","117,806.85"
12/22/2020,"115,824.66","116,902.54","115,648.34","116,636.18"
12/21/2020,"118,020.94","118,020.94","114,730.05","115,822.57"
12/18/2020,"118,395.23","119,370.48","117,638.24","118,023.67"
12/17/2020,"117,863.58","119,027.05","117,856.26","118,400.57"
12/16/2020,"116,148.97","118,178.44","115,495.75","117,857.35"
12/15/2020,"114,613.42","116,389.82","114,613.42","116,148.63"
12/14/2020,"115,136.91","115,740.10","114,431.00","114,611.12"
12/11/2020,"115,127.74","115,526.57","113,949.39","115,128.00"
12/10/2020,"113,002.26","115,261.71","112,731.76","115,128.63"
12/09/2020,"113,798.53","114,020.40","112,566.73","113,001.16"
12/08/2020,"113,589.77","114,381.14","112,820.31","113,793.06"
12/07/2020,"113,750.50","114,531.04","112,629.18","113,589.77"
12/04/2020,"112,293.77","113,863.73","112,293.76","113,750.22"
12/03/2020,"111,873.88","113,377.33","111,873.88","112,291.59"
12/02/2020,"111,401.76","112,315.42","110,579.16","111,878.53"
12/01/2020,"108,897.29","111,839.86","108,897.29","111,399.91"
11/30/2020,"110,598.01","110,933.68","108,829.15","108,893.32"
11/27/2020,"110,228.62","111,603.41","110,161.10","110,575.47"
11/26/2020,"110,132.53","110,244.50","109,418.33","110,227.09"
11/25/2020,"109,786.37","110,595.81","109,315.21","110,132.53"
11/24/2020,"107,377.95","109,956.18","107,360.58","109,786.30"
11/23/2020,"106,050.48","107,495.35","106,050.48","107,378.92"
11/20/2020,"106,669.90","106,763.96","105,680.28","106,042.48"
11/19/2020,"106,117.26","106,972.88","105,545.37","106,669.90"
11/18/2020,"107,245.54","107,467.25","106,043.35","106,119.09"
11/17/2020,"106,430.04","107,810.31","105,846.62","107,248.63"
11/16/2020,"104,728.51","106,518.16","104,728.51","106,429.92"
11/13/2020,"102,508.77","104,725.79","102,508.77","104,723.00"
11/12/2020,"104,810.06","105,018.66","102,033.75","102,507.01"
11/11/2020,"105,066.96","105,462.33","104,143.47","104,808.83"
11/10/2020,"103,516.37","105,758.29","103,452.64","105,066.96"
11/09/2020,"100,953.95","105,146.56","100,953.95","103,515.16"
11/06/2020,"100,750.59","101,104.29","99,837.04","100,925.11"
11/05/2020,"97,872.82","100,921.63","97,872.27","100,751.40"
11/04/2020,"95,991.57","98,296.35","95,987.42","97,866.81"
11/03/2020,"93,967.64","96,350.23","93,967.64","95,979.71"
10/30/2020,"96,578.75","96,578.75","93,559.19","93,952.40"
10/29/2020,"95,368.43","96,688.25","93,386.55","96,582.16"
10/28/2020,"99,597.75","99,597.75","95,368.76","95,368.76"
10/27/2020,"101,017.38","101,660.37","99,413.93","99,605.54"
10/26/2020,"101,259.86","101,783.79","99,761.84","101,016.96"
10/23/2020,"101,917.73","102,217.62","101,188.38","101,259.75"
10/22/2020,"100,552.99","102,020.44","100,456.83","101,917.73"
10/21/2020,"100,541.25","101,585.92","100,148.97","100,552.44"
10/20/2020,"98,663.89","100,721.83","98,663.89","100,539.83"
10/19/2020,"98,310.35","99,917.22","98,309.80","98,657.65"
10/16/2020,"99,054.06","99,171.96","98,309.12","98,309.12"
10/15/2020,"99,328.02","99,485.50","97,778.26","99,054.06"
