Date,Open,High,Low,Close
02/03/2021,"3,019.04","3,034.02","3,007.73","3,008.74"
02/02/2021,"2,994.48","3,043.71","2,994.48","3,019.04"
02/01/2021,"2,931.35","2,994.94","2,931.35","2,994.48"
01/29/2021,"3,014.84","3,021.55","2,931.35","2,931.35"
01/28/2021,"3,019.76","3,025.89","2,976.01","3,014.84"
01/27/2021,"3,074.27","3,074.27","3,004.42","3,019.76"
01/26/2021,"3,068.24","3,098.74","3,046.61","3,074.27"
01/25/2021,"3,065.29","3,106.96","3,056.36","3,068.24"
01/22/2021,"3,132.51","3,132.51","3,065.29","3,065.29"
01/21/2021,"3,172.57","3,194.31","3,132.51","3,132.51"
01/20/2021,"3,194.39","3,213.15","3,168.28","3,172.57"
01/19/2021,"3,163.18","3,209.40","3,163.18","3,194.39"
01/18/2021,"3,127.60","3,163.18","3,099.94","3,163.18"
01/15/2021,"3,174.77","3,174.77","3,127.51","3,127.60"
01/14/2021,"3,186.99","3,198.63","3,153.01","3,174.77"
01/13/2021,"3,146.91","3,186.99","3,146.91","3,186.99"
01/12/2021,"3,114.35","3,154.09","3,109.91","3,146.91"
01/11/2021,"3,119.48","3,119.48","3,076.58","3,114.35"
01/08/2021,"3,098.16","3,125.47","3,072.68","3,119.48"
01/07/2021,"3,022.21","3,098.42","3,022.21","3,098.16"
01/06/2021,"2,987.56","3,036.23","2,986.75","3,022.21"
01/05/2021,"2,912.49","2,987.56","2,903.87","2,987.56"
01/04/2021,"2,857.61","2,923.78","2,857.61","2,912.49"
12/30/2020,"2,871.73","2,888.42","2,857.61","2,857.61"
12/29/2020,"2,859.66","2,882.97","2,859.66","2,871.73"
12/28/2020,"2,827.60","2,867.81","2,827.60","2,859.66"
12/24/2020,"2,844.01","2,844.01","2,808.96","2,827.60"
12/23/2020,"2,867.09","2,885.94","2,835.45","2,844.01"
12/22/2020,"2,848.57","2,904.23","2,848.57","2,867.09"
12/21/2020,"2,881.23","2,881.23","2,815.59","2,848.57"
12/18/2020,"2,873.62","2,909.31","2,873.62","2,881.23"
12/17/2020,"2,814.10","2,874.44","2,812.88","2,873.62"
12/16/2020,"2,780.33","2,814.39","2,780.33","2,814.10"
12/15/2020,"2,774.29","2,796.22","2,766.46","2,780.33"
12/14/2020,"2,798.22","2,825.51","2,774.03","2,774.29"
12/11/2020,"2,814.34","2,823.80","2,776.80","2,798.22"
12/10/2020,"2,845.83","2,866.11","2,814.31","2,814.34"
12/09/2020,"2,833.29","2,876.65","2,830.07","2,845.83"
12/07/2020,"2,874.97","2,877.94","2,799.57","2,833.29"
12/04/2020,"2,877.46","2,890.15","2,862.78","2,874.97"
12/03/2020,"2,855.70","2,877.46","2,845.49","2,877.46"
12/02/2020,"2,823.73","2,855.76","2,810.79","2,855.70"
12/01/2020,"2,770.35","2,826.16","2,770.35","2,823.73"
11/30/2020,"2,828.16","2,852.24","2,770.35","2,770.35"
11/27/2020,"2,831.55","2,854.84","2,827.16","2,828.16"
11/26/2020,"2,840.61","2,861.16","2,810.90","2,831.55"
11/25/2020,"2,885.39","2,890.23","2,835.43","2,840.61"
11/24/2020,"2,840.02","2,893.43","2,840.02","2,885.39"
11/23/2020,"2,791.88","2,840.46","2,788.96","2,840.02"
11/20/2020,"2,773.82","2,800.97","2,771.45","2,791.88"
11/19/2020,"2,830.02","2,830.32","2,767.09","2,773.82"
11/18/2020,"2,791.93","2,830.29","2,791.93","2,830.02"
11/17/2020,"2,787.75","2,792.92","2,750.61","2,791.93"
11/16/2020,"2,758.77","2,821.92","2,758.77","2,787.75"
11/13/2020,"2,697.58","2,760.21","2,697.58","2,758.77"
11/12/2020,"2,740.86","2,742.59","2,697.58","2,697.58"
11/11/2020,"2,739.55","2,762.30","2,719.72","2,740.86"
11/10/2020,"2,705.83","2,740.00","2,677.38","2,739.55"
11/09/2020,"2,625.86","2,722.00","2,625.86","2,705.83"
11/06/2020,"2,551.17","2,626.15","2,539.28","2,625.86"
11/05/2020,"2,423.14","2,552.25","2,423.14","2,551.17"
11/04/2020,"2,425.47","2,448.49","2,403.57","2,423.14"
11/03/2020,"2,459.69","2,480.57","2,415.04","2,425.47"
11/02/2020,"2,438.20","2,484.08","2,438.20","2,459.69"
10/30/2020,"2,467.62","2,478.56","2,431.54","2,438.20"
