Date,Open,High,Low,Close
02/03/2021,"4,105.45","4,105.45","4,105.45","4,105.45"
02/02/2021,"4,136.27","4,136.27","4,136.27","4,136.27"
02/01/2021,"4,095.27","4,095.27","4,095.27","4,095.27"
01/29/2021,"4,052.77","4,052.77","4,052.77","4,052.77"
01/28/2021,"4,122.66","4,122.66","4,122.66","4,122.66"
01/27/2021,"4,146.88","4,146.88","4,146.88","4,146.88"
01/26/2021,"4,245.49","4,245.49","4,245.49","4,245.49"
01/25/2021,"4,226.21","4,226.21","4,226.21","4,226.21"
01/22/2021,"4,307.58","4,307.58","4,307.58","4,307.58"
01/21/2021,"4,419.48","4,419.48","4,419.48","4,419.48"
01/20/2021,"4,471.37","4,471.37","4,471.37","4,471.37"
01/19/2021,"4,485.32","4,485.32","4,485.32","4,485.32"
01/18/2021,"4,473.71","4,473.71","4,473.71","4,473.71"
01/15/2021,"4,459.82","4,459.82","4,459.82","4,459.82"
01/14/2021,"4,516.45","4,516.45","4,516.45","4,516.45"
01/13/2021,"4,483.52","4,483.52","4,483.52","4,483.52"
01/12/2021,"4,504.35","4,504.35","4,504.35","4,504.35"
01/11/2021,"4,482.40","4,482.40","4,482.40","4,482.40"
01/08/2021,"4,482.40","4,482.40","4,482.40","4,482.40"
01/07/2021,"4,418.75","4,418.75","4,418.75","4,418.75"
01/06/2021,"4,396.17","4,396.17","4,396.17","4,396.17"
01/05/2021,"4,388.70","4,388.70","4,388.70","4,388.70"
01/04/2021,"4,335.44","4,335.44","4,335.44","4,335.44"
01/01/2021,"4,411.77","4,411.77","4,411.77","4,411.77"
12/31/2020,"4,411.77","4,411.77","4,411.77","4,411.77"
12/30/2020,"4,411.77","4,411.77","4,411.77","4,411.77"
12/29/2020,"4,450.95","4,450.95","4,450.95","4,450.95"
12/28/2020,"4,387.63","4,387.63","4,387.63","4,387.63"
12/25/2020,"4,367.66","4,367.66","4,367.66","4,367.66"
12/24/2020,"4,367.66","4,367.66","4,367.66","4,367.66"
12/23/2020,"4,338.93","4,338.93","4,338.93","4,338.93"
12/22/2020,"4,288.95","4,288.95","4,288.95","4,288.95"
12/21/2020,"4,196.40","4,196.40","4,196.40","4,196.40"
12/18/2020,"4,378.40","4,378.40","4,378.40","4,378.40"
12/17/2020,"4,436.81","4,436.81","4,436.81","4,436.81"
12/16/2020,"4,362.01","4,362.01","4,362.01","4,362.01"
12/15/2020,"4,319.67","4,319.67","4,319.67","4,319.67"
12/14/2020,"4,253.58","4,253.58","4,253.58","4,253.58"
12/11/2020,"4,207.14","4,207.14","4,207.14","4,207.14"
12/10/2020,"4,170.06","4,170.06","4,170.06","4,170.06"
12/09/2020,"4,213.88","4,213.88","4,213.88","4,213.88"
12/08/2020,"4,141.55","4,141.55","4,141.55","4,141.55"
12/07/2020,"4,141.55","4,141.55","4,141.55","4,141.55"
12/04/2020,"4,067.83","4,067.83","4,067.83","4,067.83"
12/03/2020,"3,925.63","3,925.63","3,925.63","3,925.63"
12/02/2020,"3,890.26","3,890.26","3,890.26","3,890.26"
12/01/2020,"3,874.74","3,874.74","3,874.74","3,874.74"
11/30/2020,"3,789.77","3,789.77","3,789.77","3,789.77"
11/27/2020,"3,802.07","3,802.07","3,802.07","3,802.07"
11/26/2020,"3,807.60","3,807.60","3,807.60","3,807.60"
11/25/2020,"3,811.90","3,811.90","3,811.90","3,811.90"
11/24/2020,"3,833.18","3,833.18","3,833.18","3,833.18"
11/23/2020,"3,779.78","3,779.78","3,779.78","3,779.78"
11/20/2020,"3,752.98","3,752.98","3,752.98","3,752.98"
11/19/2020,"3,719.57","3,719.57","3,719.57","3,719.57"
11/18/2020,"3,727.55","3,727.55","3,727.55","3,727.55"
11/17/2020,"3,715.15","3,715.15","3,715.15","3,715.15"
11/16/2020,"3,643.25","3,643.25","3,643.25","3,643.25"
11/13/2020,"3,643.25","3,643.25","3,643.25","3,643.25"
11/12/2020,"3,635.01","3,635.01","3,635.01","3,635.01"
11/11/2020,"3,673.26","3,673.26","3,673.26","3,673.26"
11/10/2020,"3,655.82","3,655.82","3,655.82","3,655.82"
11/09/2020,"3,643.86","3,643.86","3,643.86","3,643.86"
11/06/2020,"3,496.54","3,496.54","3,496.54","3,496.54"
11/05/2020,"3,471.54","3,471.54","3,471.54","3,471.54"
11/04/2020,"3,458.36","3,458.36","3,458.36","3,458.36"
11/03/2020,"3,437.19","3,437.19","3,437.19","3,437.19"
11/02/2020,"3,394.35","3,394.35","3,394.35","3,394.35"
10/30/2020,"3,394.35","3,394.35","3,394.35","3,394.35"
10/29/2020,"3,333.94","3,333.94","3,333.94","3,333.94"
10/28/2020,"3,319.99","3,319.99","3,319.99","3,319.99"
10/27/2020,"3,475.27","3,475.27","3,475.27","3,475.27"
10/26/2020,"3,522.51","3,522.51","3,522.51","3,522.51"
10/23/2020,"3,497.75","3,497.75","3,497.75","3,497.75"
10/22/2020,"3,506.59","3,506.59","3,506.59","3,506.59"
10/21/2020,"3,507.95","3,507.95","3,507.95","3,507.95"
10/20/2020,"3,538.33","3,538.33","3,538.33","3,538.33"
10/19/2020,"3,504.75","3,504.75","3,504.75","3,504.75"
10/16/2020,"3,484.92","3,484.92","3,484.92","3,484.92"
10/15/2020,"3,472.06","3,472.06","3,472.06","3,472.06"
10/14/2020,"3,491.91","3,491.91","3,491.91","3,491.91"
10/13/2020,"3,479.27","3,479.27","3,479.27","3,479.27"
10/12/2020,"3,548.03","3,548.03","3,548.03","3,548.03"
10/09/2020,"3,548.03","3,548.03","3,548.03","3,548.03"
10/08/2020,"3,530.39","3,530.39","3,530.39","3,530.39"
10/07/2020,"3,484.75","3,484.75","3,484.75","3,484.75"
10/06/2020,"3,469.67","3,469.67","3,469.67","3,469.67"
10/05/2020,"3,461.21","3,461.21","3,461.21","3,461.21"
10/02/2020,"3,460.80","3,460.80","3,460.80","3,460.80"
10/01/2020,"3,449.45","3,449.45","3,449.45","3,449.45"
09/30/2020,"3,459.03","3,459.03","3,459.03","3,459.03"
09/29/2020,"3,456.47","3,456.47","3,456.47","3,456.47"
09/28/2020,"3,499.81","3,499.81","3,499.81","3,499.81"
09/25/2020,"3,486.84","3,486.84","3,486.84","3,486.84"
09/24/2020,"3,503.68","3,503.68","3,503.68","3,503.68"
09/23/2020,"3,510.42","3,510.42","3,510.42","3,510.42"
09/22/2020,"3,530.53","3,530.53","3,530.53","3,530.53"
09/21/2020,"3,570.29","3,570.29","3,570.29","3,570.29"
09/18/2020,"3,617.94","3,617.94","3,617.94","3,617.94"
09/17/2020,"3,566.68","3,566.68","3,566.68","3,566.68"
09/16/2020,"3,567.80","3,567.80","3,567.80","3,567.80"
09/15/2020,"3,562.71","3,562.71","3,562.71","3,562.71"
09/14/2020,"3,575.49","3,575.49","3,575.49","3,575.49"
09/11/2020,"3,626.03","3,626.03","3,626.03","3,626.03"
09/10/2020,"3,651.52","3,651.52","3,651.52","3,651.52"
09/09/2020,"3,726.54","3,726.54","3,726.54","3,726.54"
09/08/2020,"3,700.59","3,700.59","3,700.59","3,700.59"
09/07/2020,"3,740.70","3,740.70","3,740.70","3,740.70"
09/04/2020,"3,728.97","3,728.97","3,728.97","3,728.97"
09/03/2020,"3,745.59","3,745.59","3,745.59","3,745.59"
09/02/2020,"3,787.91","3,787.91","3,787.91","3,787.91"
09/01/2020,"3,794.05","3,794.05","3,794.05","3,794.05"
08/31/2020,"3,661.18","3,661.18","3,661.18","3,661.18"
08/28/2020,"3,696.68","3,696.68","3,696.68","3,696.68"
08/27/2020,"3,699.36","3,699.36","3,699.36","3,699.36"
08/26/2020,"3,711.60","3,711.60","3,711.60","3,711.60"
08/25/2020,"3,717.47","3,717.47","3,717.47","3,717.47"
08/24/2020,"3,649.30","3,649.30","3,649.30","3,649.30"
08/21/2020,"3,586.41","3,586.41","3,586.41","3,586.41"
08/20/2020,"3,547.23","3,547.23","3,547.23","3,547.23"
08/19/2020,"3,508.39","3,508.39","3,508.39","3,508.39"
08/18/2020,"3,539.80","3,539.80","3,539.80","3,539.80"
08/17/2020,"3,486.34","3,486.34","3,486.34","3,486.34"
08/14/2020,"3,486.34","3,486.34","3,486.34","3,486.34"
08/13/2020,"3,475.09","3,475.09","3,475.09","3,475.09"
08/12/2020,"3,444.21","3,444.21","3,444.21","3,444.21"
08/11/2020,"3,418.71","3,418.71","3,418.71","3,418.71"
08/10/2020,"3,449.74","3,449.74","3,449.74","3,449.74"
08/07/2020,"3,440.12","3,440.12","3,440.12","3,440.12"
08/06/2020,"3,440.12","3,440.12","3,440.12","3,440.12"
08/05/2020,"3,439.86","3,439.86","3,439.86","3,439.86"
08/04/2020,"3,410.27","3,410.27","3,410.27","3,410.27"
08/03/2020,"3,424.70","3,424.70","3,424.70","3,424.70"
07/31/2020,"3,444.60","3,444.60","3,444.60","3,444.60"
07/30/2020,"3,509.63","3,509.63","3,509.63","3,509.63"
07/29/2020,"3,540.29","3,540.29","3,540.29","3,540.29"
07/28/2020,"3,520.99","3,520.99","3,520.99","3,520.99"
07/27/2020,"3,551.65","3,551.65","3,551.65","3,551.65"
07/24/2020,"3,517.78","3,517.78","3,517.78","3,517.78"
07/23/2020,"3,534.11","3,534.11","3,534.11","3,534.11"
07/22/2020,"3,499.31","3,499.31","3,499.31","3,499.31"
07/21/2020,"3,483.32","3,483.32","3,483.32","3,483.32"
07/20/2020,"3,450.10","3,450.10","3,450.10","3,450.10"
07/17/2020,"3,450.10","3,450.10","3,450.10","3,450.10"
07/16/2020,"3,442.37","3,442.37","3,442.37","3,442.37"
07/15/2020,"3,408.69","3,408.69","3,408.69","3,408.69"
07/14/2020,"3,414.15","3,414.15","3,414.15","3,414.15"
07/13/2020,"3,419.23","3,419.23","3,419.23","3,419.23"
07/10/2020,"3,436.98","3,436.98","3,436.98","3,436.98"
07/09/2020,"3,420.61","3,420.61","3,420.61","3,420.61"
07/08/2020,"3,470.14","3,470.14","3,470.14","3,470.14"
07/07/2020,"3,391.39","3,391.39","3,391.39","3,391.39"
07/06/2020,"3,387.29","3,387.29","3,387.29","3,387.29"
07/03/2020,"3,366.80","3,366.80","3,366.80","3,366.80"
07/02/2020,"3,347.86","3,347.86","3,347.86","3,347.86"
07/01/2020,"3,304.64","3,304.64","3,304.64","3,304.64"
06/30/2020,"3,316.71","3,316.71","3,316.71","3,316.71"
06/29/2020,"3,311.60","3,311.60","3,311.60","3,311.60"
06/26/2020,"3,311.60","3,311.60","3,311.60","3,311.60"
06/25/2020,"3,352.93","3,352.93","3,352.93","3,352.93"
06/24/2020,"3,349.85","3,349.85","3,349.85","3,349.85"
06/23/2020,"3,411.40","3,411.40","3,411.40","3,411.40"
06/22/2020,"3,497.64","3,497.64","3,497.64","3,497.64"
06/19/2020,"3,497.64","3,497.64","3,497.64","3,497.64"
06/18/2020,"3,404.22","3,404.22","3,404.22","3,404.22"
06/17/2020,"3,408.96","3,408.96","3,408.96","3,408.96"
