Date,Open,High,Low,Close
02/02/2021,"3,255.60","3,255.60","3,255.60","3,255.60"
02/01/2021,"3,275.86","3,275.86","3,275.86","3,275.86"
01/29/2021,"3,168.91","3,168.91","3,168.91","3,168.91"
01/28/2021,"3,239.84","3,239.84","3,239.84","3,239.84"
01/27/2021,"3,209.96","3,209.96","3,209.96","3,209.96"
01/26/2021,"3,284.01","3,284.01","3,284.01","3,284.01"
01/25/2021,"3,268.48","3,268.48","3,268.48","3,268.48"
01/22/2021,"3,299.29","3,299.29","3,299.29","3,299.29"
01/21/2021,"3,273.62","3,273.62","3,273.62","3,273.62"
01/20/2021,"3,298.19","3,298.19","3,298.19","3,298.19"
01/19/2021,"3,299.55","3,299.55","3,299.55","3,299.55"
01/18/2021,"3,254.72","3,254.72","3,254.72","3,254.72"
01/15/2021,"3,254.22","3,254.22","3,254.22","3,254.22"
01/14/2021,"3,342.63","3,342.63","3,342.63","3,342.63"
01/13/2021,"3,347.54","3,347.54","3,347.54","3,347.54"
01/12/2021,"3,426.93","3,426.93","3,426.93","3,426.93"
01/11/2021,"3,422.42","3,422.42","3,422.42","3,422.42"
01/08/2021,"3,448.26","3,448.26","3,448.26","3,448.26"
01/07/2021,"3,455.98","3,455.98","3,455.98","3,455.98"
01/06/2021,"3,412.39","3,412.39","3,412.39","3,412.39"
01/05/2021,"3,328.97","3,328.97","3,328.97","3,328.97"
01/04/2021,"3,335.48","3,335.48","3,335.48","3,335.48"
01/01/2021,"3,368.05","3,368.05","3,368.05","3,368.05"
12/31/2020,"3,368.05","3,368.05","3,368.05","3,368.05"
12/30/2020,"3,379.17","3,379.17","3,379.17","3,379.17"
12/29/2020,"3,365.22","3,365.22","3,365.22","3,365.22"
12/28/2020,"3,355.43","3,355.43","3,355.43","3,355.43"
12/25/2020,"3,362.62","3,362.62","3,362.62","3,362.62"
12/24/2020,"3,362.62","3,362.62","3,362.62","3,362.62"
12/23/2020,"3,366.65","3,366.65","3,366.65","3,366.65"
12/22/2020,"3,304.51","3,304.51","3,304.51","3,304.51"
12/21/2020,"3,283.14","3,283.14","3,283.14","3,283.14"
12/18/2020,"3,307.88","3,307.88","3,307.88","3,307.88"
12/17/2020,"3,303.30","3,303.30","3,303.30","3,303.30"
12/16/2020,"3,291.08","3,291.08","3,291.08","3,291.08"
12/15/2020,"3,289.61","3,289.61","3,289.61","3,289.61"
12/14/2020,"3,217.66","3,217.66","3,217.66","3,217.66"
12/11/2020,"3,239.14","3,239.14","3,239.14","3,239.14"
12/10/2020,"3,271.97","3,271.97","3,271.97","3,271.97"
12/09/2020,"3,257.95","3,257.95","3,257.95","3,257.95"
12/08/2020,"3,291.82","3,291.82","3,291.82","3,291.82"
12/07/2020,"3,273.49","3,273.49","3,273.49","3,273.49"
12/04/2020,"3,303.19","3,303.19","3,303.19","3,303.19"
12/03/2020,"3,280.52","3,280.52","3,280.52","3,280.52"
12/02/2020,"3,236.65","3,236.65","3,236.65","3,236.65"
12/01/2020,"3,181.45","3,181.45","3,181.45","3,181.45"
11/30/2020,"3,113.31","3,113.31","3,113.31","3,113.31"
11/27/2020,"3,138.35","3,138.35","3,138.35","3,138.35"
11/26/2020,"3,085.65","3,085.65","3,085.65","3,085.65"
11/25/2020,"3,087.62","3,087.62","3,087.62","3,087.62"
11/24/2020,"3,014.32","3,014.32","3,014.32","3,014.32"
11/23/2020,"2,885.79","2,885.79","2,885.79","2,885.79"
