"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 03, 2021","137.20","135.15","137.77","135.15","-","1.52%"
"Feb 02, 2021","135.15","134.94","135.53","134.94","-","0.16%"
"Feb 01, 2021","134.94","133.82","135.72","133.82","-","0.84%"
"Jan 29, 2021","133.82","134.28","134.33","133.82","-","-0.34%"
"Jan 28, 2021","134.28","133.88","134.95","133.88","-","0.30%"
"Jan 27, 2021","133.88","132.98","133.94","132.98","-","0.68%"
"Jan 26, 2021","132.98","132.84","133.05","132.84","-","0.11%"
"Jan 25, 2021","132.84","132.10","133.01","132.10","-","0.56%"
"Jan 22, 2021","132.10","131.62","132.27","131.62","-","0.36%"
"Jan 21, 2021","131.62","131.16","131.62","131.16","-","0.35%"
"Jan 20, 2021","131.16","130.87","131.16","130.87","-","0.22%"
"Jan 19, 2021","130.87","131.85","132.36","130.87","-","-0.74%"
"Jan 18, 2021","131.85","132.23","132.49","131.85","-","-0.29%"
"Jan 15, 2021","132.23","133.24","133.34","132.23","-","-0.76%"
"Jan 14, 2021","133.24","134.77","134.92","133.24","-","-1.14%"
"Jan 13, 2021","134.77","135.06","135.06","134.77","-","-0.21%"
"Jan 12, 2021","135.06","135.56","135.56","135.06","-","-0.37%"
"Jan 11, 2021","135.56","136.41","136.41","135.56","-","-0.62%"
"Jan 08, 2021","136.41","137.67","137.94","136.41","-","-0.92%"
"Jan 07, 2021","137.67","137.99","138.18","137.67","-","-0.23%"
"Jan 06, 2021","137.99","141.18","141.18","137.99","-","-2.26%"
"Jan 05, 2021","141.18","141.57","141.57","141.18","-","-0.28%"
"Jan 04, 2021","141.57","145.37","145.37","141.57","-","-2.61%"
"Dec 31, 2020","145.37","143.95","145.38","143.95","-","0.99%"
"Dec 30, 2020","143.95","143.12","143.95","143.12","-","0.58%"
"Dec 29, 2020","143.12","143.46","143.46","143.12","-","-0.24%"
"Dec 28, 2020","143.46","140.83","143.46","140.83","-","1.87%"
"Dec 24, 2020","140.83","141.01","141.63","140.83","-","-0.13%"
"Dec 23, 2020","141.01","142.73","142.73","141.01","-","-1.21%"
"Dec 22, 2020","142.73","143.00","143.00","142.73","-","-0.19%"
"Dec 21, 2020","143.00","141.81","143.00","141.81","-","0.84%"
"Dec 18, 2020","141.81","141.33","141.81","141.33","-","0.34%"
"Dec 17, 2020","141.33","137.26","141.33","137.26","-","2.97%"
"Dec 16, 2020","137.26","134.17","137.26","134.17","-","2.30%"
"Dec 15, 2020","134.17","132.71","134.17","132.71","-","1.10%"
"Dec 14, 2020","132.71","132.76","132.83","132.71","-","-0.04%"
"Dec 11, 2020","132.76","132.40","132.76","132.40","-","0.27%"
"Dec 10, 2020","132.40","131.12","132.45","131.12","-","0.98%"
"Dec 09, 2020","131.12","132.59","132.59","131.12","-","-1.11%"
"Dec 08, 2020","132.59","131.48","132.59","131.48","-","0.84%"
"Dec 07, 2020","131.48","131.17","131.50","131.17","-","0.24%"
"Dec 04, 2020","131.17","131.69","131.69","131.17","-","-0.39%"
"Dec 03, 2020","131.69","131.52","131.92","131.52","-","0.13%"
"Dec 02, 2020","131.52","131.63","131.72","131.52","-","-0.08%"
"Dec 01, 2020","131.63","130.86","131.63","130.86","-","0.59%"
"Nov 30, 2020","130.86","130.86","131.37","130.86","-","0.00%"
"Nov 27, 2020","130.86","129.91","130.86","129.91","-","0.73%"
"Nov 26, 2020","129.91","130.23","130.23","129.91","-","-0.25%"
"Nov 25, 2020","130.23","129.54","130.23","129.54","-","0.53%"
"Nov 24, 2020","129.54","130.31","130.38","129.54","-","-0.59%"
"Nov 23, 2020","130.31","128.82","130.31","128.82","-","1.16%"
"Nov 20, 2020","128.82","128.64","128.91","128.64","-","0.14%"
"Nov 19, 2020","128.64","128.98","128.98","128.64","-","-0.26%"
"Nov 18, 2020","128.98","128.97","129.05","128.97","-","0.01%"
"Nov 17, 2020","128.97","128.31","128.97","128.31","-","0.51%"
"Nov 16, 2020","128.31","127.86","128.31","127.86","-","0.35%"
"Nov 13, 2020","127.86","128.48","128.48","127.86","-","-0.48%"
"Nov 12, 2020","128.48","128.94","129.10","128.48","-","-0.36%"
"Nov 11, 2020","128.94","129.06","129.06","128.94","-","-0.09%"
"Nov 10, 2020","129.06","128.90","129.25","128.90","-","0.12%"
"Nov 09, 2020","128.90","128.33","128.90","128.33","-","0.44%"
"Nov 06, 2020","128.33","128.34","128.34","128.33","-","-0.01%"
"Nov 05, 2020","128.34","126.81","128.58","126.81","-","1.21%"
"Nov 04, 2020","126.81","126.86","127.19","126.81","-","-0.04%"
"Nov 03, 2020","126.86","129.82","129.86","126.86","-","-2.28%"
