Date,Open,High,Low,Close
02/02/2021,"722.42","722.42","722.42","722.42"
02/01/2021,"717.41","717.41","717.41","717.41"
01/29/2021,"717.84","717.84","717.84","717.84"
01/28/2021,"717.84","717.84","717.84","717.84"
01/27/2021,"717.84","717.84","717.84","717.84"
01/26/2021,"714.22","714.22","714.22","714.22"
01/25/2021,"713.14","713.14","713.14","713.14"
01/22/2021,"722.25","722.25","722.25","722.25"
01/21/2021,"722.25","722.25","722.25","722.25"
01/19/2021,"714.88","714.88","714.88","714.88"
01/18/2021,"713.38","713.38","713.38","713.38"
01/15/2021,"709.44","709.44","709.44","709.44"
01/12/2021,"701.46","701.46","701.46","701.46"
01/08/2021,"678.08","678.08","678.08","678.08"
01/07/2021,"678.08","678.08","678.08","678.08"
01/04/2021,"670.37","670.37","670.37","670.37"
12/31/2020,"672.49","672.49","672.49","672.49"
12/29/2020,"666.72","666.72","666.72","666.72"
12/28/2020,"663.08","663.08","663.08","663.08"
12/25/2020,"666.64","666.64","666.64","666.64"
12/24/2020,"666.64","666.64","666.64","666.64"
12/22/2020,"667.31","667.31","667.31","667.31"
12/18/2020,"672.31","672.31","672.31","672.31"
12/17/2020,"672.31","672.31","672.31","672.31"
12/15/2020,"684.35","684.35","684.35","684.35"
12/14/2020,"684.37","684.37","684.37","684.37"
12/08/2020,"678.73","678.73","678.73","678.73"
12/04/2020,"679.82","679.82","679.82","679.82"
12/02/2020,"680.24","680.24","680.24","680.24"
12/01/2020,"680.46","680.46","680.46","680.46"
11/30/2020,"674.49","674.49","674.49","674.49"
11/27/2020,"678.13","678.13","678.13","678.13"
11/26/2020,"678.13","678.13","678.13","678.13"
11/25/2020,"681.69","681.69","681.69","681.69"
11/24/2020,"678.34","678.34","678.34","678.34"
11/20/2020,"673.37","673.37","673.37","673.37"
11/19/2020,"673.37","673.37","673.37","673.37"
11/18/2020,"679.08","679.08","679.08","679.08"
11/17/2020,"683.82","683.82","683.82","683.82"
11/16/2020,"679.94","679.94","679.94","679.94"
11/13/2020,"679.88","679.88","679.88","679.88"
11/11/2020,"680.27","680.27","680.27","680.27"
11/10/2020,"687.79","687.79","687.79","687.79"
11/06/2020,"659.33","659.33","659.33","659.33"
11/05/2020,"659.33","659.33","659.33","659.33"
11/04/2020,"654.08","654.08","654.08","654.08"
11/03/2020,"652.24","652.24","652.24","652.24"
11/02/2020,"647.65","647.65","647.65","647.65"
10/29/2020,"652.40","652.40","652.40","652.40"
10/28/2020,"652.40","652.40","652.40","652.40"
10/27/2020,"655.03","655.03","655.03","655.03"
10/23/2020,"676.27","676.27","676.27","676.27"
10/20/2020,"685.23","685.23","685.23","685.23"
10/15/2020,"694.48","694.48","694.48","694.48"
10/14/2020,"695.54","695.54","695.54","695.54"
10/12/2020,"698.72","698.72","698.72","698.72"
10/09/2020,"695.65","695.65","695.65","695.65"
10/07/2020,"695.65","695.65","695.65","695.65"
10/06/2020,"677.92","677.92","677.92","677.92"
10/01/2020,"679.61","679.61","679.61","679.61"
09/30/2020,"675.99","675.99","675.99","675.99"
09/29/2020,"676.01","676.01","676.01","676.01"
09/24/2020,"671.02","671.02","671.02","671.02"
09/23/2020,"675.43","675.43","675.43","675.43"
09/22/2020,"674.45","674.45","674.45","674.45"
09/21/2020,"671.12","671.12","671.12","671.12"
09/18/2020,"679.75","679.75","679.75","679.75"
09/16/2020,"681.95","681.95","681.95","681.95"
09/11/2020,"683.69","683.69","683.69","683.69"
09/10/2020,"683.69","683.69","683.69","683.69"
09/07/2020,"688.82","688.82","688.82","688.82"
09/02/2020,"691.82","691.82","691.82","691.82"
08/31/2020,"700.33","700.33","700.33","700.33"
08/26/2020,"703.82","703.82","703.82","703.82"
08/25/2020,"704.24","704.24","704.24","704.24"
08/18/2020,"682.37","682.37","682.37","682.37"
08/17/2020,"685.14","685.14","685.14","685.14"
08/14/2020,"673.40","673.40","673.40","673.40"
08/13/2020,"673.40","673.40","673.40","673.40"
08/12/2020,"670.53","670.53","670.53","670.53"
08/07/2020,"661.65","661.65","661.65","661.65"
08/06/2020,"661.65","661.65","661.65","661.65"
08/03/2020,"654.25","654.25","654.25","654.25"
07/29/2020,"654.25","654.25","654.25","654.25"
07/27/2020,"652.45","652.45","652.45","652.45"
07/24/2020,"646.30","646.30","646.30","646.30"
07/21/2020,"651.90","651.90","651.90","651.90"
07/20/2020,"643.56","643.56","643.56","643.56"
07/16/2020,"648.57","648.57","648.57","648.57"
07/14/2020,"672.65","672.65","672.65","672.65"
07/13/2020,"681.93","681.93","681.93","681.93"
07/10/2020,"678.67","678.67","678.67","678.67"
07/08/2020,"688.08","688.08","688.08","688.08"
07/07/2020,"683.88","683.88","683.88","683.88"
07/06/2020,"685.87","685.87","685.87","685.87"
07/03/2020,"665.93","665.93","665.93","665.93"
07/02/2020,"665.93","665.93","665.93","665.93"
