"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 03, 2021","1,872.56","1,872.56","1,872.56","1,872.56","-","-0.10%"
"Feb 02, 2021","1,874.37","1,874.37","1,874.37","1,874.37","-","-0.03%"
"Feb 01, 2021","1,874.96","1,874.96","1,874.96","1,874.96","-","-0.37%"
"Jan 29, 2021","1,881.91","1,881.91","1,881.91","1,881.91","-","-0.36%"
"Jan 28, 2021","1,888.74","1,888.74","1,888.74","1,888.74","-","-0.05%"
"Jan 27, 2021","1,889.74","1,889.74","1,889.74","1,889.74","-","0.05%"
"Jan 26, 2021","1,888.71","1,888.71","1,888.71","1,888.71","-","0.35%"
"Jan 25, 2021","1,882.20","1,882.20","1,882.20","1,882.20","-","-0.27%"
"Jan 22, 2021","1,887.23","1,887.23","1,887.23","1,887.23","-","-0.09%"
"Jan 21, 2021","1,888.89","1,888.89","1,888.89","1,888.89","-","0.39%"
"Jan 20, 2021","1,881.57","1,881.57","1,881.57","1,881.57","-","-0.67%"
"Jan 19, 2021","1,894.18","1,894.18","1,894.18","1,894.18","-","-0.65%"
"Jan 18, 2021","1,906.63","1,906.63","1,906.63","1,906.63","-","-0.68%"
"Jan 15, 2021","1,919.70","1,919.70","1,919.70","1,919.70","-","-0.07%"
"Jan 14, 2021","1,921.06","1,921.06","1,921.06","1,921.06","-","0.55%"
"Jan 13, 2021","1,910.64","1,910.64","1,910.64","1,910.64","-","0.44%"
"Jan 12, 2021","1,902.22","1,902.22","1,902.22","1,902.22","-","0.52%"
"Jan 11, 2021","1,892.39","1,892.39","1,892.39","1,892.39","-","-0.21%"
"Jan 08, 2021","1,896.46","1,896.46","1,896.46","1,896.46","-","0.88%"
"Jan 07, 2021","1,879.92","1,879.92","1,879.92","1,879.92","-","0.57%"
"Jan 06, 2021","1,869.26","1,869.26","1,869.26","1,869.26","-","-0.46%"
"Jan 05, 2021","1,877.89","1,877.89","1,877.89","1,877.89","-","0.29%"
"Jan 04, 2021","1,872.42","1,872.42","1,872.42","1,872.42","-","0.22%"
"Dec 31, 2020","1,868.39","1,868.39","1,868.39","1,868.39","-","0.83%"
"Dec 30, 2020","1,853.06","1,853.06","1,853.06","1,853.06","-","0.77%"
"Dec 29, 2020","1,838.84","1,838.84","1,838.84","1,838.84","-","0.48%"
"Dec 28, 2020","1,830.06","1,830.06","1,830.06","1,830.06","-","-0.51%"
"Dec 24, 2020","1,839.51","1,839.51","1,839.51","1,839.51","-","0.90%"
"Dec 23, 2020","1,823.07","1,823.07","1,823.07","1,823.07","-","0.61%"
"Dec 22, 2020","1,812.00","1,812.00","1,812.00","1,812.00","-","0.07%"
"Dec 21, 2020","1,810.78","1,810.78","1,810.78","1,810.78","-","0.77%"
"Dec 18, 2020","1,796.88","1,796.88","1,796.88","1,796.88","-","0.03%"
"Dec 17, 2020","1,796.41","1,796.41","1,796.41","1,796.41","-","0.08%"
"Dec 16, 2020","1,795.05","1,795.05","1,795.05","1,795.05","-","0.52%"
"Dec 15, 2020","1,785.73","1,785.73","1,785.73","1,785.73","-","-0.61%"
"Dec 14, 2020","1,796.64","1,796.64","1,796.64","1,796.64","-","0.14%"
"Dec 11, 2020","1,794.06","1,794.06","1,794.06","1,794.06","-","0.67%"
"Dec 10, 2020","1,782.06","1,782.06","1,782.06","1,782.06","-","0.40%"
"Dec 09, 2020","1,774.88","1,774.88","1,774.88","1,774.88","-","-0.30%"
"Dec 08, 2020","1,780.30","1,780.30","1,780.30","1,780.30","-","-0.14%"
"Dec 07, 2020","1,782.78","1,782.78","1,782.78","1,782.78","-","-0.20%"
"Dec 04, 2020","1,786.42","1,786.42","1,786.42","1,786.42","-","0.45%"
"Dec 03, 2020","1,778.46","1,778.46","1,778.46","1,778.46","-","0.99%"
"Dec 02, 2020","1,760.98","1,760.98","1,760.98","1,760.98","-","0.50%"
"Dec 01, 2020","1,752.17","1,752.17","1,752.17","1,752.17","-","-0.44%"
"Nov 30, 2020","1,759.93","1,759.93","1,759.93","1,759.93","-","0.11%"
