"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 03, 2021","11,751.10","11,709.26","11,758.61","11,693.90","-","0.36%"
"Feb 02, 2021","11,709.26","11,637.51","11,718.40","11,637.51","-","0.62%"
"Feb 01, 2021","11,637.51","11,630.01","11,639.89","11,592.62","-","0.06%"
"Jan 29, 2021","11,630.01","11,657.63","11,711.26","11,630.01","-","-0.24%"
"Jan 28, 2021","11,657.63","11,695.96","11,701.97","11,650.70","-","-0.33%"
"Jan 27, 2021","11,695.96","11,716.70","11,718.28","11,695.86","-","-0.18%"
"Jan 26, 2021","11,716.70","11,637.35","11,729.33","11,637.35","-","0.68%"
"Jan 25, 2021","11,637.35","11,563.73","11,653.64","11,520.85","-","0.64%"
"Jan 22, 2021","11,563.73","11,514.99","11,567.93","11,499.44","-","0.42%"
"Jan 21, 2021","11,514.99","11,516.01","11,541.56","11,504.05","-","-0.01%"
"Jan 20, 2021","11,516.01","11,482.26","11,528.87","11,482.26","-","0.29%"
"Jan 19, 2021","11,482.26","11,465.25","11,484.03","11,415.41","-","0.15%"
"Jan 18, 2021","11,465.25","11,416.19","11,465.25","11,395.10","-","0.43%"
"Jan 15, 2021","11,416.19","11,326.79","11,442.59","11,315.60","-","0.79%"
"Jan 14, 2021","11,326.79","11,262.09","11,331.13","11,262.09","-","0.57%"
"Jan 13, 2021","11,262.09","11,296.99","11,314.93","11,249.53","-","-0.31%"
"Jan 12, 2021","11,296.99","11,249.14","11,296.99","11,225.06","-","0.43%"
"Jan 08, 2021","11,249.14","11,271.23","11,298.06","11,244.10","-","-0.20%"
"Jan 07, 2021","11,271.23","11,215.71","11,303.69","11,215.71","-","0.50%"
"Jan 06, 2021","11,215.71","11,253.70","11,277.86","11,210.15","-","-0.34%"
"Jan 05, 2021","11,253.70","11,308.67","11,327.53","11,253.28","-","-0.77%"
"Jan 04, 2021","11,340.86","11,287.38","11,340.97","11,274.78","-","0.47%"
"Dec 31, 2020","11,287.38","11,178.90","11,287.38","11,162.81","-","0.68%"
"Dec 30, 2020","11,211.08","11,211.49","11,256.86","11,197.23","-","-0.00%"
"Dec 29, 2020","11,211.49","11,244.05","11,289.23","11,209.44","-","-0.31%"
"Dec 28, 2020","11,246.20","11,247.33","11,296.56","11,228.19","-","-0.01%"
"Dec 25, 2020","11,247.33","11,345.30","11,367.88","11,247.33","-","-0.86%"
"Dec 24, 2020","11,345.30","11,394.16","11,402.04","11,341.07","-","-0.43%"
"Dec 23, 2020","11,394.16","11,338.84","11,423.20","11,332.29","-","0.49%"
"Dec 22, 2020","11,338.84","11,164.60","11,348.68","11,103.04","-","1.56%"
"Dec 21, 2020","11,164.60","11,520.24","11,520.24","11,149.26","-","-3.09%"
"Dec 18, 2020","11,520.24","11,551.20","11,595.16","11,508.47","-","-0.27%"
"Dec 17, 2020","11,551.20","11,423.24","11,551.20","11,399.98","-","1.12%"
"Dec 16, 2020","11,423.24","11,361.94","11,436.54","11,316.54","-","0.54%"
"Dec 15, 2020","11,361.94","11,341.32","11,361.94","11,307.90","-","0.18%"
"Dec 14, 2020","11,341.32","11,366.94","11,385.67","11,315.44","-","-0.23%"
"Dec 11, 2020","11,366.94","11,094.93","11,366.94","11,094.93","-","2.45%"
"Dec 10, 2020","11,094.93","11,086.89","11,132.28","11,086.89","-","0.07%"
"Dec 09, 2020","11,086.89","11,036.50","11,090.69","11,028.95","-","0.46%"
"Dec 08, 2020","11,036.50","11,011.15","11,045.80","11,004.99","-","0.23%"
"Dec 07, 2020","11,011.15","10,977.68","11,015.57","10,969.18","-","0.30%"
"Dec 04, 2020","10,977.68","10,973.08","11,011.69","10,968.19","-","0.04%"
"Dec 03, 2020","10,973.08","10,960.92","11,007.22","10,946.72","-","0.11%"
"Dec 02, 2020","10,960.92","10,960.59","10,986.85","10,939.68","-","0.00%"
"Dec 01, 2020","10,960.59","10,990.85","11,011.98","10,949.95","-","-0.28%"
"Nov 30, 2020","10,990.85","10,888.99","10,990.85","10,888.99","-","0.94%"
"Nov 27, 2020","10,888.99","11,032.39","11,055.77","10,886.87","-","-1.30%"
"Nov 26, 2020","11,032.39","11,105.48","11,119.01","11,032.39","-","-0.66%"
"Nov 25, 2020","11,105.48","11,018.86","11,105.48","11,018.86","-","0.79%"
"Nov 24, 2020","11,018.86","10,923.55","11,020.97","10,920.36","-","0.87%"
"Nov 23, 2020","10,923.55","10,900.41","10,972.51","10,900.41","-","0.21%"
"Nov 20, 2020","10,900.41","10,760.56","10,904.03","10,760.15","-","1.30%"
"Nov 19, 2020","10,760.56","10,722.04","10,762.27","10,684.03","-","0.36%"
"Nov 17, 2020","10,722.04","10,708.54","10,728.58","10,691.59","-","0.13%"
"Nov 16, 2020","10,708.54","10,657.54","10,708.96","10,653.71","-","0.48%"
"Nov 13, 2020","10,657.54","10,602.14","10,657.54","10,550.54","-","0.52%"
"Nov 12, 2020","10,602.14","10,574.43","10,604.71","10,550.47","-","0.26%"
"Nov 11, 2020","10,574.43","10,597.37","10,597.44","10,545.69","-","-0.22%"
"Nov 10, 2020","10,597.37","10,555.87","10,629.48","10,555.87","-","0.39%"
"Nov 09, 2020","10,555.87","10,360.98","10,558.24","10,349.74","-","1.88%"
"Nov 05, 2020","10,360.98","10,352.09","10,388.27","10,352.09","-","0.09%"
"Nov 04, 2020","10,352.09","10,360.37","10,372.82","10,347.48","-","-0.08%"
"Nov 03, 2020","10,360.37","10,367.00","10,380.01","10,357.66","-","-0.06%"
"Nov 02, 2020","10,367.00","10,460.66","10,460.66","10,342.27","-","-0.90%"
"Oct 28, 2020","10,460.66","10,449.13","10,464.05","10,418.45","-","0.11%"
"Oct 27, 2020","10,449.13","10,444.59","10,482.85","10,438.79","-","0.04%"
"Oct 26, 2020","10,444.59","10,453.86","10,489.55","10,442.59","-","-0.09%"
"Oct 23, 2020","10,453.86","10,374.82","10,454.13","10,374.70","-","0.76%"
"Oct 22, 2020","10,374.82","10,331.94","10,400.43","10,330.87","-","0.42%"
"Oct 21, 2020","10,331.94","10,276.47","10,332.95","10,276.21","-","0.24%"
"Oct 20, 2020","10,307.40","10,288.10","10,323.48","10,282.47","-","0.19%"
"Oct 19, 2020","10,288.10","10,323.93","10,340.84","10,262.18","-","-0.35%"
"Oct 16, 2020","10,323.93","10,373.77","10,386.33","10,323.93","-","-0.48%"
"Oct 15, 2020","10,373.77","10,385.67","10,426.44","10,345.76","-","-0.11%"
"Oct 14, 2020","10,385.67","10,232.45","10,388.34","10,232.40","-","1.50%"
"Oct 13, 2020","10,232.45","10,204.05","10,232.45","10,204.05","-","0.28%"
"Oct 12, 2020","10,204.05","10,205.85","10,233.38","10,193.04","-","-0.02%"
"Oct 09, 2020","10,205.85","10,177.17","10,206.28","10,152.70","-","0.28%"
"Oct 08, 2020","10,177.17","10,207.00","10,207.11","10,168.49","-","-0.29%"
"Oct 07, 2020","10,207.00","10,173.22","10,216.17","10,173.21","-","0.33%"
"Oct 06, 2020","10,173.22","10,106.43","10,173.22","10,102.32","-","0.66%"
