"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 03, 2021","42,000.01","42,043.79","42,043.79","41,953.90","504.94M","-0.10%"
"Feb 02, 2021","42,043.79","42,357.90","42,374.14","42,023.46","563.22M","-0.74%"
"Feb 01, 2021","42,357.90","42,412.66","42,472.56","42,338.85","586.93M","-0.13%"
"Jan 29, 2021","42,412.66","42,170.25","42,444.22","42,126.97","669.87M","0.58%"
"Jan 28, 2021","42,169.41","41,928.57","42,192.82","41,924.82","555.52M","0.57%"
"Jan 27, 2021","41,930.73","41,584.94","41,936.48","41,584.94","543.74M","0.83%"
"Jan 26, 2021","41,584.94","41,088.96","41,589.56","41,087.40","468.03M","1.21%"
"Jan 25, 2021","41,088.96","41,001.99","41,092.23","40,973.85","332.68M","0.21%"
"Jan 22, 2021","41,001.99","41,100.62","41,100.62","40,997.06","591.46M","-0.24%"
"Jan 21, 2021","41,099.15","41,147.72","41,157.70","40,997.39","1.12B","-0.12%"
"Jan 20, 2021","41,147.72","41,051.63","41,147.72","41,050.20","649.65M","0.23%"
"Jan 19, 2021","41,051.63","41,080.94","41,109.33","41,034.75","912.86M","-0.07%"
"Jan 18, 2021","41,082.38","41,176.14","41,234.99","40,830.65","1.01B","-0.23%"
"Jan 15, 2021","41,176.14","40,963.14","41,202.65","40,963.14","666.73M","0.52%"
"Jan 14, 2021","40,963.14","40,345.72","40,963.14","40,345.72","809.36M","1.54%"
"Jan 13, 2021","40,341.05","40,295.95","40,553.56","40,295.95","468.33M","0.11%"
"Jan 12, 2021","40,295.95","40,150.78","40,295.95","39,724.26","1.17B","0.36%"
"Jan 11, 2021","40,150.78","40,120.22","40,150.78","40,095.09","335.64M","0.07%"
"Jan 08, 2021","40,123.71","40,590.85","40,657.30","40,004.27","333.31M","-1.15%"
"Jan 07, 2021","40,590.85","40,465.15","40,620.02","40,310.36","229.88M","0.34%"
"Jan 06, 2021","40,452.07","40,396.14","40,465.15","40,388.30","249.53M","0.14%"
"Jan 05, 2021","40,396.14","41,148.02","41,149.86","40,142.94","465.68M","-1.83%"
"Jan 04, 2021","41,147.39","40,287.71","41,154.33","40,284.00","211.88M","2.18%"
"Dec 31, 2020","40,270.72","39,515.31","40,279.29","39,507.24","710.56M","1.92%"
"Dec 30, 2020","39,512.31","39,110.17","39,601.97","39,107.50","372.93M","1.03%"
"Dec 29, 2020","39,110.17","38,800.01","39,134.37","38,775.26","722.57M","0.80%"
"Dec 24, 2020","38,800.01","38,803.74","38,873.10","38,798.18","389.66M","-0.01%"
"Dec 23, 2020","38,803.74","37,893.61","38,809.25","37,893.19","467.13M","2.40%"
"Dec 22, 2020","37,893.61","37,443.40","37,952.36","37,443.40","442.22M","1.20%"
"Dec 21, 2020","37,443.40","36,798.74","37,494.76","36,798.74","427.06M","1.74%"
"Dec 18, 2020","36,804.75","36,239.62","36,808.29","36,239.62","426.33M","1.56%"
"Dec 17, 2020","36,239.62","35,493.15","36,239.62","35,493.15","343.64M","2.10%"
"Dec 16, 2020","35,493.15","35,225.22","35,554.11","35,225.22","648.99M","0.76%"
"Dec 15, 2020","35,225.22","34,843.44","35,227.32","34,834.78","264.23M","1.10%"
"Dec 14, 2020","34,843.44","34,250.74","34,877.29","34,206.48","208.07M","1.73%"
"Dec 11, 2020","34,250.74","34,576.49","34,666.79","34,145.13","796.07M","-0.94%"
"Dec 10, 2020","34,577.26","35,021.26","35,021.26","34,501.85","553.95M","-1.27%"
"Dec 09, 2020","35,021.26","35,033.74","35,039.80","35,001.14","283.09M","-0.04%"
"Dec 08, 2020","35,033.74","35,064.36","35,081.67","35,020.79","307.72M","-0.09%"
"Dec 07, 2020","35,064.36","35,137.99","35,140.81","35,064.36","324.31M","-0.21%"
"Dec 04, 2020","35,137.99","34,968.94","35,140.80","34,455.93","292.86M","0.48%"
"Dec 03, 2020","34,968.94","35,056.82","35,195.09","34,952.99","289.39M","-0.25%"
"Dec 02, 2020","35,056.82","35,147.62","35,172.68","35,031.65","368.96M","-0.26%"
"Dec 01, 2020","35,147.62","35,048.15","35,204.16","35,048.15","308.08M","0.30%"
"Nov 30, 2020","35,042.14","34,885.51","35,184.93","34,765.94","415.53M","0.45%"
"Nov 27, 2020","34,885.51","34,803.00","34,885.51","34,748.26","190.27M","0.24%"
"Nov 26, 2020","34,803.00","34,769.00","34,882.52","34,768.73","257.54M","0.10%"
"Nov 25, 2020","34,769.00","34,340.56","34,820.77","34,340.56","434.92M","1.25%"
