Date,Open,High,Low,Close
02/03/2021,"343.82","343.82","343.82","343.82"
02/02/2021,"341.02","341.02","341.02","341.02"
02/01/2021,"337.62","337.62","337.62","337.62"
01/29/2021,"337.55","337.55","337.55","337.55"
01/28/2021,"338.19","338.19","338.19","338.19"
01/27/2021,"335.82","335.82","335.82","335.82"
01/26/2021,"342.79","342.79","342.79","342.79"
01/25/2021,"343.99","343.99","343.99","343.99"
01/22/2021,"341.03","341.03","341.03","341.03"
01/21/2021,"348.59","348.59","348.59","348.59"
01/20/2021,"346.08","346.08","346.08","346.08"
01/19/2021,"343.55","343.55","343.55","343.55"
01/18/2021,"334.84","334.84","334.84","334.84"
01/15/2021,"332.50","332.50","332.50","332.50"
01/14/2021,"333.91","333.91","333.91","333.91"
01/13/2021,"329.20","329.20","329.20","329.20"
01/12/2021,"325.34","325.34","325.34","325.34"
01/11/2021,"322.93","322.93","322.93","322.93"
01/08/2021,"326.21","326.21","326.21","326.21"
01/07/2021,"318.80","318.80","318.80","318.80"
01/06/2021,"323.02","323.02","323.02","323.02"
01/05/2021,"324.35","324.35","324.35","324.35"
01/04/2021,"332.43","332.43","332.43","332.43"
12/31/2020,"329.14","329.14","329.14","329.14"
12/30/2020,"330.84","330.84","330.84","330.84"
12/29/2020,"325.39","325.39","325.39","325.39"
12/28/2020,"325.70","325.70","325.70","325.70"
12/25/2020,"328.26","328.26","328.26","328.26"
12/24/2020,"328.26","328.26","328.26","328.26"
12/23/2020,"329.81","329.81","329.81","329.81"
12/22/2020,"326.74","326.74","326.74","326.74"
12/21/2020,"327.68","327.68","327.68","327.68"
12/18/2020,"336.04","336.04","336.04","336.04"
12/17/2020,"333.98","333.98","333.98","333.98"
12/16/2020,"324.80","324.80","324.80","324.80"
12/15/2020,"323.60","323.60","323.60","323.60"
12/14/2020,"319.97","319.97","319.97","319.97"
12/11/2020,"317.42","317.42","317.42","317.42"
12/10/2020,"317.27","317.27","317.27","317.27"
12/09/2020,"320.72","320.72","320.72","320.72"
12/08/2020,"319.26","319.26","319.26","319.26"
12/07/2020,"317.90","317.90","317.90","317.90"
12/04/2020,"315.04","315.04","315.04","315.04"
12/03/2020,"313.99","313.99","313.99","313.99"
12/02/2020,"308.22","308.22","308.22","308.22"
12/01/2020,"307.82","307.82","307.82","307.82"
11/30/2020,"299.48","299.48","299.48","299.48"
11/27/2020,"310.29","310.29","310.29","310.29"
11/26/2020,"313.48","313.48","313.48","313.48"
11/25/2020,"309.52","309.52","309.52","309.52"
11/24/2020,"308.64","308.64","308.64","308.64"
11/23/2020,"304.64","304.64","304.64","304.64"
11/20/2020,"306.03","306.03","306.03","306.03"
11/19/2020,"303.13","303.13","303.13","303.13"
11/18/2020,"308.04","308.04","308.04","308.04"
11/17/2020,"307.02","307.02","307.02","307.02"
11/16/2020,"310.78","310.78","310.78","310.78"
11/13/2020,"305.73","305.73","305.73","305.73"
11/12/2020,"306.26","306.26","306.26","306.26"
11/11/2020,"305.11","305.11","305.11","305.11"
11/10/2020,"307.89","307.89","307.89","307.89"
11/09/2020,"313.96","313.96","313.96","313.96"
11/06/2020,"306.16","306.16","306.16","306.16"
11/05/2020,"300.15","300.15","300.15","300.15"
11/04/2020,"286.46","286.46","286.46","286.46"
11/03/2020,"281.17","281.17","281.17","281.17"
11/02/2020,"275.08","275.08","275.08","275.08"
10/30/2020,"269.74","269.74","269.74","269.74"
10/29/2020,"266.63","266.63","266.63","266.63"
10/28/2020,"271.06","271.06","271.06","271.06"
10/27/2020,"284.42","284.42","284.42","284.42"
10/26/2020,"285.44","285.44","285.44","285.44"
10/23/2020,"286.35","286.35","286.35","286.35"
10/22/2020,"283.46","283.46","283.46","283.46"
10/21/2020,"284.07","284.07","284.07","284.07"
10/20/2020,"278.31","278.31","278.31","278.31"
10/19/2020,"278.19","278.19","278.19","278.19"
10/16/2020,"275.98","275.98","275.98","275.98"
10/15/2020,"273.53","273.53","273.53","273.53"
10/14/2020,"278.29","278.29","278.29","278.29"
10/13/2020,"275.55","275.55","275.55","275.55"
10/12/2020,"279.35","279.35","279.35","279.35"
10/09/2020,"277.86","277.86","277.86","277.86"
10/08/2020,"271.85","271.85","271.85","271.85"
10/07/2020,"271.39","271.39","271.39","271.39"
10/06/2020,"272.19","272.19","272.19","272.19"
10/05/2020,"273.60","273.60","273.60","273.60"
10/02/2020,"274.36","274.36","274.36","274.36"
10/01/2020,"270.52","270.52","270.52","270.52"
09/30/2020,"267.80","267.80","267.80","267.80"
09/29/2020,"263.70","263.70","263.70","263.70"
09/28/2020,"260.32","260.32","260.32","260.32"
09/25/2020,"254.25","254.25","254.25","254.25"
09/24/2020,"260.07","260.07","260.07","260.07"
09/23/2020,"260.07","260.07","260.07","260.07"
09/22/2020,"260.72","260.72","260.72","260.72"
09/21/2020,"257.40","257.40","257.40","257.40"
09/18/2020,"275.33","275.33","275.33","275.33"
09/17/2020,"278.51","278.51","278.51","278.51"
09/16/2020,"282.22","282.22","282.22","282.22"
09/15/2020,"280.74","280.74","280.74","280.74"
09/14/2020,"277.81","277.81","277.81","277.81"
09/11/2020,"276.58","276.58","276.58","276.58"
09/10/2020,"276.25","276.25","276.25","276.25"
09/09/2020,"275.03","275.03","275.03","275.03"
09/08/2020,"263.32","263.32","263.32","263.32"
09/07/2020,"264.44","264.44","264.44","264.44"
09/04/2020,"265.01","265.01","265.01","265.01"
09/03/2020,"267.08","267.08","267.08","267.08"
09/02/2020,"270.52","270.52","270.52","270.52"
09/01/2020,"276.81","276.81","276.81","276.81"
08/31/2020,"269.03","269.03","269.03","269.03"
08/28/2020,"279.53","279.53","279.53","279.53"
08/27/2020,"277.37","277.37","277.37","277.37"
08/26/2020,"277.78","277.78","277.78","277.78"
08/25/2020,"276.75","276.75","276.75","276.75"
08/24/2020,"276.43","276.43","276.43","276.43"
08/21/2020,"268.82","268.82","268.82","268.82"
08/20/2020,"261.33","261.33","261.33","261.33"
08/19/2020,"267.62","267.62","267.62","267.62"
08/18/2020,"267.63","267.63","267.63","267.63"
08/17/2020,"265.64","265.64","265.64","265.64"
08/14/2020,"267.52","267.52","267.52","267.52"
08/13/2020,"268.10","268.10","268.10","268.10"
08/12/2020,"268.29","268.29","268.29","268.29"
08/11/2020,"264.15","264.15","264.15","264.15"
08/10/2020,"261.88","261.88","261.88","261.88"
08/07/2020,"263.91","263.91","263.91","263.91"
08/06/2020,"269.90","269.90","269.90","269.90"
08/05/2020,"275.28","275.28","275.28","275.28"
08/04/2020,"266.39","266.39","266.39","266.39"
08/03/2020,"267.47","267.47","267.47","267.47"
07/31/2020,"272.95","272.95","272.95","272.95"
07/30/2020,"277.78","277.78","277.78","277.78"
07/29/2020,"289.97","289.97","289.97","289.97"
07/28/2020,"288.11","288.11","288.11","288.11"
07/27/2020,"288.78","288.78","288.78","288.78"
07/24/2020,"279.49","279.49","279.49","279.49"
07/23/2020,"285.08","285.08","285.08","285.08"
07/22/2020,"287.21","287.21","287.21","287.21"
07/21/2020,"289.23","289.23","289.23","289.23"
07/20/2020,"282.52","282.52","282.52","282.52"
07/17/2020,"280.42","280.42","280.42","280.42"
07/16/2020,"280.69","280.69","280.69","280.69"
07/15/2020,"281.66","281.66","281.66","281.66"
07/14/2020,"275.71","275.71","275.71","275.71"
07/13/2020,"282.28","282.28","282.28","282.28"
07/10/2020,"276.24","276.24","276.24","276.24"
07/09/2020,"276.38","276.38","276.38","276.38"
07/08/2020,"273.81","273.81","273.81","273.81"
07/07/2020,"266.90","266.90","266.90","266.90"
07/06/2020,"268.32","268.32","268.32","268.32"
07/03/2020,"266.32","266.32","266.32","266.32"
07/02/2020,"267.69","267.69","267.69","267.69"
07/01/2020,"261.16","261.16","261.16","261.16"
06/30/2020,"257.57","257.57","257.57","257.57"
06/29/2020,"258.23","258.23","258.23","258.23"
06/26/2020,"254.75","254.75","254.75","254.75"
06/24/2020,"259.70","259.70","259.70","259.70"
06/23/2020,"265.81","265.81","265.81","265.81"
06/22/2020,"258.86","258.86","258.86","258.86"
06/19/2020,"258.57","258.57","258.57","258.57"
06/18/2020,"254.75","254.75","254.75","254.75"
06/17/2020,"259.80","259.80","259.80","259.80"
06/16/2020,"249.05","249.05","249.05","249.05"
06/15/2020,"248.65","248.65","248.65","248.65"
06/12/2020,"258.10","258.10","258.10","258.10"
06/11/2020,"257.56","257.56","257.56","257.56"
06/10/2020,"264.73","264.73","264.73","264.73"
06/09/2020,"270.09","270.09","270.09","270.09"
06/08/2020,"267.63","267.63","267.63","267.63"
06/05/2020,"266.56","266.56","266.56","266.56"
06/04/2020,"260.35","260.35","260.35","260.35"
06/03/2020,"262.03","262.03","262.03","262.03"
06/02/2020,"252.15","252.15","252.15","252.15"
06/01/2020,"239.37","239.37","239.37","239.37"
05/29/2020,"233.79","233.79","233.79","233.79"
05/28/2020,"242.84","242.84","242.84","242.84"
05/27/2020,"239.59","239.59","239.59","239.59"
05/26/2020,"242.52","242.52","242.52","242.52"
05/25/2020,"234.83","234.83","234.83","234.83"
05/22/2020,"237.09","237.09","237.09","237.09"
05/21/2020,"241.01","241.01","241.01","241.01"
05/20/2020,"241.67","241.67","241.67","241.67"
05/19/2020,"236.95","236.95","236.95","236.95"
05/18/2020,"230.51","230.51","230.51","230.51"
05/15/2020,"222.99","222.99","222.99","222.99"
05/14/2020,"221.79","221.79","221.79","221.79"
05/13/2020,"229.23","229.23","229.23","229.23"
