"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 03, 2021","6,603.91","6,617.41","6,617.41","6,564.49","523.09K","0.12%"
"Feb 02, 2021","6,596.32","6,636.43","6,645.00","6,591.58","1.36M","-0.59%"
"Feb 01, 2021","6,635.20","6,675.79","6,691.08","6,634.81","363.15K","-0.34%"
"Jan 29, 2021","6,657.83","6,655.33","6,658.15","6,631.38","337.19K","0.06%"
"Jan 28, 2021","6,653.80","6,627.60","6,664.77","6,627.60","714.05K","0.58%"
"Jan 27, 2021","6,615.22","6,643.83","6,666.11","6,612.24","1.60M","-0.44%"
"Jan 26, 2021","6,644.54","6,680.13","6,683.97","6,624.08","450.63K","-0.53%"
"Jan 25, 2021","6,680.05","6,704.17","6,704.95","6,653.85","430.93K","0.42%"
"Jan 22, 2021","6,652.03","6,720.34","6,725.19","6,642.77","896.19K","-0.73%"
"Jan 21, 2021","6,700.90","6,707.45","6,730.78","6,672.73","1.12M","-0.10%"
"Jan 20, 2021","6,707.34","6,716.70","6,716.70","6,685.85","1.22M","-0.13%"
"Jan 19, 2021","6,715.85","6,704.90","6,715.85","6,675.83","779.50K","0.53%"
"Jan 18, 2021","6,680.74","6,712.09","6,720.41","6,667.67","1.91M","-0.55%"
"Jan 15, 2021","6,717.73","6,718.39","6,736.36","6,697.18","646.57K","0.09%"
"Jan 13, 2021","6,711.41","6,743.84","6,744.71","6,688.79","1.04M","-0.34%"
"Jan 12, 2021","6,734.19","6,709.86","6,746.24","6,700.87","872.00K","0.08%"
"Jan 11, 2021","6,729.02","6,743.37","6,743.37","6,703.07","977.16K","-0.21%"
"Jan 08, 2021","6,743.51","6,728.76","6,749.82","6,726.65","842.99K","0.32%"
"Jan 07, 2021","6,721.82","6,737.46","6,744.84","6,712.06","1.00M","-0.31%"
"Jan 06, 2021","6,742.79","6,767.29","6,771.76","6,724.63","941.37K","-0.37%"
"Jan 05, 2021","6,768.02","6,813.48","6,813.48","6,749.11","1.53M","-0.59%"
"Jan 04, 2021","6,808.14","6,882.13","6,882.13","6,798.99","1.01M","-1.12%"
"Dec 31, 2020","6,884.93","6,856.58","6,885.02","6,825.83","1.53M","0.50%"
"Dec 30, 2020","6,850.84","6,862.08","6,880.72","6,832.95","1.69M","-0.07%"
"Dec 29, 2020","6,855.32","6,874.40","6,883.83","6,823.43","6.19M","0.04%"
"Dec 28, 2020","6,852.84","6,868.61","6,893.42","6,829.48","1.48M","-0.22%"
"Dec 25, 2020","6,868.24","6,875.16","6,885.95","6,845.93","3.70M","-0.03%"
"Dec 24, 2020","6,869.99","6,878.12","6,890.08","6,843.26","1.59M","0.20%"
