Date,Open,High,Low,Close
02/03/2021,"3,531.15","3,544.01","3,508.51","3,517.31"
02/02/2021,"3,510.81","3,535.50","3,495.57","3,533.68"
02/01/2021,"3,477.17","3,506.39","3,469.88","3,505.28"
01/29/2021,"3,521.72","3,531.60","3,446.55","3,483.07"
01/28/2021,"3,534.67","3,549.54","3,496.88","3,505.18"
01/27/2021,"3,567.55","3,578.80","3,546.49","3,573.34"
01/26/2021,"3,610.97","3,610.97","3,564.74","3,569.43"
01/25/2021,"3,605.36","3,637.10","3,591.02","3,624.24"
01/22/2021,"3,616.54","3,616.54","3,585.03","3,606.75"
01/21/2021,"3,590.92","3,636.24","3,585.80","3,621.26"
01/20/2021,"3,564.12","3,589.96","3,556.44","3,583.09"
01/19/2021,"3,596.36","3,603.15","3,553.02","3,566.38"
01/18/2021,"3,554.80","3,608.77","3,544.26","3,596.22"
01/15/2021,"3,566.28","3,589.27","3,533.79","3,566.38"
01/14/2021,"3,584.93","3,599.06","3,559.60","3,565.90"
01/13/2021,"3,613.28","3,622.35","3,575.59","3,598.65"
01/12/2021,"3,518.01","3,608.34","3,517.47","3,608.34"
01/11/2021,"3,571.32","3,597.70","3,516.99","3,531.50"
01/08/2021,"3,577.69","3,588.06","3,544.89","3,570.11"
01/07/2021,"3,552.91","3,576.20","3,526.62","3,576.20"
01/06/2021,"3,530.91","3,556.80","3,513.13","3,550.88"
01/05/2021,"3,492.19","3,528.68","3,484.72","3,528.68"
01/04/2021,"3,474.68","3,511.66","3,457.21","3,502.96"
12/31/2020,"3,419.73","3,474.92","3,419.73","3,473.07"
12/30/2020,"3,375.01","3,414.45","3,374.42","3,414.45"
12/29/2020,"3,399.29","3,407.09","3,376.09","3,379.04"
12/28/2020,"3,396.36","3,412.52","3,383.65","3,397.29"
12/25/2020,"3,351.79","3,397.01","3,348.35","3,396.56"
12/24/2020,"3,382.19","3,394.07","3,354.02","3,363.11"
12/23/2020,"3,362.47","3,394.21","3,360.20","3,382.32"
12/22/2020,"3,410.97","3,415.75","3,353.86","3,356.78"
12/21/2020,"3,394.39","3,423.61","3,381.12","3,420.57"
12/18/2020,"3,400.49","3,413.81","3,382.75","3,394.90"
12/17/2020,"3,367.28","3,406.15","3,354.01","3,404.87"
12/16/2020,"3,371.26","3,378.66","3,359.17","3,366.98"
