Date,Open,High,Low,Close
02/03/2021,"1,582.99","1,582.99","1,582.99","1,582.99"
02/02/2021,"1,580.49","1,580.49","1,580.49","1,580.49"
01/29/2021,"1,566.40","1,566.40","1,566.40","1,566.40"
01/27/2021,"1,580.62","1,580.62","1,580.62","1,580.62"
01/26/2021,"1,575.31","1,575.31","1,575.31","1,575.31"
01/25/2021,"1,576.62","1,576.62","1,576.62","1,576.62"
01/22/2021,"1,596.74","1,596.74","1,596.74","1,596.74"
01/21/2021,"1,594.80","1,594.80","1,594.80","1,594.80"
01/20/2021,"1,601.54","1,601.54","1,601.54","1,601.54"
01/19/2021,"1,601.88","1,601.88","1,601.88","1,601.88"
01/18/2021,"1,609.52","1,609.52","1,609.52","1,609.52"
01/15/2021,"1,627.01","1,627.01","1,627.01","1,627.01"
01/14/2021,"1,635.71","1,635.71","1,635.71","1,635.71"
01/13/2021,"1,636.69","1,636.69","1,636.69","1,636.69"
01/12/2021,"1,612.04","1,612.04","1,612.04","1,612.04"
01/11/2021,"1,617.25","1,617.25","1,617.25","1,617.25"
01/08/2021,"1,633.19","1,633.19","1,633.19","1,633.19"
01/07/2021,"1,602.95","1,602.95","1,602.95","1,602.95"
01/06/2021,"1,591.97","1,591.97","1,591.97","1,591.97"
01/05/2021,"1,608.35","1,608.35","1,608.35","1,608.35"
01/04/2021,"1,602.57","1,602.57","1,602.57","1,602.57"
12/31/2020,"1,627.21","1,627.21","1,627.21","1,627.21"
12/30/2020,"1,644.41","1,644.41","1,644.41","1,644.41"
12/29/2020,"1,634.99","1,634.99","1,634.99","1,634.99"
12/28/2020,"1,643.90","1,643.90","1,643.90","1,643.90"
12/24/2020,"1,641.17","1,641.17","1,641.17","1,641.17"
12/23/2020,"1,647.50","1,647.50","1,647.50","1,647.50"
12/22/2020,"1,631.92","1,631.92","1,631.92","1,631.92"
12/21/2020,"1,647.89","1,647.89","1,647.89","1,647.89"
12/18/2020,"1,652.49","1,652.49","1,652.49","1,652.49"
12/17/2020,"1,674.35","1,674.35","1,674.35","1,674.35"
12/16/2020,"1,681.41","1,681.41","1,681.41","1,681.41"
12/15/2020,"1,674.02","1,674.02","1,674.02","1,674.02"
12/14/2020,"1,662.74","1,662.74","1,662.74","1,662.74"
12/11/2020,"1,684.58","1,684.58","1,684.58","1,684.58"
12/10/2020,"1,654.39","1,654.39","1,654.39","1,654.39"
12/09/2020,"1,646.53","1,646.53","1,646.53","1,646.53"
12/08/2020,"1,631.70","1,631.70","1,631.70","1,631.70"
12/07/2020,"1,622.89","1,622.89","1,622.89","1,622.89"
12/04/2020,"1,621.85","1,621.85","1,621.85","1,621.85"
12/03/2020,"1,628.26","1,628.26","1,628.26","1,628.26"
12/02/2020,"1,598.72","1,598.72","1,598.72","1,598.72"
12/01/2020,"1,602.26","1,602.26","1,602.26","1,602.26"
11/30/2020,"1,562.71","1,562.71","1,562.71","1,562.71"
11/27/2020,"1,607.59","1,607.59","1,607.59","1,607.59"
11/26/2020,"1,612.11","1,612.11","1,612.11","1,612.11"
11/25/2020,"1,597.58","1,597.58","1,597.58","1,597.58"
11/24/2020,"1,578.39","1,578.39","1,578.39","1,578.39"
11/23/2020,"1,597.48","1,597.48","1,597.48","1,597.48"
11/20/2020,"1,593.75","1,593.75","1,593.75","1,593.75"
11/19/2020,"1,583.68","1,583.68","1,583.68","1,583.68"
11/18/2020,"1,604.75","1,604.75","1,604.75","1,604.75"
11/17/2020,"1,610.15","1,610.15","1,610.15","1,610.15"
11/16/2020,"1,599.66","1,599.66","1,599.66","1,599.66"
11/13/2020,"1,589.69","1,589.69","1,589.69","1,589.69"
11/12/2020,"1,590.78","1,590.78","1,590.78","1,590.78"
11/11/2020,"1,570.08","1,570.08","1,570.08","1,570.08"
11/10/2020,"1,575.07","1,575.07","1,575.07","1,575.07"
11/09/2020,"1,524.32","1,524.32","1,524.32","1,524.32"
11/06/2020,"1,519.64","1,519.64","1,519.64","1,519.64"
11/05/2020,"1,501.49","1,501.49","1,501.49","1,501.49"
11/04/2020,"1,464.61","1,464.61","1,464.61","1,464.61"
11/03/2020,"1,461.45","1,461.45","1,461.45","1,461.45"
11/02/2020,"1,466.46","1,466.46","1,466.46","1,466.46"
10/30/2020,"1,466.89","1,466.89","1,466.89","1,466.89"
10/28/2020,"1,495.20","1,495.20","1,495.20","1,495.20"
10/27/2020,"1,500.35","1,500.35","1,500.35","1,500.35"
10/26/2020,"1,494.61","1,494.61","1,494.61","1,494.61"
10/23/2020,"1,494.64","1,494.64","1,494.64","1,494.64"
10/22/2020,"1,498.80","1,498.80","1,498.80","1,498.80"
10/21/2020,"1,492.40","1,492.40","1,492.40","1,492.40"
10/20/2020,"1,510.97","1,510.97","1,510.97","1,510.97"
10/19/2020,"1,518.11","1,518.11","1,518.11","1,518.11"
10/16/2020,"1,503.84","1,503.84","1,503.84","1,503.84"
10/15/2020,"1,513.95","1,513.95","1,513.95","1,513.95"
10/14/2020,"1,523.25","1,523.25","1,523.25","1,523.25"
