Date,Open,High,Low,Close
02/03/2021,"658.22","659.16","651.49","654.89"
02/02/2021,"651.34","654.58","650.88","652.87"
02/01/2021,"642.66","648.88","642.22","647.34"
01/29/2021,"641.33","644.94","637.11","637.11"
01/28/2021,"639.55","650.12","633.68","649.00"
01/27/2021,"654.34","656.36","642.09","647.92"
01/26/2021,"656.58","662.47","656.07","658.54"
01/25/2021,"666.94","667.85","655.16","658.24"
01/22/2021,"660.15","660.89","655.90","660.53"
01/21/2021,"663.46","666.66","662.48","663.88"
01/20/2021,"655.66","661.09","654.54","659.30"
01/19/2021,"654.55","654.55","649.13","651.28"
01/18/2021,"648.85","651.61","648.83","650.30"
01/15/2021,"654.39","655.24","647.54","651.73"
01/14/2021,"650.37","656.66","649.14","656.66"
01/13/2021,"644.24","645.42","641.44","644.38"
01/12/2021,"645.95","646.06","641.43","643.58"
01/11/2021,"645.16","646.92","639.52","642.42"
01/08/2021,"643.04","645.60","642.20","645.60"
01/07/2021,"641.28","642.39","635.96","637.41"
01/06/2021,"636.57","641.25","631.40","639.16"
01/05/2021,"629.94","634.11","628.98","633.62"
01/04/2021,"632.02","636.24","629.41","631.03"
12/31/2020,"625.19","628.05","623.94","624.61"
12/30/2020,"630.11","631.05","627.59","628.06"
12/29/2020,"629.17","633.12","628.40","629.14"
12/28/2020,"627.54","630.03","626.88","627.59"
12/24/2020,"623.92","626.46","623.62","626.37"
12/23/2020,"618.46","623.64","618.45","622.42"
12/22/2020,"611.87","618.86","611.83","617.50"
12/21/2020,"615.64","617.31","602.64","609.39"
12/18/2020,"623.69","628.89","623.17","625.25"
12/17/2020,"625.36","626.47","624.35","624.75"
12/16/2020,"620.99","623.61","618.11","621.86"
12/15/2020,"612.22","618.59","611.53","617.34"
12/14/2020,"617.99","619.56","612.88","612.88"
12/11/2020,"616.92","618.02","611.46","614.46"
12/10/2020,"619.39","621.62","614.09","618.10"
12/09/2020,"619.33","622.01","617.94","619.72"
12/08/2020,"615.37","618.36","613.75","616.59"
12/07/2020,"615.78","616.35","611.78","616.20"
12/04/2020,"611.53","615.67","610.07","615.67"
12/03/2020,"612.43","613.26","608.39","610.48"
12/02/2020,"608.76","612.32","607.73","610.94"
12/01/2020,"609.00","613.41","607.30","611.41"
11/30/2020,"609.21","615.11","606.02","606.02"
11/27/2020,"608.40","613.59","608.08","611.67"
11/26/2020,"608.28","610.13","607.10","607.39"
11/25/2020,"607.49","608.09","603.55","606.39"
11/24/2020,"607.47","608.26","604.47","607.46"
11/23/2020,"605.65","607.30","601.37","601.37"
11/20/2020,"595.69","601.66","595.12","601.62"
11/19/2020,"596.00","597.95","593.97","596.01"
11/18/2020,"598.36","603.77","597.61","600.88"
11/17/2020,"599.57","601.69","596.80","600.94"
11/16/2020,"602.06","604.19","597.60","601.67"
11/13/2020,"597.67","601.92","596.87","596.87"
11/12/2020,"595.32","603.44","594.83","600.05"
11/11/2020,"591.30","600.43","589.05","599.21"
11/10/2020,"590.37","594.82","588.95","591.87"
11/09/2020,"581.11","599.20","580.09","593.93"
11/06/2020,"569.45","574.64","565.64","572.90"
11/05/2020,"570.70","573.75","569.52","571.60"
11/04/2020,"548.48","565.66","547.60","565.26"
11/03/2020,"547.05","555.57","546.70","554.48"
11/02/2020,"535.41","545.27","533.39","543.91"
10/30/2020,"529.22","536.21","529.11","533.88"
10/29/2020,"534.62","538.23","527.86","534.43"
10/28/2020,"539.69","541.13","529.17","534.09"
10/27/2020,"547.97","547.97","542.07","545.65"
10/26/2020,"545.97","551.90","545.60","545.95"
10/23/2020,"552.53","558.33","551.39","554.34"
10/22/2020,"554.94","557.17","549.66","554.20"
10/21/2020,"566.31","566.40","556.44","557.40"
10/20/2020,"565.65","566.73","562.37","564.00"
10/19/2020,"572.06","574.24","563.91","567.52"
10/16/2020,"564.40","570.83","562.84","568.18"
10/15/2020,"564.33","564.97","557.76","560.47"
10/14/2020,"572.23","574.35","569.85","571.98"
10/13/2020,"572.62","575.52","569.24","572.47"
10/12/2020,"568.82","573.84","568.78","572.31"
10/09/2020,"561.17","567.79","560.98","567.17"
10/08/2020,"557.83","561.61","554.82","559.94"
10/07/2020,"554.24","556.19","551.72","554.60"
10/06/2020,"559.77","559.81","553.63","555.38"
10/05/2020,"557.61","559.65","555.44","557.92"
10/02/2020,"545.32","553.12","542.82","553.12"
10/01/2020,"551.17","553.44","547.83","550.54"
09/30/2020,"546.51","551.88","545.68","547.70"
09/29/2020,"552.00","552.09","548.37","548.92"
09/28/2020,"547.91","553.19","545.28","551.67"
09/25/2020,"542.87","544.41","535.12","540.91"
09/24/2020,"537.14","544.41","536.86","541.11"
09/23/2020,"546.55","550.72","544.72","545.68"
09/22/2020,"538.85","545.89","538.20","540.78"
09/21/2020,"546.00","546.37","533.22","536.01"
09/18/2020,"553.50","555.54","550.14","550.85"
09/17/2020,"550.17","553.99","548.27","552.48"
09/16/2020,"556.25","559.99","556.03","558.43"
09/15/2020,"553.28","557.60","551.43","555.95"
09/14/2020,"556.25","557.64","551.78","552.44"
09/11/2020,"550.06","554.68","548.76","552.01"
09/10/2020,"553.04","553.88","548.41","550.50"
09/09/2020,"541.88","553.13","541.74","552.05"
09/08/2020,"547.38","548.48","534.65","540.79"
09/07/2020,"541.17","547.86","541.15","547.14"
09/04/2020,"545.49","552.34","535.21","540.27"
09/03/2020,"565.45","568.08","546.80","549.60"
09/02/2020,"555.34","565.57","554.71","561.27"
09/01/2020,"552.78","556.47","547.43","552.22"
08/31/2020,"559.83","561.92","548.70","549.20"
08/28/2020,"563.65","563.65","555.39","556.80"
08/27/2020,"567.75","568.21","562.41","562.41"
08/26/2020,"559.73","566.26","558.28","566.23"
08/25/2020,"563.00","565.91","559.65","559.81"
08/24/2020,"557.29","563.74","557.29","560.99"
08/21/2020,"552.73","554.90","545.01","551.37"
08/20/2020,"552.68","555.39","550.39","552.44"
08/19/2020,"557.79","560.34","556.50","560.23"
08/18/2020,"561.65","565.54","557.74","559.44"
08/17/2020,"562.01","563.98","558.08","562.94"
08/14/2020,"568.51","568.86","557.27","560.84"
08/13/2020,"572.77","573.23","569.18","569.95"
08/12/2020,"564.67","575.71","564.67","575.06"
08/11/2020,"561.75","569.09","561.07","565.56"
08/10/2020,"560.34","561.63","555.49","557.08"
08/07/2020,"555.75","561.38","554.88","559.57"
08/06/2020,"560.21","563.98","557.09","558.46"
08/05/2020,"563.30","566.30","562.09","563.05"
08/04/2020,"561.03","563.10","554.65","557.94"
08/03/2020,"546.52","559.03","544.96","557.73"
07/31/2020,"551.14","556.89","545.29","545.29"
07/30/2020,"564.67","564.67","543.63","549.20"
07/29/2020,"563.20","566.82","563.11","564.11"
07/28/2020,"566.79","568.02","561.90","566.33"
07/27/2020,"561.60","566.73","560.19","564.37"
07/24/2020,"568.08","568.14","560.54","563.95"
07/23/2020,"578.41","580.74","574.98","576.67"
07/22/2020,"578.40","579.21","571.35","572.90"
07/21/2020,"584.04","587.03","580.42","581.29"
07/20/2020,"573.48","580.46","569.46","579.14"
07/17/2020,"575.45","575.97","572.27","573.80"
07/16/2020,"573.86","574.57","569.66","573.94"
07/15/2020,"577.67","582.43","575.25","577.56"
07/14/2020,"571.44","572.51","566.37","572.51"
07/13/2020,"578.26","579.27","573.55","578.85"
07/10/2020,"565.28","571.92","564.71","570.52"
07/09/2020,"574.92","576.05","566.71","567.38"
07/08/2020,"573.76","578.27","570.87","572.18"
07/07/2020,"576.97","577.10","572.27","575.52"
07/06/2020,"579.62","580.21","573.79","578.52"
07/03/2020,"572.47","574.01","566.92","568.63"
07/02/2020,"566.93","571.24","564.45","570.75"
07/01/2020,"561.01","564.57","553.91","562.67"
06/30/2020,"563.34","564.76","555.58","559.73"
06/29/2020,"558.55","563.22","556.07","560.16"
06/26/2020,"564.98","569.23","559.00","559.82"
06/25/2020,"555.93","562.21","549.88","560.41"
06/24/2020,"571.41","572.54","557.33","557.33"
06/23/2020,"568.95","576.45","568.79","574.19"
06/22/2020,"562.28","571.50","561.42","565.07"
06/19/2020,"566.52","570.47","565.95","567.83"
06/18/2020,"564.68","569.63","560.70","562.61"
06/17/2020,"560.67","568.66","560.43","566.48"
06/16/2020,"553.17","564.35","551.76","560.01"
06/15/2020,"534.08","543.89","529.78","541.92"
06/12/2020,"536.81","550.96","535.35","545.16"
06/11/2020,"549.58","551.46","540.26","540.26"
06/10/2020,"564.60","567.27","558.21","559.28"
06/09/2020,"568.53","569.62","558.42","561.75"
06/08/2020,"567.44","572.08","563.56","566.20"
06/05/2020,"563.86","573.46","562.80","572.80"
06/04/2020,"557.89","563.87","555.95","559.13"
06/03/2020,"551.69","562.46","551.54","561.30"
06/02/2020,"543.04","547.99","541.41","546.12"
06/01/2020,"540.47","540.61","532.89","539.54"
05/29/2020,"533.73","536.94","529.98","532.57"
05/28/2020,"532.21","539.62","531.00","538.62"
05/27/2020,"532.42","533.40","523.26","528.96"
