Date,Open,High,Low,Close
02/03/2021,"139.87","139.87","139.87","139.87"
02/02/2021,"139.08","139.08","139.08","139.08"
02/01/2021,"139.02","139.02","139.02","139.02"
01/29/2021,"138.86","138.86","138.86","138.86"
01/28/2021,"140.47","140.47","140.47","140.47"
01/27/2021,"138.60","138.60","138.60","138.60"
01/26/2021,"141.72","141.72","141.72","141.72"
01/25/2021,"144.25","144.25","144.25","144.25"
01/22/2021,"145.52","145.52","145.52","145.52"
01/21/2021,"145.95","145.95","145.95","145.95"
01/20/2021,"146.10","146.10","146.10","146.10"
01/19/2021,"146.25","146.25","146.25","146.25"
01/18/2021,"146.40","146.40","146.40","146.40"
01/15/2021,"146.02","146.02","146.02","146.02"
01/14/2021,"148.02","148.02","148.02","148.02"
01/13/2021,"147.40","147.40","147.40","147.40"
01/12/2021,"147.99","147.99","147.99","147.99"
01/11/2021,"150.35","150.35","150.35","150.35"
01/08/2021,"152.34","152.34","152.34","152.34"
01/07/2021,"151.95","151.95","151.95","151.95"
01/06/2021,"149.40","149.40","149.40","149.40"
01/05/2021,"144.57","144.57","144.57","144.57"
01/04/2021,"144.60","144.60","144.60","144.60"
12/31/2020,"140.75","140.75","140.75","140.75"
12/30/2020,"141.77","141.77","141.77","141.77"
12/29/2020,"142.58","142.58","142.58","142.58"
12/28/2020,"142.47","142.47","142.47","142.47"
12/25/2020,"140.58","140.58","140.58","140.58"
12/24/2020,"140.58","140.58","140.58","140.58"
12/23/2020,"139.10","139.10","139.10","139.10"
12/22/2020,"135.62","135.62","135.62","135.62"
12/21/2020,"132.96","132.96","132.96","132.96"
12/18/2020,"135.52","135.52","135.52","135.52"
12/17/2020,"136.36","136.36","136.36","136.36"
12/16/2020,"135.16","135.16","135.16","135.16"
12/15/2020,"133.77","133.77","133.77","133.77"
12/14/2020,"134.83","134.83","134.83","134.83"
12/11/2020,"134.09","134.09","134.09","134.09"
12/10/2020,"135.13","135.13","135.13","135.13"
12/09/2020,"133.49","133.49","133.49","133.49"
12/08/2020,"133.18","133.18","133.18","133.18"
12/07/2020,"131.69","131.69","131.69","131.69"
12/04/2020,"131.72","131.72","131.72","131.72"
12/03/2020,"129.86","129.86","129.86","129.86"
12/02/2020,"129.51","129.51","129.51","129.51"
12/01/2020,"127.67","127.67","127.67","127.67"
11/30/2020,"128.98","128.98","128.98","128.98"
11/27/2020,"131.56","131.56","131.56","131.56"
11/26/2020,"130.18","130.18","130.18","130.18"
11/25/2020,"130.63","130.63","130.63","130.63"
11/24/2020,"129.08","129.08","129.08","129.08"
11/23/2020,"127.82","127.82","127.82","127.82"
11/20/2020,"127.27","127.27","127.27","127.27"
11/19/2020,"125.84","125.84","125.84","125.84"
11/18/2020,"126.57","126.57","126.57","126.57"
11/17/2020,"126.05","126.05","126.05","126.05"
11/16/2020,"127.67","127.67","127.67","127.67"
11/13/2020,"126.98","126.98","126.98","126.98"
11/12/2020,"127.21","127.21","127.21","127.21"
11/11/2020,"127.42","127.42","127.42","127.42"
11/10/2020,"123.56","123.56","123.56","123.56"
11/09/2020,"123.13","123.13","123.13","123.13"
11/06/2020,"118.79","118.79","118.79","118.79"
11/05/2020,"120.53","120.53","120.53","120.53"
11/04/2020,"119.03","119.03","119.03","119.03"
11/03/2020,"118.19","118.19","118.19","118.19"
11/02/2020,"117.14","117.14","117.14","117.14"
10/30/2020,"115.40","115.40","115.40","115.40"
10/29/2020,"113.34","113.34","113.34","113.34"
10/28/2020,"113.93","113.93","113.93","113.93"
10/27/2020,"117.87","117.87","117.87","117.87"
10/26/2020,"119.36","119.36","119.36","119.36"
10/23/2020,"121.54","121.54","121.54","121.54"
10/22/2020,"121.17","121.17","121.17","121.17"
10/21/2020,"121.74","121.74","121.74","121.74"
10/20/2020,"123.06","123.06","123.06","123.06"
10/19/2020,"124.13","124.13","124.13","124.13"
10/16/2020,"124.85","124.85","124.85","124.85"
10/15/2020,"123.25","123.25","123.25","123.25"
10/14/2020,"127.89","127.89","127.89","127.89"
10/13/2020,"126.87","126.87","126.87","126.87"
10/12/2020,"124.37","124.37","124.37","124.37"
10/09/2020,"121.78","121.78","121.78","121.78"
10/08/2020,"122.30","122.30","122.30","122.30"
10/07/2020,"120.49","120.49","120.49","120.49"
10/06/2020,"119.60","119.60","119.60","119.60"
10/05/2020,"118.98","118.98","118.98","118.98"
10/02/2020,"117.96","117.96","117.96","117.96"
10/01/2020,"118.19","118.19","118.19","118.19"
09/30/2020,"116.44","116.44","116.44","116.44"
09/29/2020,"115.24","115.24","115.24","115.24"
09/28/2020,"116.82","116.82","116.82","116.82"
09/25/2020,"114.90","114.90","114.90","114.90"
09/24/2020,"115.89","115.89","115.89","115.89"
09/23/2020,"116.95","116.95","116.95","116.95"
09/22/2020,"116.95","116.95","116.95","116.95"
09/21/2020,"117.89","117.89","117.89","117.89"
09/18/2020,"120.15","120.15","120.15","120.15"
09/17/2020,"121.27","121.27","121.27","121.27"
09/16/2020,"121.87","121.87","121.87","121.87"
09/15/2020,"121.32","121.32","121.32","121.32"
09/14/2020,"120.88","120.88","120.88","120.88"
09/11/2020,"122.27","122.27","122.27","122.27"
09/10/2020,"122.75","122.75","122.75","122.75"
09/09/2020,"123.34","123.34","123.34","123.34"
09/08/2020,"119.86","119.86","119.86","119.86"
09/07/2020,"122.03","122.03","122.03","122.03"
09/04/2020,"119.26","119.26","119.26","119.26"
09/03/2020,"123.17","123.17","123.17","123.17"
09/02/2020,"122.81","122.81","122.81","122.81"
09/01/2020,"122.11","122.11","122.11","122.11"
08/31/2020,"121.19","121.19","121.19","121.19"
08/28/2020,"122.27","122.27","122.27","122.27"
08/27/2020,"122.87","122.87","122.87","122.87"
08/26/2020,"124.35","124.35","124.35","124.35"
08/25/2020,"124.00","124.00","124.00","124.00"
08/24/2020,"125.95","125.95","125.95","125.95"
08/21/2020,"122.30","122.30","122.30","122.30"
08/20/2020,"122.68","122.68","122.68","122.68"
08/19/2020,"123.98","123.98","123.98","123.98"
08/18/2020,"124.61","124.61","124.61","124.61"
08/17/2020,"125.42","125.42","125.42","125.42"
08/14/2020,"125.66","125.66","125.66","125.66"
08/13/2020,"126.86","126.86","126.86","126.86"
08/12/2020,"127.50","127.50","127.50","127.50"
08/11/2020,"125.50","125.50","125.50","125.50"
08/10/2020,"124.74","124.74","124.74","124.74"
08/07/2020,"124.74","124.74","124.74","124.74"
08/06/2020,"125.72","125.72","125.72","125.72"
08/05/2020,"126.06","126.06","126.06","126.06"
08/04/2020,"125.37","125.37","125.37","125.37"
08/03/2020,"124.52","124.52","124.52","124.52"
07/31/2020,"122.75","122.75","122.75","122.75"
07/30/2020,"123.30","123.30","123.30","123.30"
07/29/2020,"125.50","125.50","125.50","125.50"
07/28/2020,"127.04","127.04","127.04","127.04"
07/27/2020,"128.68","128.68","128.68","128.68"
07/24/2020,"130.01","130.01","130.01","130.01"
07/23/2020,"131.75","131.75","131.75","131.75"
07/22/2020,"131.87","131.87","131.87","131.87"
07/21/2020,"132.70","132.70","132.70","132.70"
07/20/2020,"132.02","132.02","132.02","132.02"
07/17/2020,"130.66","130.66","130.66","130.66"
07/16/2020,"129.45","129.45","129.45","129.45"
07/15/2020,"127.96","127.96","127.96","127.96"
07/14/2020,"128.61","128.61","128.61","128.61"
07/13/2020,"129.60","129.60","129.60","129.60"
07/10/2020,"130.89","130.89","130.89","130.89"
07/09/2020,"129.80","129.80","129.80","129.80"
07/08/2020,"131.69","131.69","131.69","131.69"
07/07/2020,"130.56","130.56","130.56","130.56"
07/06/2020,"127.98","127.98","127.98","127.98"
07/03/2020,"129.02","129.02","129.02","129.02"
07/02/2020,"130.22","130.22","130.22","130.22"
07/01/2020,"126.61","126.61","126.61","126.61"
06/30/2020,"127.07","127.07","127.07","127.07"
06/29/2020,"127.57","127.57","127.57","127.57"
06/26/2020,"126.40","126.40","126.40","126.40"
06/24/2020,"126.25","126.25","126.25","126.25"
06/23/2020,"128.51","128.51","128.51","128.51"
06/22/2020,"127.66","127.66","127.66","127.66"
06/19/2020,"129.31","129.31","129.31","129.31"
06/18/2020,"127.51","127.51","127.51","127.51"
06/17/2020,"128.26","128.26","128.26","128.26"
06/16/2020,"126.77","126.77","126.77","126.77"
06/15/2020,"124.56","124.56","124.56","124.56"
06/12/2020,"125.71","125.71","125.71","125.71"
06/11/2020,"126.08","126.08","126.08","126.08"
06/10/2020,"129.13","129.13","129.13","129.13"
06/09/2020,"130.19","130.19","130.19","130.19"
06/08/2020,"131.19","131.19","131.19","131.19"
06/05/2020,"132.73","132.73","132.73","132.73"
06/04/2020,"133.85","133.85","133.85","133.85"
06/03/2020,"134.20","134.20","134.20","134.20"
06/02/2020,"132.02","132.02","132.02","132.02"
06/01/2020,"128.56","128.56","128.56","128.56"
05/29/2020,"126.94","126.94","126.94","126.94"
05/28/2020,"127.79","127.79","127.79","127.79"
05/27/2020,"125.56","125.56","125.56","125.56"
05/26/2020,"125.04","125.04","125.04","125.04"
05/25/2020,"125.76","125.76","125.76","125.76"
05/22/2020,"125.15","125.15","125.15","125.15"
05/21/2020,"124.20","124.20","124.20","124.20"
05/20/2020,"123.78","123.78","123.78","123.78"
05/19/2020,"121.84","121.84","121.84","121.84"
05/18/2020,"121.58","121.58","121.58","121.58"
05/15/2020,"115.92","115.92","115.92","115.92"
05/14/2020,"114.92","114.92","114.92","114.92"
05/13/2020,"119.39","119.39","119.39","119.39"
05/12/2020,"120.13","120.13","120.13","120.13"
05/11/2020,"123.50","123.50","123.50","123.50"
05/08/2020,"124.06","124.06","124.06","124.06"
05/07/2020,"121.46","121.46","121.46","121.46"
05/06/2020,"120.58","120.58","120.58","120.58"
05/05/2020,"121.32","121.32","121.32","121.32"
05/04/2020,"118.86","118.86","118.86","118.86"
05/01/2020,"121.65","121.65","121.65","121.65"
04/30/2020,"121.65","121.65","121.65","121.65"
04/29/2020,"121.49","121.49","121.49","121.49"
04/28/2020,"119.41","119.41","119.41","119.41"
04/27/2020,"117.73","117.73","117.73","117.73"
04/24/2020,"117.23","117.23","117.23","117.23"
04/23/2020,"118.04","118.04","118.04","118.04"
04/22/2020,"117.41","117.41","117.41","117.41"
04/21/2020,"114.77","114.77","114.77","114.77"
04/20/2020,"117.22","117.22","117.22","117.22"
04/17/2020,"118.36","118.36","118.36","118.36"
04/16/2020,"116.52","116.52","116.52","116.52"
04/15/2020,"117.17","117.17","117.17","117.17"
04/14/2020,"119.37","119.37","119.37","119.37"
04/13/2020,"119.12","119.12","119.12","119.12"
04/10/2020,"119.12","119.12","119.12","119.12"
04/09/2020,"119.12","119.12","119.12","119.12"
04/08/2020,"115.48","115.48","115.48","115.48"
04/07/2020,"116.11","116.11","116.11","116.11"
04/06/2020,"115.24","115.24","115.24","115.24"
04/03/2020,"116.18","116.18","116.18","116.18"
04/02/2020,"116.34","116.34","116.34","116.34"
04/01/2020,"115.77","115.77","115.77","115.77"
03/31/2020,"118.76","118.76","118.76","118.76"
03/30/2020,"115.36","115.36","115.36","115.36"
03/27/2020,"114.50","114.50","114.50","114.50"
03/26/2020,"115.75","115.75","115.75","115.75"
03/25/2020,"115.29","115.29","115.29","115.29"
03/24/2020,"113.09","113.09","113.09","113.09"
03/23/2020,"102.57","102.57","102.57","102.57"
03/20/2020,"103.76","103.76","103.76","103.76"
03/19/2020,"102.19","102.19","102.19","102.19"
03/18/2020,"105.49","105.49","105.49","105.49"
03/17/2020,"111.82","111.82","111.82","111.82"
03/16/2020,"105.09","105.09","105.09","105.09"
03/13/2020,"108.69","108.69","108.69","108.69"
03/12/2020,"107.14","107.14","107.14","107.14"
03/11/2020,"120.16","120.16","120.16","120.16"
03/10/2020,"119.89","119.89","119.89","119.89"
03/09/2020,"121.42","121.42","121.42","121.42"
03/06/2020,"134.37","134.37","134.37","134.37"
03/05/2020,"141.01","141.01","141.01","141.01"
03/04/2020,"144.61","144.61","144.61","144.61"
03/03/2020,"141.35","141.35","141.35","141.35"
03/02/2020,"138.44","138.44","138.44","138.44"
02/28/2020,"136.26","136.26","136.26","136.26"
02/27/2020,"142.23","142.23","142.23","142.23"
02/26/2020,"147.72","147.72","147.72","147.72"
02/25/2020,"146.46","146.46","146.46","146.46"
02/24/2020,"149.98","149.98","149.98","149.98"
02/21/2020,"155.72","155.72","155.72","155.72"
02/20/2020,"156.35","156.35","156.35","156.35"
02/19/2020,"157.71","157.71","157.71","157.71"
02/18/2020,"155.58","155.58","155.58","155.58"
02/17/2020,"154.94","154.94","154.94","154.94"
