Date,Open,High,Low,Close
02/03/2021,"1,385.32","1,398.94","1,377.16","1,387.00"
02/02/2021,"1,375.46","1,406.62","1,375.46","1,398.99"
02/01/2021,"1,367.53","1,378.97","1,362.64","1,363.96"
01/29/2021,"1,383.16","1,383.16","1,361.73","1,367.64"
01/28/2021,"1,378.58","1,391.02","1,365.13","1,384.64"
01/27/2021,"1,425.59","1,431.21","1,382.21","1,393.02"
01/26/2021,"1,415.26","1,425.81","1,403.34","1,422.95"
01/25/2021,"1,422.30","1,444.44","1,409.47","1,412.02"
01/22/2021,"1,452.51","1,452.51","1,413.12","1,418.29"
01/21/2021,"1,491.79","1,500.03","1,452.80","1,463.84"
01/20/2021,"1,476.75","1,494.97","1,475.65","1,486.90"
01/19/2021,"1,480.80","1,492.72","1,466.66","1,470.63"
01/18/2021,"1,472.00","1,477.68","1,456.73","1,474.86"
01/15/2021,"1,499.87","1,507.06","1,470.92","1,474.28"
01/14/2021,"1,478.41","1,505.57","1,466.25","1,500.58"
01/13/2021,"1,494.18","1,503.21","1,473.29","1,486.77"
01/12/2021,"1,474.34","1,496.04","1,467.96","1,484.96"
01/11/2021,"1,467.85","1,488.56","1,450.55","1,466.56"
01/08/2021,"1,444.76","1,481.84","1,444.76","1,466.50"
01/06/2021,"1,435.51","1,446.21","1,424.87","1,436.71"
01/05/2021,"1,410.89","1,428.70","1,386.56","1,426.11"
01/04/2021,"1,399.64","1,439.61","1,398.82","1,424.84"
12/30/2020,"1,393.96","1,403.88","1,382.88","1,387.46"
12/29/2020,"1,396.52","1,405.90","1,395.08","1,398.48"
12/28/2020,"1,379.64","1,396.97","1,379.64","1,391.31"
12/25/2020,"1,365.31","1,378.33","1,358.22","1,378.33"
12/24/2020,"1,365.31","1,378.33","1,358.22","1,378.33"
12/23/2020,"1,338.20","1,367.27","1,335.76","1,366.76"
12/22/2020,"1,339.03","1,359.91","1,327.89","1,351.43"
12/21/2020,"1,394.52","1,394.52","1,326.65","1,335.93"
12/18/2020,"1,418.81","1,419.41","1,386.34","1,402.50"
12/17/2020,"1,407.69","1,434.65","1,407.69","1,419.22"
12/16/2020,"1,399.42","1,407.86","1,388.15","1,400.05"
12/15/2020,"1,387.15","1,409.26","1,382.95","1,390.46"
12/14/2020,"1,428.56","1,432.73","1,397.49","1,398.12"
12/11/2020,"1,404.78","1,413.56","1,395.77","1,412.88"
12/10/2020,"1,362.07","1,404.68","1,360.06","1,404.68"
12/09/2020,"1,364.46","1,382.75","1,364.46","1,372.47"
12/08/2020,"1,362.32","1,375.75","1,354.75","1,364.66"
12/07/2020,"1,352.22","1,368.86","1,341.40","1,368.86"
12/04/2020,"1,342.06","1,358.63","1,342.06","1,357.39"
12/03/2020,"1,336.84","1,339.41","1,321.42","1,339.41"
12/02/2020,"1,308.61","1,335.44","1,305.87","1,335.44"
12/01/2020,"1,283.56","1,312.69","1,283.56","1,311.05"
11/30/2020,"1,300.14","1,300.14","1,281.00","1,281.97"
11/27/2020,"1,303.47","1,306.01","1,291.17","1,302.43"
11/26/2020,"1,310.04","1,316.57","1,298.60","1,307.14"
11/25/2020,"1,298.86","1,309.54","1,287.36","1,301.83"
11/24/2020,"1,270.34","1,288.71","1,265.88","1,287.12"
11/23/2020,"1,267.92","1,287.36","1,255.80","1,256.81"
11/20/2020,"1,263.65","1,269.02","1,256.21","1,262.69"
11/19/2020,"1,270.45","1,270.45","1,251.53","1,258.91"
11/18/2020,"1,258.77","1,282.07","1,253.23","1,276.75"
11/17/2020,"1,274.26","1,276.81","1,246.71","1,258.46"
11/16/2020,"1,243.10","1,268.61","1,243.10","1,268.61"
11/13/2020,"1,224.72","1,233.84","1,218.52","1,227.78"
11/12/2020,"1,224.64","1,239.78","1,219.15","1,238.45"
11/11/2020,"1,236.14","1,254.16","1,231.47","1,233.81"
11/10/2020,"1,224.45","1,240.78","1,212.61","1,232.87"
11/09/2020,"1,187.84","1,242.24","1,187.32","1,236.30"
11/06/2020,"1,163.85","1,178.28","1,151.74","1,178.28"
11/05/2020,"1,121.24","1,172.14","1,121.24","1,170.74"
11/03/2020,"1,079.49","1,109.71","1,077.20","1,108.15"
11/02/2020,"1,062.09","1,075.12","1,039.51","1,069.33"
10/30/2020,"1,078.02","1,078.37","1,056.02","1,066.60"
10/29/2020,"1,075.40","1,091.43","1,062.70","1,078.96"
10/28/2020,"1,124.23","1,124.23","1,070.68","1,078.29"
10/27/2020,"1,146.56","1,151.66","1,126.60","1,131.36"
10/26/2020,"1,163.89","1,165.58","1,151.45","1,152.33"
10/23/2020,"1,154.25","1,166.51","1,149.13","1,164.06"
10/22/2020,"1,143.17","1,155.39","1,137.14","1,155.24"
10/21/2020,"1,145.30","1,151.94","1,136.76","1,143.42"
10/20/2020,"1,130.26","1,143.82","1,123.08","1,140.69"
10/19/2020,"1,131.43","1,137.07","1,128.80","1,135.12"
10/16/2020,"1,137.25","1,138.87","1,121.29","1,132.80"
10/15/2020,"1,156.18","1,156.44","1,128.06","1,132.29"
10/14/2020,"1,157.02","1,164.67","1,151.51","1,160.30"
10/13/2020,"1,162.18","1,169.80","1,151.18","1,156.11"
10/12/2020,"1,163.09","1,169.93","1,155.85","1,162.91"
10/09/2020,"1,157.38","1,165.69","1,147.95","1,164.34"
10/08/2020,"1,150.83","1,158.82","1,148.00","1,158.82"
10/07/2020,"1,157.93","1,164.69","1,140.53","1,143.95"
10/06/2020,"1,163.75","1,176.58","1,157.41","1,168.56"
10/05/2020,"1,152.56","1,160.54","1,144.04","1,157.86"
10/02/2020,"1,157.17","1,157.17","1,134.01","1,148.07"
10/01/2020,"1,181.29","1,191.19","1,170.72","1,174.49"
09/30/2020,"1,158.75","1,182.96","1,152.94","1,178.51"
09/29/2020,"1,169.84","1,172.76","1,138.95","1,155.67"
09/28/2020,"1,171.87","1,178.65","1,163.08","1,166.86"
09/25/2020,"1,189.40","1,193.58","1,160.28","1,164.68"
09/24/2020,"1,187.48","1,192.67","1,172.94","1,188.98"
09/23/2020,"1,214.29","1,225.06","1,195.77","1,195.77"
09/22/2020,"1,189.37","1,209.03","1,182.04","1,193.06"
09/21/2020,"1,225.32","1,225.99","1,176.63","1,181.24"
09/18/2020,"1,246.67","1,250.13","1,226.48","1,228.64"
09/17/2020,"1,238.42","1,246.02","1,232.82","1,243.29"
09/16/2020,"1,252.38","1,257.92","1,243.60","1,251.86"
09/15/2020,"1,229.16","1,253.68","1,227.94","1,253.68"
09/14/2020,"1,224.14","1,239.42","1,218.41","1,228.48"
09/11/2020,"1,210.12","1,225.59","1,207.27","1,223.05"
09/10/2020,"1,207.98","1,220.27","1,191.89","1,216.59"
09/09/2020,"1,189.69","1,206.04","1,187.98","1,201.34"
09/08/2020,"1,221.35","1,225.16","1,183.78","1,189.47"
09/07/2020,"1,223.75","1,230.02","1,210.21","1,218.52"
09/04/2020,"1,222.21","1,236.65","1,214.72","1,220.01"
09/03/2020,"1,234.42","1,241.28","1,216.93","1,223.21"
09/02/2020,"1,280.08","1,283.69","1,229.50","1,234.82"
09/01/2020,"1,265.70","1,282.24","1,264.85","1,274.50"
08/31/2020,"1,274.05","1,286.07","1,255.34","1,258.60"
08/28/2020,"1,267.38","1,271.32","1,254.83","1,265.62"
08/27/2020,"1,274.80","1,279.20","1,258.69","1,264.86"
08/26/2020,"1,271.77","1,273.24","1,256.72","1,273.24"
08/25/2020,"1,284.12","1,289.33","1,265.85","1,267.16"
08/24/2020,"1,265.93","1,288.15","1,265.93","1,281.52"
08/21/2020,"1,286.60","1,291.23","1,252.91","1,262.01"
08/20/2020,"1,308.75","1,308.75","1,272.81","1,272.81"
08/19/2020,"1,312.48","1,322.48","1,308.09","1,316.32"
08/18/2020,"1,306.53","1,322.99","1,303.30","1,311.52"
08/17/2020,"1,327.78","1,336.58","1,301.03","1,308.71"
08/14/2020,"1,328.20","1,328.20","1,306.00","1,323.80"
08/13/2020,"1,306.74","1,326.13","1,304.59","1,326.13"
08/12/2020,"1,288.04","1,307.12","1,283.60","1,307.12"
08/11/2020,"1,268.93","1,301.19","1,268.93","1,296.01"
