Date,Open,High,Low,Close
02/03/2021,"1,520.70","1,533.55","1,509.18","1,533.55"
02/02/2021,"1,505.09","1,517.53","1,500.04","1,511.43"
02/01/2021,"1,484.86","1,500.88","1,471.54","1,492.45"
01/29/2021,"1,485.21","1,495.54","1,469.55","1,473.45"
01/28/2021,"1,453.37","1,498.43","1,431.32","1,498.32"
01/27/2021,"1,536.13","1,541.01","1,467.00","1,467.00"
01/26/2021,"1,538.03","1,548.61","1,516.81","1,536.11"
01/25/2021,"1,556.57","1,560.13","1,536.97","1,540.21"
01/22/2021,"1,551.47","1,555.59","1,525.93","1,542.45"
01/21/2021,"1,578.03","1,582.04","1,551.57","1,551.57"
01/20/2021,"1,573.37","1,574.30","1,552.10","1,569.35"
01/19/2021,"1,569.56","1,578.30","1,561.02","1,565.01"
01/18/2021,"1,525.45","1,558.81","1,508.90","1,556.77"
01/15/2021,"1,536.82","1,547.84","1,516.14","1,524.49"
01/14/2021,"1,567.11","1,568.06","1,542.17","1,546.60"
01/13/2021,"1,559.77","1,567.88","1,545.26","1,559.28"
01/12/2021,"1,549.04","1,556.35","1,537.38","1,549.53"
01/11/2021,"1,539.96","1,557.45","1,522.25","1,536.19"
01/08/2021,"1,526.51","1,542.75","1,519.80","1,540.61"
01/07/2021,"1,511.60","1,522.70","1,505.70","1,522.24"
01/06/2021,"1,501.61","1,509.49","1,497.09","1,505.42"
01/05/2021,"1,492.19","1,506.89","1,474.76","1,489.56"
01/04/2021,"1,482.17","1,500.01","1,478.70","1,495.43"
12/31/2020,"1,480.81","1,484.37","1,470.28","1,476.72"
12/30/2020,"1,463.07","1,483.16","1,463.07","1,479.91"
12/29/2020,"1,442.97","1,459.69","1,436.21","1,459.69"
12/28/2020,"1,431.67","1,442.79","1,431.67","1,439.29"
12/25/2020,"1,429.07","1,438.49","1,422.71","1,426.03"
12/24/2020,"1,420.15","1,432.28","1,415.35","1,426.00"
12/23/2020,"1,409.15","1,420.77","1,409.15","1,417.66"
12/22/2020,"1,393.57","1,410.82","1,391.69","1,404.97"
12/21/2020,"1,401.65","1,401.65","1,368.58","1,384.43"
12/18/2020,"1,398.26","1,410.32","1,396.03","1,408.32"
