Date,Open,High,Low,Close
02/03/2021,"7,027.5","7,116.4","7,027.5","7,090.9"
02/02/2021,"6,922.8","7,038.8","6,922.8","7,027.5"
02/01/2021,"6,870.9","6,933.3","6,770.8","6,922.8"
01/29/2021,"6,917.6","7,001.4","6,849.5","6,870.9"
01/28/2021,"7,060.2","7,060.2","6,867.0","6,917.6"
01/27/2021,"7,111.4","7,111.4","7,046.0","7,060.2"
01/25/2021,"7,078.9","7,118.6","7,078.9","7,111.4"
01/22/2021,"7,107.1","7,108.2","7,072.9","7,078.9"
01/21/2021,"7,051.0","7,113.6","7,051.0","7,107.1"
01/20/2021,"7,015.0","7,064.4","7,015.0","7,051.0"
01/19/2021,"6,935.4","7,019.2","6,935.4","7,015.0"
01/18/2021,"6,986.0","6,986.0","6,923.4","6,935.4"
01/15/2021,"6,982.7","7,019.9","6,982.7","6,986.8"
01/14/2021,"6,953.9","6,991.3","6,936.2","6,982.7"
01/13/2021,"6,939.1","6,958.2","6,924.8","6,953.9"
01/12/2021,"6,959.5","6,992.3","6,939.1","6,939.1"
01/11/2021,"7,024.2","7,027.0","6,952.7","6,959.5"
01/08/2021,"6,980.5","7,024.2","6,980.5","7,024.2"
01/07/2021,"6,881.4","7,002.1","6,881.4","6,980.5"
01/06/2021,"6,955.7","6,959.1","6,864.8","6,881.4"
01/05/2021,"6,953.7","6,955.7","6,904.7","6,955.7"
01/04/2021,"6,850.6","6,953.7","6,850.6","6,953.7"
12/31/2020,"6,942.9","6,943.3","6,850.6","6,850.6"
12/30/2020,"6,962.1","6,962.1","6,889.5","6,942.9"
12/29/2020,"6,917.5","6,978.8","6,917.5","6,962.1"
12/24/2020,"6,892.6","6,953.6","6,892.6","6,917.5"
12/23/2020,"6,845.5","6,910.7","6,845.5","6,892.6"
12/22/2020,"6,920.0","6,920.0","6,831.3","6,845.5"
12/21/2020,"6,924.1","6,926.0","6,883.4","6,920.0"
12/18/2020,"7,000.1","7,009.7","6,924.1","6,924.1"
12/17/2020,"6,916.7","7,000.1","6,916.7","7,000.1"
12/16/2020,"6,866.7","6,954.6","6,866.7","6,916.7"
12/15/2020,"6,900.3","6,900.3","6,857.5","6,866.7"
12/14/2020,"6,886.4","6,932.9","6,886.4","6,900.3"
12/11/2020,"6,917.1","6,921.9","6,874.0","6,886.4"
12/10/2020,"6,965.4","6,965.4","6,912.5","6,917.1"
12/09/2020,"6,922.2","6,980.0","6,922.2","6,965.4"
12/08/2020,"6,908.9","6,933.2","6,894.7","6,922.2"
12/07/2020,"6,874.8","6,948.0","6,874.8","6,908.9"
12/04/2020,"6,847.3","6,879.4","6,846.4","6,865.3"
12/03/2020,"6,811.3","6,861.7","6,811.3","6,847.3"
12/02/2020,"6,812.2","6,840.8","6,784.4","6,811.3"
12/01/2020,"6,742.1","6,833.8","6,732.6","6,812.2"
11/30/2020,"6,816.8","6,860.8","6,742.1","6,742.1"
11/27/2020,"6,848.8","6,848.8","6,803.5","6,816.8"
11/26/2020,"6,888.2","6,893.5","6,848.1","6,848.8"
11/25/2020,"6,855.5","6,923.1","6,855.5","6,888.2"
11/24/2020,"6,772.0","6,870.9","6,772.0","6,855.5"
11/23/2020,"6,739.9","6,800.5","6,739.9","6,772.0"
11/20/2020,"6,742.7","6,762.2","6,735.0","6,739.9"
11/19/2020,"6,726.5","6,742.7","6,695.4","6,742.7"
11/18/2020,"6,697.8","6,738.3","6,694.5","6,726.5"
11/17/2020,"6,687.0","6,730.1","6,687.0","6,697.8"
11/16/2020,"6,609.3","6,690.1","6,609.3","6,687.0"
11/13/2020,"6,619.6","6,619.6","6,581.6","6,609.3"
11/12/2020,"6,651.1","6,673.8","6,601.9","6,619.4"
11/11/2020,"6,544.0","6,652.3","6,544.0","6,651.1"
11/10/2020,"6,515.7","6,647.2","6,515.7","6,544.0"
11/09/2020,"6,395.0","6,517.7","6,395.0","6,515.7"
11/06/2020,"6,344.0","6,409.8","6,344.0","6,395.0"
11/05/2020,"6,265.0","6,347.0","6,265.0","6,344.0"
11/04/2020,"6,262.8","6,297.5","6,184.1","6,265.0"
11/03/2020,"6,147.4","6,286.4","6,147.4","6,262.8"
11/02/2020,"6,133.2","6,158.3","6,105.4","6,147.4"
10/30/2020,"6,168.0","6,195.0","6,132.4","6,133.2"
10/29/2020,"6,261.8","6,261.8","6,145.8","6,168.0"
10/28/2020,"6,247.2","6,279.7","6,219.1","6,261.8"
10/27/2020,"6,357.3","6,357.3","6,229.3","6,247.2"
10/26/2020,"6,373.7","6,415.3","6,356.6","6,357.3"
10/23/2020,"6,383.7","6,394.1","6,356.6","6,373.7"
10/22/2020,"6,403.1","6,403.1","6,312.7","6,383.7"
10/21/2020,"6,396.8","6,418.0","6,392.6","6,403.1"
10/20/2020,"6,435.6","6,447.0","6,392.6","6,396.8"
10/19/2020,"6,385.0","6,455.6","6,385.0","6,435.6"
10/16/2020,"6,414.2","6,424.4","6,373.1","6,385.0"
