Region,Nation,Index Name,Ticker Symbol,Country Code,Data Source
South America,Brazil,BOVESPA Index,BVSP,BR,MarketWatch
South America,Chile,IPSA Index,SPIPSA,CL,MarketWatch
South America,Argentina,Argentina Merval Index,SPMERVAL,AR,MarketWatch
South America,Colombia,Colombia COLCAP Index,ICOLCAP,CO,MarketWatch
Central America,El Salvador,,,,Not Available
Central America,Costa Rica,,,,Not Available
Central America,Guatemala,,,,Not Available
Central America,Honduras,,,,Not Available
Central America,Nicaragua,,,,Not Available
Central America,Panama,,,,Not Available
Central America,Belize,,,,Not Available
North America,US,NASDAQ Composite Index,COMP,,MarketWatch
North America,Canada,S&P/TSX Composite Index,GSPTSE,CA,MarketWatch
North America,Mexico,IPC Indice de Precios Y Cotizaciones,IPC,MX,MarketWatch
Asia,China,Shanghai Composite Index,SHCOMP,CN,MarketWatch
Asia,Korea,KOSPI Composite Index,180721,KR,MarketWatch
Asia,The Philippines,PSEi Index,PSEI,PH,MarketWatch
Asia,Japan,Nikkei 225,NIK,JP,MarketWatch
Asia,Malaysia,FTSE Bursa Malaysia KLCI,FBMKLCI,MY,MarketWatch
Asia,Indonesia,JSX Composite Index,JAKIDX,ID,MarketWatch
Asia,India,S&P BSE Sensex Index,1,IN,MarketWatch
Asia,Hong Kong,Hang Seng Index,HSI,HK,MarketWatch
Asia,Israel,Tel Aviv 125 Index,TA100,XX,MarketWatch
Europe,UK,FTSE 100 Index,UKX,UK,MarketWatch
Europe,Turkey,BIST 100 Index,XU100,TR,MarketWatch
Europe,Portugal,Dow Jones Portugal Index EUR,DGPTDOWA,XX,MarketWatch
Europe,Norway,Oslo Exchange Benchmark Index_GI,186658,XX,MarketWatch
Europe,Netherlands,Amsterdam AEX Index,AEX,NL,MarketWatch
Europe,Germany,DAX,DAX,DX,MarketWatch
Europe,France,CAC 40 Index,PX1,FR,MarketWatch
Europe,Italy,FTSE MIB Index,1945,IT,MarketWatch
Europe,Russia,Russian Trading System (RTS) Index,RTS,RU,MarketWatch
Africa,South Africa,Johannesburg Stock Exchange Domestic Company Index,JSE,ZA,MarketWatch
Africa,Egypt,EGX 30 Index ETF,EGX30ETF,EG,MarketWatch
Africa,Cote D’Ivoire,BRVM Composite,,,Private Source
Africa,Kenya,Kenya NSE 20,,,Private Source
Africa,Morocco,Moroccan All Shares,,,Private Source
Africa,Nigeria,NSE All Share,,,Private Source
Africa,Tunis,Tunindex,,,Private Source
Oceania,Australia,ASX All Ordinaries Index,XAO,AU,MarketWatch
Oceania,New Zealand,S&P/NZX 50 INDEX GROSS,NZ50,,YahooFinance
