Specimen Collection Date,Age Group,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at
2020/03/13,25-29,3,7,02/02/2021 02:15:04 PM
2020/03/14,25-29,2,9,02/02/2021 02:15:04 PM
2020/03/15,25-29,1,10,02/02/2021 02:15:04 PM
2020/03/16,25-29,1,11,02/02/2021 02:15:04 PM
2020/03/17,25-29,0,11,02/02/2021 02:15:04 PM
2020/03/18,25-29,3,14,02/02/2021 02:15:04 PM
2020/03/19,25-29,0,14,02/02/2021 02:15:04 PM
2020/03/20,25-29,5,19,02/02/2021 02:15:04 PM
2020/03/21,25-29,1,20,02/02/2021 02:15:04 PM
2020/03/22,25-29,4,24,02/02/2021 02:15:04 PM
2020/03/23,25-29,4,28,02/02/2021 02:15:04 PM
2020/03/24,25-29,6,34,02/02/2021 02:15:04 PM
2020/03/25,25-29,3,37,02/02/2021 02:15:04 PM
2020/03/26,25-29,5,42,02/02/2021 02:15:04 PM
2020/03/27,25-29,3,45,02/02/2021 02:15:04 PM
2020/03/28,25-29,3,48,02/02/2021 02:15:04 PM
2020/03/29,25-29,1,49,02/02/2021 02:15:04 PM
2020/03/30,25-29,5,54,02/02/2021 02:15:04 PM
2020/03/31,25-29,7,61,02/02/2021 02:15:04 PM
2020/04/01,25-29,7,68,02/02/2021 02:15:04 PM
2020/04/02,25-29,2,70,02/02/2021 02:15:04 PM
2020/04/03,25-29,3,73,02/02/2021 02:15:04 PM
2020/04/04,25-29,0,73,02/02/2021 02:15:04 PM
2020/04/05,25-29,8,81,02/02/2021 02:15:04 PM
2020/04/06,25-29,3,84,02/02/2021 02:15:04 PM
2020/04/07,25-29,4,88,02/02/2021 02:15:04 PM
2020/04/08,25-29,3,91,02/02/2021 02:15:04 PM
2020/04/09,25-29,9,100,02/02/2021 02:15:04 PM
2020/04/10,25-29,1,101,02/02/2021 02:15:04 PM
2020/04/11,25-29,2,103,02/02/2021 02:15:04 PM
2020/04/12,25-29,1,104,02/02/2021 02:15:04 PM
2020/04/13,25-29,3,107,02/02/2021 02:15:04 PM
2020/04/14,25-29,3,110,02/02/2021 02:15:04 PM
2020/04/15,25-29,1,111,02/02/2021 02:15:04 PM
2020/04/16,25-29,2,113,02/02/2021 02:15:04 PM
2020/04/17,25-29,2,115,02/02/2021 02:15:04 PM
2020/04/18,25-29,0,115,02/02/2021 02:15:04 PM
2020/04/19,25-29,1,116,02/02/2021 02:15:04 PM
2020/04/20,25-29,1,117,02/02/2021 02:15:04 PM
2020/04/21,25-29,1,118,02/02/2021 02:15:04 PM
2020/04/22,25-29,3,121,02/02/2021 02:15:04 PM
2020/04/23,25-29,2,123,02/02/2021 02:15:04 PM
2020/04/24,25-29,2,125,02/02/2021 02:15:04 PM
2020/04/25,25-29,0,125,02/02/2021 02:15:04 PM
2020/04/26,25-29,2,127,02/02/2021 02:15:04 PM
2020/04/27,25-29,4,131,02/02/2021 02:15:04 PM
2020/04/28,25-29,9,140,02/02/2021 02:15:04 PM
2020/04/29,25-29,6,146,02/02/2021 02:15:04 PM
2020/04/30,25-29,6,152,02/02/2021 02:15:04 PM
2020/05/01,25-29,1,153,02/02/2021 02:15:04 PM
2020/05/02,25-29,4,157,02/02/2021 02:15:04 PM
2020/05/03,25-29,0,157,02/02/2021 02:15:04 PM
2020/05/04,25-29,7,164,02/02/2021 02:15:04 PM
2020/05/05,25-29,4,168,02/02/2021 02:15:04 PM
2020/05/06,25-29,6,174,02/02/2021 02:15:04 PM
2020/05/07,25-29,1,175,02/02/2021 02:15:04 PM
2020/05/08,25-29,2,177,02/02/2021 02:15:04 PM
2020/05/09,25-29,0,177,02/02/2021 02:15:04 PM
2020/05/10,25-29,0,177,02/02/2021 02:15:04 PM
2020/05/11,25-29,2,179,02/02/2021 02:15:04 PM
2020/05/12,25-29,1,180,02/02/2021 02:15:04 PM
2020/05/13,25-29,2,182,02/02/2021 02:15:04 PM
2020/05/14,25-29,5,187,02/02/2021 02:15:04 PM
2020/05/15,25-29,2,189,02/02/2021 02:15:04 PM
2020/05/16,25-29,0,189,02/02/2021 02:15:04 PM
2020/05/17,25-29,2,191,02/02/2021 02:15:04 PM
2020/05/18,25-29,3,194,02/02/2021 02:15:04 PM
2020/05/19,25-29,2,196,02/02/2021 02:15:04 PM
2020/05/20,25-29,3,199,02/02/2021 02:15:04 PM
2020/05/21,25-29,5,204,02/02/2021 02:15:04 PM
2020/05/22,25-29,4,208,02/02/2021 02:15:04 PM
2020/05/23,25-29,3,211,02/02/2021 02:15:04 PM
2020/05/24,25-29,3,214,02/02/2021 02:15:04 PM
2020/05/25,25-29,0,214,02/02/2021 02:15:04 PM
2020/05/26,25-29,6,220,02/02/2021 02:15:04 PM
2020/05/27,25-29,2,222,02/02/2021 02:15:04 PM
2020/05/28,25-29,0,222,02/02/2021 02:15:04 PM
2020/05/29,25-29,3,225,02/02/2021 02:15:04 PM
2020/05/30,25-29,1,226,02/02/2021 02:15:04 PM
2020/05/31,25-29,2,228,02/02/2021 02:15:04 PM
2020/06/01,25-29,4,232,02/02/2021 02:15:04 PM
2020/06/02,25-29,3,235,02/02/2021 02:15:04 PM
2020/06/03,25-29,3,238,02/02/2021 02:15:04 PM
2020/06/04,25-29,6,244,02/02/2021 02:15:04 PM
2020/06/05,25-29,3,247,02/02/2021 02:15:04 PM
2020/06/06,25-29,1,248,02/02/2021 02:15:04 PM
